smiles,ID,Mol Wt.,Plate #,Row,Column,LC/MS,LD(50),In-vivo Activity,Assay #1(IC50),Assay #2 (IC50),Efficacy,Kd #1,Kd #2,Half life (min),Bioavailability,cLogP,Pka,R1 fmla,R2 fmla,R3 fmla,R4 fmla,2Ka,S5,T1,1Cv,Core_id
CC(C)CCN1C(=O)CN=C(c2ccccc2)c3cc(ccc13)[N+](=O)[O-],89,351.4100037,1,1,12,pass,236.7700043,68,0.2410000,1.5610000,68,0.2500000,1.3500000,328,70,3.3299999,3.0000000,H-,C6H5-,NO2-,C5H11-,-0.4860000,6.3699999,0.3500000,-0.9000000,
O=C1CN=C(c2ccccc2)c3cc(ccc3N1CC4CCCCC4)[N+](=O)[O-],90,377.4500122,1,2,12,pass,471.8699951,37,39.2980003,309.7439880,37,1.8000000,19.6599998,111,55,2.1400001,4.4000001,H-,C6H5-,NO2-,C7H13-,2.5100000,7.3400002,0.3160000,2.4200001,
COc1ccc(cc1)C2=NCC(=O)Nc3ccccc23,91,266.2999878,1,3,12,pass,713.8699951,42,750.6389771,167.9049988,42,76.0000000,164.9600067,187,36,0.6600000,3.0999999,H-,C7H7O-,H-,H-,-0.8310000,-0.2900000,7.1890001,-0.5600000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccccc23,92,280.3299866,1,4,12,pass,96.9899979,38,875.1550293,5.8410001,38,94.8099976,8.1700001,267,34,3.7900000,5.0000000,H-,C7H7O-,H-,CH3-,3.2709999,0.3600000,7.3369999,4.6999998,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3ccccc13,93,322.4100037,1,5,12,pass,42.6699982,41,250.5919952,409.4079895,41,498.4899902,142.4600067,223,60,-2.0200000,5.9000001,H-,C7H7O-,H-,C4H9-,-1.9670000,5.1399999,-1.6190000,2.0699999,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccccc23,94,336.4400024,1,6,12,pass,29.6399994,39,755.3590088,881.1450195,39,1895.2399902,1113.9399414,358,40,0.4800000,5.1999998,H-,C7H7O-,H-,C5H11-,-1.5190001,-1.6000000,5.2160001,6.1300001,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccccc24,95,362.4800110,1,7,12,pass,170.0099945,37,695.7930298,48.8769989,37,1541.5500488,81.5100021,114,52,-0.2100000,6.5000000,H-,C7H7O-,H-,C7H13-,5.9580002,7.9899998,7.6360002,3.9900000,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Cl)cc23,96,300.7500000,1,8,12,fail,25.8799992,48,849.4910278,4449.2001953,48,132.8800049,1279.7600098,466,52,1.4600000,8.3999996,H-,C7H7O-,Cl-,H-,-1.3000000,1.5200000,4.7560000,0.4300000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Cl)cc23,97,314.7699890,2,1,1,pass,4.8000002,42,618.2709961,4.1510000,42,1184.2399902,4.3899999,398,69,2.0799999,7.8000002,H-,C7H7O-,Cl-,CH3-,6.8309999,3.9600000,-1.6740000,5.2800002,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Cl)ccc13,98,356.8599854,2,2,1,pass,12.0100002,30,460.3529968,277.7099915,30,924.7600098,18.3199997,440,53,-4.5999999,8.1000004,H-,C7H7O-,Cl-,C4H9-,1.6640000,1.3600000,-1.6460000,-1.5100000,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Cl)cc23,99,370.8800049,2,3,1,pass,23.2000008,26,378.2170105,1.5660000,26,312.7000122,1.1700000,406,58,3.3800001,5.9000001,H-,C7H7O-,Cl-,C5H11-,-0.0300000,0.5400000,4.4340000,3.1500001,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Cl)cc24,100,396.9200134,2,4,1,pass,96.6699982,54,98.1709976,213.7579956,54,35.7500000,452.5499878,282,35,3.5899999,5.0000000,H-,C7H7O-,Cl-,C7H13-,0.3910000,3.2600000,5.2969999,-1.4299999,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(C#N)cc23,101,291.3099976,2,5,1,pass,83.0899963,17,171.2079926,5.2540002,17,168.5899963,1.1600000,184,52,0.9900000,7.9000001,H-,C7H7O-,CN-,H-,0.6420000,-1.7700000,1.2570000,4.8099999,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(C#N)cc23,102,305.3399963,2,6,1,pass,21.7299995,21,693.8839722,162.7969971,21,1886.4499512,156.2299957,348,60,10.1999998,8.1000004,H-,C7H7O-,CN-,CH3-,0.2650000,-1.1400000,-1.1150000,1.5200000,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(C#N)ccc13,103,347.4200134,2,7,1,pass,63.8600006,67,0.1380000,354.9869995,67,0.6500000,1265.9599609,408,32,2.5899999,7.0999999,H-,C7H7O-,CN-,C4H9-,-0.4310000,5.5200000,-1.9970000,-1.6799999,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(C#N)cc23,104,361.4500122,2,8,1,fail,475.5799866,27,1065.8699951,3248.0300293,27,1555.9599609,10358.5000000,171,52,-0.4700000,8.8999996,H-,C7H7O-,CN-,C5H11-,5.3699999,1.2500000,6.1440001,-0.6000000,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(C#N)cc24,105,387.4899902,2,1,2,pass,10.0000000,7,934.6300049,26.4209995,7,1147.9699707,13.9899998,374,36,-1.3900000,8.8000002,H-,C7H7O-,CN-,C7H13-,4.1739998,3.3299999,2.8710001,7.6100001,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)N(C)C,106,309.3699951,2,2,2,fail,104.8499985,21,1089.8000488,725.8140259,21,2929.1799316,202.2500000,179,43,1.9900000,6.9000001,H-,C7H7O-,C2H6N-,H-,5.1440001,0.3900000,-1.8090000,-1.2100000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)N(C)C,107,323.3999939,2,3,2,pass,25.3199997,47,981.7869873,28.9780006,47,46.9599991,33.5699997,326,51,0.0500000,7.4000001,H-,C7H7O-,C2H6N-,CH3-,1.3530000,7.9499998,-1.2860000,-1.2000000,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)N(C)C,108,365.4800110,2,4,2,pass,674.3699951,64,0.1630000,384.7229919,64,1.1400000,31.7299995,20,68,-2.6400001,7.4000001,H-,C7H7O-,C2H6N-,C4H9-,0.7330000,1.7600000,5.9320002,1.5599999,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)N(C)C,109,379.5100098,2,5,2,pass,11.9200001,11,0.0100000,2700.7600098,11,229.6100006,0.1000000,10,44,-3.1500001,7.1999998,H-,C7H7O-,C2H6N-,C5H11-,2.6300001,-1.8600000,1.1210001,3.4100001,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)N(C)C,110,405.5400085,2,6,2,pass,796.9699707,58,9.1440001,7.6389999,58,12.6800003,12.2600002,193,52,-4.4299998,5.5000000,H-,C7H7O-,C2H6N-,C7H13-,7.9000001,3.3000000,3.8829999,1.4000000,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(F)cc23,111,284.2900085,2,7,2,pass,529.0900269,81,0.1820000,4.6220002,81,0.3200000,6.8600001,180,38,-4.2100000,4.5000000,H-,C7H7O-,F-,H-,6.6050000,2.4400001,6.4970002,-1.0200000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(F)cc23,112,298.3200073,2,8,2,fail,987.6699829,13,1164.4699707,767.4310303,13,3196.5400391,958.1799927,359,50,-4.9000001,4.8000002,H-,C7H7O-,F-,CH3-,-0.7160000,0.6600000,6.7280002,7.7800002,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(F)ccc13,113,340.3999939,2,1,3,pass,3.7900000,13,335.2210083,43.8670006,13,724.9000244,32.6899986,429,46,-0.4700000,9.8000002,H-,C7H7O-,F-,C4H9-,0.3760000,5.2900000,-0.3500000,3.1900001,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(F)cc23,114,354.4299927,2,2,3,pass,655.5800171,42,783.2449951,5.2700000,42,2211.9199219,3.8800001,271,35,-0.3400000,4.9000001,H-,C7H7O-,F-,C5H11-,1.6520000,5.8000002,0.4320000,-0.7300000,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(F)cc24,115,380.4700012,2,3,3,pass,3.5200000,23,393.9670105,0.0810000,23,163.3600006,0.1800000,61,27,-3.4800000,4.9000001,H-,C7H7O-,F-,C7H13-,2.5969999,3.4100001,4.6840000,-0.1900000,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Br)cc23,116,345.2000122,2,4,3,pass,62.9300003,46,428.9989929,0.0040000,46,207.4799957,0.1000000,462,49,-1.0200000,8.1000004,H-,C7H7O-,Br-,H-,2.6989999,2.0200000,6.5890002,1.7600000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Br)cc23,117,359.2300110,2,5,3,pass,38.7200012,3,830.8300171,0.1880000,3,1244.6700439,0.1700000,402,45,-3.2600000,9.0000000,H-,C7H7O-,Br-,CH3-,1.6790000,4.6999998,3.2110000,4.2199998,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Br)ccc13,118,401.3099976,2,6,3,pass,272.7399902,57,7.9660001,2.1029999,57,11.6599998,3.3000000,22,57,4.5900002,7.4000001,H-,C7H7O-,Br-,C4H9-,4.8000002,2.2400000,2.6870000,5.1700001,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Br)cc23,119,415.3299866,2,7,3,pass,2.6300001,51,317.9089966,28.3780003,51,56.8800011,17.4899998,426,21,2.9200001,3.0000000,H-,C7H7O-,Br-,C5H11-,1.7690001,6.7199998,-0.8680000,-1.6799999,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Br)cc24,120,441.3699951,2,8,3,fail,122.5800018,6,1429.9899902,1337.8199463,6,2045.7099609,1949.9799805,227,35,4.3800001,10.6000004,H-,C7H7O-,Br-,C7H13-,-0.1000000,0.5200000,7.7709999,7.4000001,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(I)cc23,121,392.2000122,2,1,4,pass,40.8699989,41,590.5000000,37.8619995,41,1477.4799805,55.8699989,473,36,2.5999999,4.0999999,H-,C7H7O-,I-,H-,0.1810000,-0.8800000,4.5469999,6.2900000,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(I)cc23,122,406.2300110,2,2,4,pass,4.6199999,13,465.7269897,90.2669983,13,492.8299866,165.5700073,487,45,-3.0000000,8.8000002,H-,C7H7O-,I-,CH3-,4.6110001,-0.9700000,4.4010000,6.3000002,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(I)ccc13,123,448.3099976,2,3,4,pass,94.2500000,45,184.0130005,0.0710000,45,114.2500000,0.1300000,130,47,5.8899999,3.0999999,H-,C7H7O-,I-,C4H9-,2.0890000,2.7800000,0.9660000,5.6100001,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(I)cc23,124,462.3299866,2,4,4,fail,219.8300018,46,1106.6899414,3493.0700684,46,2115.1899414,10094.2001953,328,45,4.0599999,9.8000002,H-,C7H7O-,I-,C5H11-,7.9489999,3.5300000,2.6029999,0.5400000,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(I)cc24,125,488.3699951,2,5,4,pass,52.3199997,9,689.2789917,149.2299957,9,1116.9899902,16.5699997,382,21,2.6600001,8.8999996,H-,C7H7O-,I-,C7H13-,2.1380000,-1.6700000,3.3740001,8.0000000,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)C(N)=O,126,309.3299866,2,6,4,pass,152.0099945,49,404.4200134,69.5039978,49,311.5299988,124.1900024,156,41,-2.5500000,7.8000002,H-,C7H7O-,CH2NO-,H-,7.8940001,6.7600002,2.2420001,5.6599998,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)C(N)=O,127,323.3500061,2,7,4,pass,852.5800171,53,9.3500004,532.5720215,53,6.4699998,5.0799999,108,54,-0.8600000,8.3000002,H-,C7H7O-,CH2NO-,CH3-,6.0999999,-1.2300000,2.3180001,4.4600000,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)C(N)=O,128,365.4400024,2,8,4,fail,351.9400024,80,1064.8299561,3381.9899902,80,174.8399963,7136.0498047,106,20,2.3399999,9.6999998,H-,C7H7O-,CH2NO-,C4H9-,6.6459999,7.8099999,7.4920001,1.1500000,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)C(N)=O,129,379.4599915,2,1,5,pass,3.2000000,24,866.9580078,0.0030000,24,2235.6599121,0.1100000,227,70,-2.2500000,3.4000001,H-,C7H7O-,CH2NO-,C5H11-,2.3980000,1.2800000,1.3490000,4.6300001,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)C(N)=O,130,405.5000000,2,2,5,pass,3.9700000,44,47.0960007,60.6689987,44,22.3600006,73.6500015,493,20,-2.1700001,9.6999998,H-,C7H7O-,CH2NO-,C7H13-,-0.6460000,7.6100001,1.7510000,6.7600002,
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)[N+](=O)[O-],131,311.2999878,2,3,5,fail,9.6199999,33,903.1550293,3849.4499512,33,2482.3798828,3331.3701172,384,43,-2.0000000,9.0000000,H-,C7H7O-,NO2-,H-,0.9830000,-1.4900000,0.9210000,3.1900001,
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)[N+](=O)[O-],132,325.3299866,2,4,5,fail,6.1300001,47,1097.1700439,1506.2199707,47,2589.3400879,3484.6298828,373,62,-0.6400000,8.1999998,H-,C7H7O-,NO2-,CH3-,4.1469998,4.6799998,0.4220000,3.9200001,
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)[N+](=O)[O-],133,367.4100037,2,5,5,pass,5.5000000,22,852.6829834,7.9419999,22,1967.2299805,13.8900003,412,73,3.0200000,9.8000002,H-,C7H7O-,NO2-,C4H9-,5.1199999,4.0300002,5.2319999,-1.9400001,
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)[N+](=O)[O-],134,381.4400024,2,6,5,pass,2.5400000,49,4.8670001,48.5519981,49,2.6700001,2.4900000,93,58,3.3599999,8.6999998,H-,C7H7O-,NO2-,C5H11-,6.8000002,5.1399999,3.0530000,0.3200000,
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)[N+](=O)[O-],135,407.4700012,2,7,5,pass,198.0700073,54,205.2819977,113.5299988,54,355.3399963,162.6900024,71,49,-0.1400000,5.9000001,H-,C7H7O-,NO2-,C7H13-,4.9590001,4.3800001,2.6680000,5.3000002,
CC1N=C(c2ccccc2NC1=O)C3CCCCC3,136,256.3500061,2,8,5,fail,1.4900000,56,516.5449829,1968.8499756,56,1352.0000000,1987.1899414,295,24,-0.9400000,9.0000000,CH3-,C6H11-,H-,H-,4.4460001,0.4100000,2.5510001,1.1000000,C15H15N2O
CC1N=C(c2ccccc2N(C)C1=O)C3CCCCC3,137,270.3800049,2,1,6,pass,2.5599999,58,2.9280000,3.5139999,58,4.3600001,2.0899999,231,31,-0.6600000,8.0000000,CH3-,C6H11-,H-,CH3-,2.7210000,4.7399998,7.1339998,2.7600000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,138,312.4599915,2,2,6,pass,855.2199707,58,0.5280000,68.1520004,58,0.8100000,63.2400017,279,57,3.6400001,6.0000000,CH3-,C6H11-,H-,C4H9-,-1.0960000,7.0000000,5.7540002,-1.6300000,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,139,326.4899902,2,3,6,pass,14.0500002,31,732.0120239,352.4939880,31,1505.2900391,460.6700134,267,71,-4.0400000,8.1000004,CH3-,C6H11-,H-,C5H11-,2.6680000,1.8500000,1.1970000,0.8700000,C15H15N2O
CC1N=C(c2ccccc2N(CC3CCCCC3)C1=O)C4CCCCC4,140,352.5199890,2,4,6,pass,51.4700012,20,723.9310303,330.5520020,20,1016.8699951,80.7399979,188,40,1.6400000,8.0000000,CH3-,C6H11-,H-,C7H13-,5.0970001,0.6400000,0.0200000,4.8400002,C15H15N2O
CC1N=C(c2cc(Cl)ccc2NC1=O)C3CCCCC3,141,290.7999878,2,5,6,pass,102.1200027,81,0.0280000,0.1180000,81,0.1100000,0.2000000,148,37,-3.7700000,3.9000001,CH3-,C6H11-,Cl-,H-,5.0209999,-0.9400000,7.4740000,4.0500002,C15H15N2O
CC1N=C(c2cc(Cl)ccc2N(C)C1=O)C3CCCCC3,142,304.8200073,2,6,6,pass,4.2800002,62,0.4440000,60.4259987,62,0.9600000,75.4000015,206,55,2.3099999,6.1999998,CH3-,C6H11-,Cl-,CH3-,4.7140002,2.9000001,0.4570000,-0.6100000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,143,346.8999939,2,7,6,pass,943.3200073,3,967.7919922,750.8410034,3,2460.2700195,1825.8299561,493,35,3.0300000,9.0000000,CH3-,C6H11-,Cl-,C4H9-,1.0530000,4.3499999,7.0840001,0.0400000,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,144,360.9299927,2,8,6,fail,520.0800171,73,1196.9499512,4242.3999023,73,3628.7600098,5493.4799805,367,22,4.7500000,8.6999998,CH3-,C6H11-,Cl-,C5H11-,-0.5100000,-1.7100000,1.5940000,-1.3200001,C15H15N2O
CC1N=C(c2cc(Cl)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,145,386.9700012,2,1,7,pass,58.6199989,55,85.8629990,0.6660000,55,26.5900002,1.2600000,28,40,3.3299999,7.9000001,CH3-,C6H11-,Cl-,C7H13-,-1.3870000,-0.2800000,-0.3900000,4.6500001,C15H15N2O
CC1N=C(c2cc(C#N)ccc2NC1=O)C3CCCCC3,146,281.3599854,2,2,7,pass,2.7400000,55,8.9460001,44.5139999,55,0.4800000,55.8100014,63,27,-0.9400000,6.5000000,CH3-,C6H11-,CN-,H-,-0.8000000,7.6199999,4.9239998,-0.1300000,C15H15N2O
CC1N=C(c2cc(C#N)ccc2N(C)C1=O)C3CCCCC3,147,295.3900146,2,3,7,pass,14.3000002,30,128.4709930,3.1970000,30,12.5600004,5.9499998,451,39,-3.6400001,8.1999998,CH3-,C6H11-,CN-,CH3-,5.4400001,7.2600002,-0.2690000,4.2900000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,148,337.4700012,2,4,7,pass,119.0599976,90,0.0100000,456.4760132,90,0.8700000,0.1100000,444,81,-2.4700000,5.3000002,CH3-,C6H11-,CN-,C4H9-,7.4390001,4.4299998,2.5810001,4.0999999,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,149,351.5000000,2,5,7,pass,51.6599998,86,0.0090000,154.2100067,86,0.1500000,1.0900000,131,56,-3.7200000,4.0999999,CH3-,C6H11-,CN-,C5H11-,6.1859999,3.0100000,0.7820000,6.6100001,C15H15N2O
CC1N=C(c2cc(C#N)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,150,377.5299988,2,6,7,pass,6.4899998,10,815.6030273,2.6689999,10,1062.4899902,0.1300000,29,47,4.5000000,8.8000002,CH3-,C6H11-,CN-,C7H13-,3.2190001,4.6900001,4.0739999,4.9099998,C15H15N2O
CC1N=C(c2cc(ccc2NC1=O)N(C)C)C3CCCCC3,151,299.4200134,2,7,7,pass,14.5000000,60,25.2409992,783.9420166,60,17.6100006,1385.5300293,461,31,-1.1000000,7.3000002,CH3-,C6H11-,C2H6N-,H-,5.3670001,0.4700000,-1.9720000,0.1200000,C15H15N2O
CC1N=C(c2cc(ccc2N(C)C1=O)N(C)C)C3CCCCC3,152,313.4500122,2,8,7,fail,3.3199999,17,1459.5300293,1490.9200439,17,1275.1400146,1844.5000000,227,39,2.7000000,3.8000000,CH3-,C6H11-,C2H6N-,CH3-,7.2550001,0.2000000,2.1429999,6.2700000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,153,355.5299988,2,1,8,pass,53.5800018,66,0.0570000,257.9289856,66,15.4399996,5.3099999,378,56,-1.1700000,7.1999998,CH3-,C6H11-,C2H6N-,C4H9-,5.1120000,5.9000001,7.8000002,2.4300001,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,154,369.5499878,2,2,8,pass,2.5400000,12,0.1500000,224.1349945,31,151.3500061,0.1000000,113,76,-1.5200000,7.9000001,CH3-,C6H11-,C2H6N-,C5H11-,7.3750000,5.2600002,2.3160000,-1.7500000,C15H15N2O
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)N(C)C)C4CCCCC4,155,395.5899963,2,3,8,pass,60.6199989,11,0.0200000,4533.9799805,11,638.5700073,1.0200000,44,41,-1.4700000,10.6000004,CH3-,C6H11-,C2H6N-,C7H13-,6.2859998,1.9900000,1.8550000,-0.7200000,C15H15N2O
CC1N=C(c2cc(F)ccc2NC1=O)C3CCCCC3,156,274.3399963,2,4,8,pass,28.1000004,10,824.9970093,0.0030000,10,1974.1600342,0.1000000,152,61,-4.6700001,11.0000000,CH3-,C6H11-,F-,H-,1.4990000,5.0100002,5.9260001,1.8200001,C15H15N2O
CC1N=C(c2cc(F)ccc2N(C)C1=O)C3CCCCC3,157,288.3699951,2,5,8,pass,807.3400269,29,154.6399994,6.0250001,29,90.0599976,2.6400001,16,54,-3.2000000,3.5999999,CH3-,C6H11-,F-,CH3-,1.3340000,2.9600000,0.8160000,-0.7500000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,158,330.4500122,2,6,8,pass,372.2600098,53,1.8540000,894.2540283,53,3.1099999,1860.6099854,175,82,-2.4600000,10.6000004,CH3-,C6H11-,F-,C4H9-,-0.6050000,-0.1200000,-0.5490000,4.5900002,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,159,344.4800110,2,7,8,pass,169.1499939,66,0.7780000,634.2999878,66,1.5100000,893.8800049,300,55,7.8899999,11.0000000,CH3-,C6H11-,F-,C5H11-,6.7870002,4.0999999,0.8590000,5.1700001,C15H15N2O
CC1N=C(c2cc(F)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,160,370.5100098,2,8,8,fail,23.3500004,26,1263.1800537,3862.0300293,26,2616.6000977,1266.3399658,82,19,1.3800000,6.5999999,CH3-,C6H11-,F-,C7H13-,1.0880001,5.0400000,4.7940001,4.9800000,C15H15N2O
CC1N=C(c2cc(Br)ccc2NC1=O)C3CCCCC3,161,335.2500000,2,1,9,pass,177.8600006,67,0.7500000,14.6320000,67,0.9700000,0.3100000,175,57,-2.0200000,9.8000002,CH3-,C6H11-,Br-,H-,-0.1640000,2.0500000,0.2110000,-0.8800000,C15H15N2O
CC1N=C(c2cc(Br)ccc2N(C)C1=O)C3CCCCC3,162,349.2699890,2,2,9,pass,8.6599998,37,805.6560059,19.5470009,37,2168.2399902,7.1300001,354,75,3.1800001,10.1000004,CH3-,C6H11-,Br-,CH3-,0.8450000,4.9800000,7.8740001,7.5200000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,163,391.3500061,2,3,9,pass,2.7800000,13,683.4840088,271.2170105,13,69.8799973,105.8099976,39,20,-3.9500000,8.5000000,CH3-,C6H11-,Br-,C4H9-,3.2790000,4.4099998,2.2760000,3.7100000,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,164,405.3800049,2,4,9,pass,47.1800003,52,432.7919922,3.2700000,52,497.7600098,5.0799999,415,50,-0.0600000,3.2000000,CH3-,C6H11-,Br-,C5H11-,-0.4240000,4.0799999,0.9860000,2.2500000,C15H15N2O
CC1N=C(c2cc(Br)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,165,431.4200134,2,5,9,pass,3.9100001,17,461.1369934,65.3880005,17,930.0999756,116.7699966,252,26,-3.0300000,10.8000002,CH3-,C6H11-,Br-,C7H13-,2.3820000,7.6199999,-1.8290000,1.8000000,C15H15N2O
CC1N=C(c2cc(I)ccc2NC1=O)C3CCCCC3,166,382.2500000,2,6,9,fail,106.4300003,25,858.7199707,4716.1499023,25,962.5000000,15195.4003906,338,55,4.3800001,7.5000000,CH3-,C6H11-,I-,H-,7.4949999,0.3300000,4.1149998,4.3000002,C15H15N2O
CC1N=C(c2cc(I)ccc2N(C)C1=O)C3CCCCC3,167,396.2699890,2,7,9,pass,43.2099991,37,97.1100006,121.8730011,37,46.9599991,229.4600067,329,36,3.4200001,8.3999996,CH3-,C6H11-,I-,CH3-,5.8230000,7.9499998,-0.5050000,4.7100000,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,168,438.3599854,2,8,9,fail,6.4299998,83,698.4780273,3431.9899902,83,334.8299866,11902.7998047,358,38,-3.4700000,10.6000004,CH3-,C6H11-,I-,C4H9-,2.4230001,-0.0900000,6.5960002,6.4400001,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,169,452.3800049,2,1,10,pass,124.3600006,30,181.7539978,177.6900024,30,213.1600037,64.8799973,30,52,2.3399999,9.1999998,CH3-,C6H11-,I-,C5H11-,-0.0820000,6.8400002,7.6980000,5.6900001,C15H15N2O
CC1N=C(c2cc(I)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,170,478.4200134,2,2,10,pass,2.7900000,14,171.7649994,163.0249939,14,361.9299927,75.1200027,487,47,-4.0500002,10.1999998,CH3-,C6H11-,I-,C7H13-,4.2529998,4.4000001,5.4720001,5.5799999,C15H15N2O
CC1N=C(c2cc(ccc2NC1=O)C(N)=O)C3CCCCC3,171,299.3800049,2,3,10,pass,4.1100001,22,267.1960144,933.1749878,22,291.8299866,2019.6199951,221,53,-3.9500000,8.3000002,CH3-,C6H11-,CH2NO-,H-,4.5570002,1.1300000,1.0080000,-1.2500000,C15H15N2O
CC1N=C(c2cc(ccc2N(C)C1=O)C(N)=O)C3CCCCC3,172,313.3999939,2,4,10,pass,470.1000061,48,813.0770264,14.3649998,48,385.0599976,14.5500002,37,67,3.7100000,7.0000000,CH3-,C6H11-,CH2NO-,CH3-,2.9730000,5.9800000,-0.3690000,6.8299999,C15H15N2O
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,173,355.4800110,2,5,10,pass,19.0300007,37,276.9630127,731.2429810,37,293.7699890,1720.8599854,197,52,-3.1600001,7.3000002,CH3-,C6H11-,CH2NO-,C4H9-,4.5400000,1.5900000,7.8699999,3.2500000,C15H15N2O
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,174,369.5100098,2,6,10,fail,124.2799988,24,963.4580078,4743.7700195,24,723.7199707,16173.5000000,21,59,-1.4700000,11.0000000,CH3-,C6H11-,CH2NO-,C5H11-,7.1209998,-0.1500000,1.7780000,-1.9800000,C15H15N2O
