smiles,Mol Wt.,R3 fmla,text
O=C1CN=C(c2ccccc2)c3cc(ccc3N1CC4CCCCC4)[N+](=O)[O-],377.4500122,NO2-,"I was given Lisinopril in the hospitalto control my BP and prescribed it when I got home. While I didn't notice any side effects at the hospital, when I got home, I took it. Within a few hours I was experiencing severe chills, diarreha and nausea. I went to the ER, they ran x-rays, CT scan, blood and urine samples which were normal. I was told that I may be coming down with a virus and sent home. I tried to explain I was having a reaction to something and they weren't listening.  I took the medication a second night and began experiencing the same issues. I got online and input Lisinopril and chills. I found out while chills is not listed as a side effect. There were others whose complaints were severe chills as a reaction. I will be calling my physician in the morning and tell him what happened and request a different medication or herbal methods to try and control the high BP."
COc1ccc(cc1)C2=NCC(=O)Nc3ccccc23,266.2999878,H-,I have use this medication and amodipine for some years now but my blood pressure is always 150/90. I take 10mg. What can I do to reduce my pressure.
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccccc23,280.3299866,H-,Was able to cut the dosage in half after one month. 
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3ccccc13,322.4100037,H-,Kept blood presure normal but caused a dry cough.Also had blurred vision so much that I saw an opthomologist who found nothing wrong with my eyesight.  Finally figured it out myself after reading side effects on WebMD and asked for another medication.  Vision cleared up immediately. I took medication 1 month.
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccccc23,336.4400024,H-,"coughed all night, but it brought down my pressure.  Just couldn't take the cough as I have COPD                                                                                                         "
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccccc24,362.4800110,H-,"Severe allegic reaction, top lip swoll to 3-4 times its normal size."
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Cl)cc23,300.7500000,Cl-,"Lllllllllllllllllllllllllllllllllllllllllllll
It has been easy taking this medicine.  I do not think it is heping."
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Cl)cc23,314.7699890,Cl-,"I have been taking this medication for a few years. When I first started taking these meds I was taking 2-20 mg along with a water pill and I had all kinds of issues, breathing, dizzy, tiredness. Then reduced dosage to 1-20 mg and a different type of water pill and this has controlled my hbp 120/80 or lower. I am still tired and have to take nap after work, also lately i feel faint frequently to the point I almost passout. Not sure but, i think I will see my dr to switch to different meds "
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Cl)ccc13,356.8599854,Cl-,"dizzy,fatigued,ached all over,Could not function normally."
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Cl)cc23,370.8800049,Cl-,10mg. no cough. no drowsiness.
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Cl)cc24,396.9200134,Cl-,"Short of occasional dizziness, I like the medication, it does work. "
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(C#N)cc23,291.3099976,CN-,blood pressure still goes high then too low never the same all day
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(C#N)cc23,305.3399963,CN-,o.k. at 5mg daily
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(C#N)ccc13,347.4200134,CN-,"Headaches,Dizzy all the time,Thirsty all the time, Dry Cough, Pain in back by kidneys, Sweating, Tempature goes up, Spacy feeling like not myself. Drops blood pressure to normal but the side affects are too overwhelming to deal with, it makes me feel like im dying, anxiety attacks worse and feel depressed."
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(C#N)cc23,361.4500122,CN-,"I took this drug for several years blood pressure was all over the place and the side effects were bad, dry hacking cough and every night severe leg pains,Dr. said it was not related to drug. Moved to another state and a new Dr,he took me off this drug immediately and switched to another one, no more leg pains after years of suffering with them and no more dry cough."
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(C#N)cc24,387.4899902,CN-,"10 mg 1X daily for 9 months ... very quick response, bp from 150/105 has been consistent at 120/78.  However, began to experience worsening dry cough during night, then also day.  Have just been switched to 80mg Diovan as this med is said to relieve cough.  "
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)N(C)C,309.3699951,C2H6N-,"Taken for 3 months. Experienced depression, tiredness, and a terrible cough. Lived with cough drops day and night. Body did not adjust, only got worse. Replaced with Atacand. Will see if that works."
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)N(C)C,323.3999939,C2H6N-,"THIS REFERENCE WAS EXCEPTIONAL AND VERY USER FRIENDLY, THANK YOU."
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)N(C)C,365.4800110,C2H6N-,After seeing a Doctor my Blood pressure is within an acceptable range. Works for me.
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)N(C)C,379.5100098,C2H6N-,"I have been taking this medication for five weeks. I have developed a horrible cough, which is even so hard that I gag! I feel tired because of lack of sleep due to the coughing episodes. My PCP has put me on allergy medications to ""rule out"" allergies as a factor. I know my body; this cough is from Lisinopril! I am so tired of coughing! Why is the drug company not improving this product?"
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)N(C)C,405.5400085,C2H6N-,"unable to sleep, achy joints, cough, "
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(F)cc23,284.2900085,F-,Taking 10mg per day and started to have some lightheadedness and irregular heartbeat after 18 months. Now that I have read other reviews I realize my lower back pain could also be caused by this drug. I am havinf my MD change my prescription.
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(F)cc23,298.3200073,F-,"Cant sleep because of a choking feeling, and post nasal drip. Throat feels constricted and dry. I have been having those panic felings, and strong anxiety especially laying down. Also feels hard to breath, especially in closed in places. Exhausted from lack of sleep."
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(F)ccc13,340.3999939,F-,"I have battled with depression for years and was just recently diagnosed as bipolar w maniac depression personality disorder post traumatic stress and anxiety!I feel a mess i have been on numerous medications and just recently stopped takind seroquel after a 75 pound weight gain.i just started lithium a week ago and reading these comments i,m scared!!!!!!I don,t want to end up in renal failure or with hypothyroidism.IS THERE ANYTHING OUT THERE TO HELP ME?????I WANT MY LIFE BACK NOT BACKWARDS!"
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(F)cc23,354.4299927,F-,"I was put on Lisinopril 20 mg. to control my blood pressure. After 3 weeks, had to lower dose to 10 mg. as dizzy, etc.  About 12 months later, cough became much worse, left side of face was swollen several times when I awoke and I had the feeling that I was choking even when not eating.  Cardiologist changed my prescription from an ace inhibitor to another drug.  Advised not to take any ace inhibitor!! "
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(F)cc24,380.4700012,F-,"The cardiologist prescibed Lisinopril 2 months ago for high blood pressure (145/115)but developed a serious and constant hacking cough, people in the office started complaining about it.  Also when I went to the beach (this is Florida) I would break out in a rash and had such itchyness that I scratched for days and made my skin raw.  I am now starting to take another medication.  PS: My GP started me on all sorts of anti cough meds ($150!!) without telling me that it was one of the side effects of Lisinopril."
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(Br)cc23,345.2000122,Br-,"Per WEB MD:  It is very important to have the right amount of lithium in your body. Too much lithium lead to unwanted effects: nausea, severe case diarrhea at times with less than 1 min. to park it on a commode! My hands/fingers had slight twitch off & on. No dizziness, seizures,or slurred speech.  Maybe increase in urine relayed to fluid intakes. I found 1200 mg/day was too scary for me!  

I was ""Stuck"" in the middle of the roller coaster ride, half way up-half way down. No super highs at the top, & no bottom gut wrenching lows.

NO FEELINGS, NO ENGAGEMENTS JUST A ZOMBIE IN LIFE!

After 7 yrs on Lithium ('79-'86) I got off!

I rode the roller coaster called LIFE! UPS, DOWNS, & all the good & bad in between for over 20 years.

I WOULD NOT EXCHANGE ONE MINUTE OF IT.  LIFE'S TOO SHORT, DON'T LIVE SOMEBODY ELSE'S EXPECTATIONS.

With Lithium, a ""tad"" too much in your system and you're getting manic, ""tad"" too low suicide creeps back.  Problem: Doctors Rx @ 300,600,900,1200mg's. but your body may only need 725 mg.

CLOSER blood lithium monitoring should be like it is for diabetics. 
 

WEB MD: TALK to your Dr. IMMEDIATELY! if these.... effects occur they MUST BE TAKEN SERIOUSLY.

I'm back on 1200mg Lithium, Aug. '07. Diarrhia was killing me 3-4x/day for 2 wks in Nov. 07.  Old Dr. cut me to 900 mg and it went away.  New dr. put me back to 1200mg & guess what!?  So last week my new Dr. changed my Rx to DIVALPROEX 500mg 2x/day.  

I'm scared as hell! Divalproex causes: 1st symptom  is ""diarrhia"" as too much Lithium!  The sweet spot Divalproex ""has rarely caused serious (sometimes fatal)liver problems"".  A disabled vet, in need of his disability pay must take the new medicine. If I am around in 5-6 mo. I will repost! Live Long!

There is only a small difference between the correct amount of lithium and too much lithium. Therefore, it is important that your doctor monitor you closely during treatment. Keep all medical and laboratory appointments while you are taking lithium."
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(Br)cc23,359.2300110,Br-,What not to eat and drink while on this medication is a little hard to get used to. But it helps wonders to stabilize my mind! Not only the manic but everything. Its amazing I finally feel like me again!
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(Br)ccc13,401.3099976,Br-,"This is a follow up to a previous rating I gave where I described my severe coughingas a result of taking lisinopri. This condition went on for over a month and has now subsided.  The doctor gave me allergy meications but apparently I never took them long enough.  She said you have to keep with it for a long time, maybe over a week to get relief.  So for those of you still afflicted by the cough try staying with some of the allergy meds.  For those of you who think you might have the coughing side effect be aware they last a long time.  I stopped taking lisinopril for three days thinking the coughing would stop and it didn't, so I resumed the dosage.  If you have that itchy throat you should probably stop right away.  "
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(Br)cc23,415.3299866,Br-,My BP went down within a week.  Good drug.  I am on a low dosage and it worked for me with no side effects.
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(Br)cc24,441.3699951,Br-,"The medication has helped reduce my blood pressure, but as I am going through the menopause, I have found that my hot flushes have increased,and the redness in my face has become extremely embarrassing."
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(I)cc23,392.2000122,I-,Dramatic difference with virtually no side effects.
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(I)cc23,406.2300110,I-,"This drug has been very effective for lowering my blood pressure.  However, I have the cough and constant post-nasal drip. Interesting to hear that someone else associates low back pain with the drug - I've developed that also.  Will contact my doctor to change to another medication."
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(I)ccc13,448.3099976,I-,"Starting having headaches so bad it was hard to go to sleep.(I take med at bedtime) I couldn't figure out why, and by process of elimination, I figured out its this medication. I won't be taking this anymore."
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(I)cc23,462.3299866,I-,"The only thing I have noticed is the dry couth.  However, it appears to be working for me along with continuous exercise"
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(I)cc24,488.3699951,I-,I take Lisinopril for high blood pressure.  Within the past six weeks I have developed a constant dry cough.  Is this a side effect of this medication? 
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)C(N)=O,309.3299866,CH2NO-,"Overall, tolerable. Find myself at a loss to find a word or train of thought in the early evenings. Very tired, No energy during the day. Some slight muscle cramps. Calves and hamstrings. Top of my head tingles from time to time. Slight headache, thought it was due to staring at computer for work. From other reviews may be medication.  No cough, some dry mouth. Eyes extremely dry. Lubricating drops takes care of this. "
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)C(N)=O,323.3500061,CH2NO-," male taking this medication for a month made me feel dizzy,  light headed. muscle aches in left and right arms at times and feels tingle in my sides at times "
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)C(N)=O,365.4400024,CH2NO-,"I took lisinopril for less than 6 mo; it gave a dry hacking cough and was completely ineffective for high BP. My doctor thought I had COPD, but the cough went away within 1 week after I stopped taking lisinopril. I have taken many meds for BP over the past 30 yrs, this was the worst!"
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)C(N)=O,379.4599915,CH2NO-,"Bad Med! Severe Coughing in morning and Worse, During the Night! I was only on 5 mg and experienced horrible coughing and gagging with tooth brushing. Nightly Sleep Disruption and Morning Horrible Coughing! I want to ask my doctor if he would put his own mother through this torture!!!!"
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)C(N)=O,405.5000000,CH2NO-,"since i have been on this medication i am able to function better, i was having a slight headache when i first started. but it went a way .. i feel relaxed not nauseaed ....it does allow me to urine frequently.i am more alert and focus on my 8-5 job....   "
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)[N+](=O)[O-],311.2999878,NO2-,i've always thought lisiopril was great for my high blood pressure but my new Doctor noticed i had been taking it for 4 years after a visit because my blood pressure was starting to be higher than usual  he put me on benacar 40/25 i never had a  water rention until i started taking it 
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)[N+](=O)[O-],325.3299866,NO2-,I have been taking only 3 weeks. My blood pressure still is fluctuating from 150 to 106. I check my blood pressure at least 3 times a day. It is higher in the early mornings. I am taking a 2.5 mg dosage.
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)[N+](=O)[O-],367.4100037,NO2-,"Blood pressure was immediately lowered, 
but after a few weeks severe coughing attacks started. Family and co-workers thought I had TB and called me Doc Holiday. Work suffered. Dr. prescribed a new drug after 2 horrible months."
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)[N+](=O)[O-],381.4400024,NO2-,"I have tried this drug before and all I do is cough, cough, and cough after two days worth.  It did lower my bp better than Benicar but the coughing is now causing asthma attacks, chest pain from the coughing and lack of sleep for myself and my husband.  The side effect of that alone is not worth it. "
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)[N+](=O)[O-],407.4700012,NO2-,"Itchy throat since being on this.  It does help, but is by no means a miracle cure.  The sex drive has taken a hit as well."
CC1N=C(c2ccccc2NC1=O)C3CCCCC3,256.3500061,H-,How long after stopping taking Lisinopril does the coughing go away?
CC1N=C(c2ccccc2N(C)C1=O)C3CCCCC3,270.3800049,H-,"Dr. started me on 10 mgs, worked well, but not quite good enough, he raised it to 40 mgs.  I never felt so bad in my life! But I'm stubborn and besides I didn't want to have meds changed again.  So I hung in, read hundreds of reviews on this website.  Then I found a few that said the same thing was happening to them when their prescription was raised to 40 mgs. These few reviews each said they divided the 40 mgs into two 20mgs doses, one taken in am, the other in pm.  I tried, it worked!! Don't give up, this medication is the only one that works on my bp.  The dry cough lasted about 3 wks, the flu feelings left, too, once I divided the dosage.  "
CCCCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,312.4599915,H-,i have just started this medication
CC(C)CCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,326.4899902,H-,"Lisinopril lowered my blood pressure far too much.  Tonight it was 78/55.  Can't sleep because of awful scratchy cough and itching in lungs.  Terrible diarrhea and poor appetite.  Very, very tired.  I've been on it for a little over a week, and I'm calling my doctor tomorrow to find out how to get off this stuff.  One other weird side effect: I'm having 5 or 6 allergy attacks a day.  Normally during this season, I have one or two a week.  Feels like my body can't protect itself."
CC1N=C(c2ccccc2N(CC3CCCCC3)C1=O)C4CCCCC4,352.5199890,H-,"Bad, bad drug. Been on this drug for 8 months. One day after starting it I began  experiencing a dry, dry, cough. The cough continues through the night. The cough racks my entire body. Also since starting the drug- runny nose, tightness in chest tightness in throat. Aches in legs and shoulder. Prior to this med I never had any of those symptoms. The treatment is worse than the cure. I'm going to try to find something else for my high Blood pressure or live with high blood pressure."
CC1N=C(c2cc(Cl)ccc2NC1=O)C3CCCCC3,290.7999878,Cl-,ON IT FOR 6 WEEKS. TOOK 10 MG THEN SWITCHED TO 20MG.. VERY BAD COUGH. UPPER RESPITORY INFECTION 2 TIMES IN 30 DAYS. SINUS DRAINAGE. TIGHTNESS IN CHEST. DR HAS SWITCHED ME TO LOSARTAN 100 MG..START IT IN THE MORNING
CC1N=C(c2cc(Cl)ccc2N(C)C1=O)C3CCCCC3,304.8200073,Cl-,Am very satisfied with this drug with this one exception - dry caugh especially at night. Keeps me awake and the wife too. Have to sleep on the couch more than I would like. It is an ACE Inhibitor which causes the tickle in my throat. Called the Dr today to see if there was a different med that will work.
CCCCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,346.8999939,Cl-,Well I was on this for about 5 mths and all was good until my hair started falling out more and more.. I was not sure why. I went to the doctor and she changed my meds and all is good. other than that it worked well.
CC(C)CCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,360.9299927,Cl-,"I've had problems my whole life, I'm 57, I liked this drug at first but now, Terrible Gas, doesn't work half the time or more, very disappointed...Had to take Mirlax this morning and a lot to clean out which is what I've had to due in the past, oh and excess bloating!!!"
CC1N=C(c2cc(Cl)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,386.9700012,Cl-,"I have only used the med one week, with some results but I awoke during the night with swollen glands on one side of my throat. My doctor is out of town until Wed., his fill-in told me to stop the pills until I see doctor.  The first two days, I had diarrhea within and hour of taking the pill.  This slowed the next two days, though I had rumbling and some pain with minimal movements during the day. I've had no movements since, with incredible, insatiable thirst and now the swollen glands along with strong urine.  Maybe this isn't for me - I will see doctor when he's back and decide what to do.  If my symptoms disappear as soon as it's out of my system, it will be difficult to start over.  I do have lifetime history with constipation, I am 61, have had bowel obstructions due to condition and one bowel re-section surgery a little over 20 years ago.  Stress is a trigger for my condition, which I usually controlled with daily doses of Metamucil and Miralax when needed.  Recent life issues have increased the stress and the condition got away from me again.  I usually have it back under control within a month, this time I don't.  Scar tissue or adhesions are a large issue in my case and may be adding to the problem.   "
CC1N=C(c2cc(C#N)ccc2NC1=O)C3CCCCC3,281.3599854,CN-,"I had this medication for a week and was working for me after 2 weeks it was giving me diarrea and I had bowel movement intense and fast, it caused hemorroids.  I have felt the following effects after taking the medication: bloating,dizziness,sleepiness,my ears feel clogged up and muscular leg pain. I thinks it's good if you want a temp relief because works faster than other medications. "
CC1N=C(c2cc(C#N)ccc2N(C)C1=O)C3CCCCC3,295.3900146,CN-,Do not get it wet because the heat increases the strength.  Is it possible to drive? 
CCCCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,337.4700012,CN-,"My experience with this medicine has been horrific to say the least. But according to my insurance company I had to try certain things before they would say okay, a histerectomy is obvious since the patient has had no success. I am 3 shots in, due for my 4th on the 16th which i will not be taking. My Dr has me set up for a 6 month shot therapy. I was hospitalized 6/6/11 due to severe right flank pain , nausea, migraines. My pain was so severe that it had become unbearable. Well here it is the 11th & have been diagnosed with IBS, erosive gastritis, & these shots threw my body into menapause. They're hoping I'll be able to go home tomorrow. I've been on a liquid diet because when I would eat within 10-15 minutes everything I ate would come right back up. So I have to be able to eat so I can go home. They're taking me off the Lupron shots & now I have IBS to deal with for the rest of my life. I'm not necessarily wanting to have surgery, I just want to my happy go lucky positive self, be 'me' again. I haven't felt like me for a few months. It has been by the grace of God himself that I made it as far as I have dealing with all this pain & misery. It will also be by the grace of God himself that I will overcome this with the help of my doctors to keep me from living with the pain of endometriosis. "
CC(C)CCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,351.5000000,CN-,It knocked mt PSA reading down from 900 to point 4 in a matter of a couple of months. Along with Casadex 50mg
CC1N=C(c2cc(C#N)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,377.5299988,CN-,"Mild depression,night sweats,lack of energey
and low labito."
CC1N=C(c2cc(ccc2NC1=O)N(C)C)C3CCCCC3,299.4200134,C2H6N-,I have had head-akes alot but this medication has helped with my endometosis.
CC1N=C(c2cc(ccc2N(C)C1=O)N(C)C)C3CCCCC3,313.4500122,C2H6N-,Next day drowsiness. 
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,355.5299988,C2H6N-,"I am on my 5th shot of Lupron and I am satisfied so far with the results.  The only thing I don't like is that it lowered my sex drive, but compared to the pain that I suffered before, it is worth it.  I had very heavy periods with severe cramping.  For two weeks of every month, I couldn't function because of severe fatigue and pain.  My period was so heavy that I was taking presciption iron pills to combat extreme anemia.  One doctor told me that I would need a hysterectomy to relieve my symptoms, but I got a second opinion and my new doctor prescribed Lupron.  Now-though I've had some mood swings and minor hot flashes-I can get on with my life.  And I'm saving a bundle on sanitary products because I don't have a period.  Yay!"
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,369.5499878,C2H6N-,"I've now been on this drug for 5 months. I started on 2/day, then was raised to 4/day because I still had symptoms. Last month, my doctor dropped me from 4/day to 2/day and now I'm at 1/day and I still have no symptoms. It seems it takes awhile for it bring you into remission, but I've been there since! As for the comment about not feeling like you have go at all, that happenend to me when I was changing my dosages. Perhaps our bodies just need to adjust."
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)N(C)C)C4CCCCC4,395.5899963,C2H6N-,Easy to use but kept me awake all night.
CC1N=C(c2cc(F)ccc2NC1=O)C3CCCCC3,274.3399963,F-,ok
CC1N=C(c2cc(F)ccc2N(C)C1=O)C3CCCCC3,288.3699951,F-,Excruciating stomach pains experienced  
CCCCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,330.4500122,F-,"This WAS my miracle drug. Until recently, I took 2mg, and slept a full 6-7 hours without interuptions.  Now, I am up after 4 hours.  Very frustrated......."
CC(C)CCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,344.4800110,F-,"I experience very little of the side-effects.  There was some light sunburn-like sensation where I applied it, but that went away.  Occasional itching in the corners of my eyes, dryness, redness, but nothing that frightened me or discouraged me from using it.  The results on my eyelashes are amazing.  I'm extremely satisfied and would recommend it to anyone without eye health problems."
CC1N=C(c2cc(F)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,370.5100098,F-,"I was given this generic form of Prevacid 30mg, does not work.  Previously was on generic Mylan 8030, not a problem for years!!!  Within a couple of days taking this Sandoz Pharm. pill, I'm miserable with reflux, nausea, burning in chest and stomach, gas, burping.  I'am contacting my mail order pharmacy (Caremark) tomorrow to discuss getting something else that has worked.  Very disappointed and not happy with this Sandoz Pharm., generic version of 30 Prevacid Delayed Release. "
CC1N=C(c2cc(Br)ccc2NC1=O)C3CCCCC3,335.2500000,Br-,"I was prescribed this medicine for depression. My depression lifted and I felt great, but within 6 weeks I having movement disorders. I went off Latuda, but my symptoms continued to worsen. My disorders ( Parkinsonians ) that I couldn't stop moving even in my sleep. I was shaking, jerking, and spasming 24/7. I went into the hospital while the experts tried to find medicine to help me. I am getting some relief from a drug that is not yet FDA aplroved. I still don't know if my condition is permanent. I was left unable to take care of myself or work for months now."
CC1N=C(c2cc(Br)ccc2N(C)C1=O)C3CCCCC3,349.2699890,Br-,"This medication has caused me not to be able to sleep, be nauseated, have blurred vision to the point of barely being able to read.  Urinate very frequently. It has made no difference in my seizures.  Not a good medicine for me."
CCCCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,391.3500061,Br-,"I would take this medication and I wouldnt remember anything I would say or do after I took it. Some nights I would get up in the middle of the night and take a shower and have no knowledge of it the next day, I would even leave the water running until morning. I would even get into my car, drive to work and then drive home. I would have conversations with people in my living room with people that weren't really there and not remember it. What a freaky medication. I told my doctor about it and he immediately took me off of it. "
CC(C)CCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,405.3800049,Br-,This medication did NOTHING AT ALL besides make me yawn may be one time! Left a horrible taste in my mouth too. I have no insuance and paid 75 dollars for 10 pills. WASTE OF MONEY AND TIME!
CC1N=C(c2cc(Br)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,431.4200134,Br-,"horrible taste in my mouth - I thought I had accidentally gotten perfume in my mouth - horrible
only slept 3 hours the first night
trying it again tonight - still a horrible taste but not quite as bad - if I sleep longer I will probably go ahead and take it for the free trial week I was given"
CC1N=C(c2cc(I)ccc2NC1=O)C3CCCCC3,382.2500000,I-,Now I sleep so many of problems related to lack of serotonin are gone. Temperament is vastly improved. Those around me can tell a big difference so I've been told
CC1N=C(c2cc(I)ccc2N(C)C1=O)C3CCCCC3,396.2699890,I-,i dont see a change still having mood swings and irritability
CCCCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,438.3599854,I-,the mouth & tongue sores.  But it really works for my depression.  What can I do?
CC(C)CCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,452.3800049,I-,"I was severely depressed with fierce anxiety. Latuda 60mg helped instantly with the problem. The only problem is it make me sleep when taken with breakfast and awake with dinner. So i take it at lunch. Make me sleepy though, but less than in the morning."
CC1N=C(c2cc(I)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,478.4200134,I-,I was given this to stabalize my mood swings. I have not noticed ANY type of difference. It's like i'm taking a fake pill. 
CC1N=C(c2cc(ccc2NC1=O)C(N)=O)C3CCCCC3,299.3800049,CH2NO-,This medicine i took was for insomnia.... i was first on the 1 mg and that worked for a little but then finally stopped working... my dose was moved to 3 mg and worked fine after a couple of drinks i am now having to take triple the dose just to be able to fall asleep. there has to be something better!!! Dont go above the written dose unless u call your Dr. though!!!
CC1N=C(c2cc(ccc2N(C)C1=O)C(N)=O)C3CCCCC3,313.3999939,CH2NO-,"It ""seems"" when I take Lunesta, my period kicks in. I don't take it all the time nor does my period kick in all the time but I have noticed sometimes after I take it I will start to bleed. Has any woman had this experience?"
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,355.4800110,CH2NO-,"Been on Lamictal for 2 years with great success in controlling my mood swings. However, for my last refill, I was given this generic, Lamotrigine. Immediately, my mood swings came back. I also was nauseated after I took it. Got switched back to the name brand, Lamictal and I feel normal again. 

If you are on this medication and it is not working for you or causing bad side effects, ask your Dr. to switch you to 
Lamictal. It is really the wonder drug.

Unfortunately, now I will have to fight with my insurance company to supply me the name brand. "
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,369.5100098,CH2NO-,I have been on this drug for a year just in the last 3 mos my dose was raise to 250 a day as I began feeling very manic. It has only been a week but feel better. This drug has been my life saver.
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)C(N)=O)C4CCCCC4,395.5499878,CH2NO-,"Terrible Headaches after second day. I'm taking two to three naps a day on 25mg @ two tabs in the morning. Sick to my stomach, and feel dizzy most of the time. My mental attitude is much worse. I feel more depressed, especially in the evenings. This drug is Poison and should be removed from the Rx market. I quit this alleged medication almost five days ago. I'm feeling much better, and my headaches are almost gone. I noticed that someone here said they were taking 200Mg?!! I can't imagine having that much of this alleged medication in my system! I hope that person will be OK."
CC1N=C(c2cc(ccc2NC1=O)[N+](=O)[O-])C3CCCCC3,301.3500061,NO2-,"After five weeks of taking the drug, my taste has been altered enough to make it impossible to eat or even drink water!  It tastes as if I have a handful of change and lead pencils in my mouth along with terrible bitterness. It has been two weeks since I stopped and same problem. I'm miserable and have lost a lot of weight...pharmacist was completely unhelpful with diagnosis or cure and doctor has yet to call me back after 5 days."
CC1N=C(c2cc(ccc2N(C)C1=O)[N+](=O)[O-])C3CCCCC3,315.3800049,NO2-,"My mood swings have subsided to a lesser degree, but my sleep pattern is out of whack.  I'm up all night and want to sleep in the afternoon.  I also take Trazodone for sleep. Is there a connection between the two?  Who knows?"
