Col 1,Col 2,Col 3
,,
,,
u ,0.31,
,,
,,
kk,0.02,
,,
,,
AAA,,
e,,
f,,
f,,
kk,0.00,
,,
kk,,
,,
,,
kk,0.07,
,,
,,
,>1.00,
,,
e,,
,,
,,
,,
,,
,,
,0.02,
,,
e,,
u ,,
e,,
u ,>1.00,
,,
,,
,,
f,,
,>1.00,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,0.03,
,,
,,
,,
,,
e,,
d,,
f,,
,,
f,,
,,
f,,
u ,,
,,
,,
,,
,,
,,
,,
,,
f,,
e,<0.00,
f,<0.00,
,0.15,
,,
,0.09,
,,
,,
,,
,,
e,,
f,<0.00,
AAA,,
,,
,,
,,
,,
,0.01,
,,
,,
,,
f,,
d,,
e,,
,,
,0.03,
,0.03,
e,>1.00,
kk,0.31,
,,
,0.12,
,,
u ,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
f,,
,,
,,
Pyrazine,,
,,
,>1.00,
,,
e,,
AAA,,
,,
d,,
e,,
e,0.03,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
f,,
,,
,0.27,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,0.07,
,,
,0.08,
,,
,,
u ,,
,0.74,
,,
,,
,,
,,
,,
,,
,,
,,
d,,
f,,
,,
d,,
,,
u ,,
,,
,,
,,
f,,
,,
u ,,
f,,
,,
,0.70,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,,
u ,0.93,
f,,
,,
,,
,0.19,
,,
,,
,,
,,
,,
,,
,,
,0.04,
,,
AAA,<0.00,
f,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
u ,,
,,
AAA,,
,,
,0.67,
,,
,,
,,
,,
,>1.00,
,,
,,
,,
e,,
e,,
,,
,0.14,
AAA,,
,,
,,
,,
f,,
d,0.02,
f,,
,0.19,
,,
,<0.00,
,,
,0.01,
,,
f,,
,,
,,
,,
f,,
,,
,,
,<0.00,
,,
d,,
,,
AAA,0.01,
f,,
,,
,,
,,
,,
,,
,,
,,
f,,
f,,
AAA,0.17,
,,
CCC,,
,,
,,
,,
,0.71,
,,
,,
,<0.00,
,,
f,,
f,,
f,,
,,
,0.00,
,,
AAA,0.02,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.19,
,,
,,
,,
,,
f,,
f,,
f,,
e,,
,,
,0.04,
,,
AAA,0.01,
,,
AAA,,
,,
,,
,,
,,
,,
,0.25,
d,,
f,0.06,
u ,,
,,
AAA,,
,>1.00,
AAA,,
,,
,,
,,
,,
,,
u ,,
f,,
f,,
,,
f,,
f,,
f,,
,,
,>1.00,
d,,
f,,
,,
d,,
f,,
,,
,,
,,
,,
,,
,0.22,
f,,
f,,
,0.44,
,,
,0.23,
,,
,,
,,
f,,
f,,
,,
,,
,,
,,
,,
,,
,,
f,,
,,
,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
f,,
,,
,0.01,
,0.02,
,0.27,
e,,
u ,,
,0.19,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.42,
AAA,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,,
,0.13,
,,
,,
,,
d,0.12,
,,
e,>0.75,
f,,
,,
,,
,,
d,0.00,
,,
,0.03,
,,
,,
,,
Pyrazine,,
,>0.75,
,,
,,
,,
,,
,,
,,
,0.07,
,,
,,
,>0.75,
,,
,,
,,
,0.01,
,0.08,
,,
,,
,,
AAA,,
u ,>0.20,
,0.97,
,,
,,
,,
,,
,,
,,
,,
,0.03,
,,
,0.36,
,0.31,
d,,
,,
,,
u ,,
,,
f,,
,0.14,
,,
,,
CCC,,
,,
,,
,>1.00,
,,
d,,
f,,
AAA,,
,,
,,
d,0.32,
,,
,,
,,
,0.49,
,,
,,
,,
,0.13,
,,
,0.01,
,,
,,
,,
,,
d,,
,>1.00,
,,
,,
,,
,,
,,
,0.00,
u ,,
,,
,,
,>0.75,
AAA,0.01,
,,
CCC,,
,0.64,
AAA,0.04,
d,0.23,
,,
,,
,,
,,
,,
BBB,,
e,,
,,
AAA,0.01,
,,
d,,
,,
,,
e,0.65,
,,
,,
,,
,,
f,,
u ,0.09,
f,,
,0.45,
,,
,0.41,
,,
d,,
,,
,0.01,
,,
,0.22,
,,
,,
,,
,0.12,
,,
,,
,,
,,
,,
u ,>0.17,
,,
,0.04,
,,
,,
d,,
Pyrazine,<0.00,
u ,,
,,
CCC,,
,,
,,
,,
,,
CCC,,
,,
,0.35,
,,
,,
,,
e,0.43,
,,
u ,,
AAA,,
,,
,0.14,
,,
,,
,,
,,
,,
d,,
,0.03,
,,
u ,,
,,
e,0.41,
,,
,,
,0.01,
f,,
,,
,,
f,,
,,
,>0.75,
,,
,,
,0.51,
,,
,>0.75,
,,
,,
,0.04,
,,
,,
AAA,,
,,
,<0.00,
,,
f,,
,,
,,
,,
,,
,,
,0.19,
,,
,,
d,,
f,,
,0.01,
,,
,,
,,
,0.60,
d,,
,,
e,0.36,
u ,0.04,
,0.02,
d,,
,,
,0.25,
,,
u ,,
,,
,,
,,
,,
,,
f,,
,,
,,
,0.33,
,,
,,
,,
,,
u ,,
,,
,,
,0.65,
,,
,0.39,
d,0.08,
e,0.14,
,,
AAA,,
u ,0.02,
,>0.75,
,0.27,
,,
,,
d,,
,,
AAA,,
AAA,,
AAA,,
u ,,
,0.09,
,>0.25,
,,
,,
,,
,,
,,
CCC,,
,0.63,
,,
,,
,0.03,
,,
,0.57,
,,
,,
AAA,0.12,
,,
,0.10,
,,
,0.30,
,,
,,
,,
,,
CCC,,
,,
,,
f,,
,,
,,
AAA,,
,0.62,
,,
,,
,,
,0.46,
BBB,,
,,
,0.03,
AAA,,
u ,,
,,
,,
u ,,
,,
,0.61,
f,0.14,
AAA,0.07,
,,
CCC,,
,,
,,
,,
AAA,0.06,
,>0.17,
,0.02,
,,
,,
,,
,,
,,
,>0.75,
AAA,0.02,
,,
,,
,0.00,
d,0.06,
,<0.00,
u ,,
,,
e,0.27,
AAA,<0.00,
BBB,,
d,,
d,,
,,
,,
,,
,,
,,
,,
,,
,0.01,
d,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,0.01,
,<0.00,
,,
,0.00,
,,
f,,
,,
,0.25,
CCC,,
,,
,,
CCC,>0.75,
,,
,,
,,
d,,
,,
,,
AAA,,
AAA,0.03,
d,,
,>0.75,
,,
u ,,
,,
,,
,0.52,
,,
AAA,,
,0.00,
,,
,0.01,
,,
,0.09,
,,
,,
,,
,,
,,
d,,
,<0.00,
,0.02,
,,
d,0.00,
,,
,,
,,
,,
,,
,,
,,
,,
,,
d,0.01,
,,
,,
,,
,>0.75,
,0.43,
BBB,,
,,
u ,,
,0.43,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,>1.00,
,0.04,
,,
,,
u ,0.01,
,<0.00,
e,0.28,
AAA,,
u ,>0.20,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
CCC,>0.75,
d,,
,>0.75,
,0.28,
,,
,,
,>0.75,
,0.22,
,,
d,<0.00,
CCC,,
,,
e,0.15,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,,
d,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,0.73,
,,
,,
,,
,,
,,
,0.56,
,,
AAA,0.27,
e,0.05,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
u ,,
d,,
,,
,,
,,
,,
,,
f,,
,,
,0.14,
u ,,
u ,<0.00,
,,
,,
f,,
,,
AAA,,
,,
d,0.00,
,,
,,
,,
u ,,
,,
,,
,,
,0.02,
,0.00,
,0.03,
u ,,
,0.01,
,,
,,
AAA,<0.00,
,,
f,,
,,
,,
,0.51,
u ,,
,,
,,
,,
,,
Isothiazole,,
,,
,,
CCC,0.41,
,0.08,
f,<0.00,
,0.16,
,,
,,
e,0.02,
,,
,,
,,
,,
,0.77,
u ,>0.75,
,0.08,
,,
,,
,0.68,
,0.01,
,,
,,
,,
,0.01,
BBB,,
,,
,,
,,
,0.20,
BBB,,
,,
,,
d,,
,0.01,
,,
,0.01,
d,0.16,
f,,
,,
,,
d,0.26,
,,
d,,
,,
,<0.00,
,,
u ,,
,0.51,
,,
AAA,,
,0.22,
AAA,0.01,
d,,
,,
CCC,,
,,
,0.31,
,0.16,
d,,
d,,
,0.35,
,,
,,
,,
,,
,,
,,
,>0.75,
,,
d,,
f,,
,,
,,
,<0.00,
d,,
,,
d,,
,>0.75,
,,
,,
u ,,
,,
BBB,,
d,0.01,
,,
d,,
,,
e,0.26,
,,
,,
d,,
,,
AAA,,
,,
,,
,,
,,
,,
,>0.75,
,,
,,
,,
,,
,,
,,
,,
,0.00,
,,
,,
,,
AAA,0.02,
,,
,,
,0.06,
Pyrazine,,
,,
,,
,,
,,
,,
,,
d,,
,,
,,
,,
,0.07,
,,
,,
,0.30,
CCC,,
,,
,,
u ,,
,,
BBB,,
,,
,,
,,
,,
,0.52,
,,
,,
,0.00,
,,
,,
CCC,,
,,
d,0.56,
,,
,0.01,
,,
,0.08,
,<0.00,
,,
,0.04,
,,
,,
,,
,,
,,
u ,,
,0.18,
,,
,,
,,
,,
,,
,0.05,
,,
,,
,,
,,
d,,
,,
,,
d,,
,,
AAA,,
,,
,,
,,
AAA,,
,,
,,
,,
,,
,,
AAA,,
,<0.00,
,,
,,
,0.51,
,0.07,
,,
CCC,0.20,
,,
,0.14,
,,
,0.38,
,0.00,
,0.03,
,,
AAA,,
,>0.75,
,0.11,
,,
,0.73,
,,
u ,,
,,
,,
,,
,,
BBB,,
,,
,,
,,
u ,,
f,<0.00,
,,
,,
,,
,>0.75,
,,
,,
,,
CCC,,
,,
,,
f,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.87,
,0.46,
AAA,0.19,
,,
CCC,,
CCC,,
d,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.26,
CCC,,
,0.05,
,,
CCC,,
CCC,,
d,,
,,
,,
CCC,,
,,
,0.07,
,0.01,
d,0.54,
,,
,0.16,
d,,
,,
,,
,0.45,
,,
f,,
,>0.75,
,,
,,
,,
Isothiazole,,
,,
BBB,,
,,
,,
d,,
,0.02,
,,
,,
BBB,,
,,
,,
,0.23,
,,
,,
,,
,,
,,
,,
d,,
,0.66,
,0.42,
,,
,,
,>0.75,
,,
,,
,>0.75,
,>0.75,
,,
d,,
,>0.75,
CCC,>0.75,
,0.38,
,,
,,
d,,
,,
d,,
,,
d,0.01,
,,
,,
,,
,>0.75,
AAA,0.54,
,,
,,
,,
,,
,,
,,
u ,>0.17,
,,
,<0.00,
,,
AAA,>0.75,
,,
d,,
,,
,,
,,
,,
,,
,,
,0.58,
,<0.00,
,,
,0.28,
,,
d,<0.00,
,,
,,
CCC,,
CCC,,
,0.03,
u ,,
CCC,0.65,
d,,
,,
AAA,>1.00,
,,
,,
,,
,,
,,
u ,,
,,
d,,
,,
d,,
AAA,0.09,
,,
,,
,,
,,
u ,>0.75,
,,
AAA,,
,,
AAA,,
,,
d,,
,,
,0.04,
,,
u ,,
,0.02,
,,
,,
,>0.17,
,,
,0.17,
,,
,,
,,
u ,,
,,
,,
,0.01,
,,
,<0.00,
,,
,,
,,
,,
,,
,,
u ,0.48,
,0.01,
d,,
,,
,,
,,
,,
,,
,,
,0.04,
,,
,0.24,
,,
,0.00,
,,
,,
,,
,,
,,
u ,>0.17,
AAA,,
,,
,0.70,
,,
,,
,,
,,
,,
BBB,,
,0.17,
e,,
,0.13,
AAA,,
,0.59,
u ,,
,,
CCC,,
,,
AAA,,
,,
,,
,,
f,,
,,
,,
,,
,,
AAA,,
,0.26,
CCC,,
d,,
,<0.00,
,,
,,
,,
,0.08,
,,
,,
u ,>0.75,
,,
,,
u ,>0.75,
,,
,,
,,
,,
,>0.75,
AAA,,
,,
,0.32,
,,
u ,,
,,
,,
,,
,,
BBB,,
,,
,0.05,
Pyrazine,,
,0.11,
,,
e,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
u ,,
AAA,0.13,
,>0.75,
u ,,
,,
d,0.01,
,,
,,
,,
CCC,,
,,
,,
,,
,0.03,
,,
,,
,,
,,
,,
AAA,,
,,
,0.34,
AAA,,
,0.68,
,,
,,
AAA,,
,,
,0.08,
f,0.29,
,,
,,
d,0.30,
AAA,,
,,
,,
,,
,0.67,
,,
AAA,<0.00,
,,
,,
,,
,0.27,
,,
,,
d,<0.00,
AAA,,
,,
d,,
,>0.75,
AAA,<0.00,
,0.03,
,0.05,
CCC,,
,,
d,,
,,
,,
,,
,,
,0.05,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
AAA,<0.00,
,,
,,
,<0.00,
d,,
,0.02,
,,
,,
u ,,
,,
,0.14,
,,
,0.55,
,,
,,
,,
,,
AAA,0.37,
AAA,,
,,
,,
,,
u ,>1.00,
,,
AAA,0.08,
,,
AAA,<0.00,
,,
,,
,0.72,
,,
,,
,,
,,
d,,
,,
,,
,,
,,
,,
,,
,,
AAA,<0.00,
,,
,0.59,
,0.48,
,,
,,
,,
,,
,,
,,
,0.01,
,,
,,
u ,>0.17,
,,
u ,,
,,
,,
d,,
,,
f,,
,,
d,,
,,
AAA,,
,,
f,,
,,
,,
,,
,0.18,
,,
,,
,,
,,
,,
,,
d,,
,,
d,,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
AAA,>0.75,
,,
CCC,,
,,
,0.08,
,,
,0.05,
,,
,,
,>0.75,
,,
AAA,0.05,
,,
,,
e,0.41,
d,,
,,
d,0.12,
,,
,,
,,
,>0.75,
,,
,,
,,
,,
u ,,
,,
,,
f,,
,,
,,
,>0.75,
,,
,0.01,
,,
CCC,,
,,
,,
,,
d,,
,,
u ,,
,0.02,
u ,>0.17,
u ,,
,<0.00,
,,
,0.59,
,,
,,
,,
,,
,,
,,
,,
e,0.00,
f,,
d,,
,,
u ,0.58,
,,
d,,
,,
,,
CCC,,
,,
e,0.01,
,,
,,
,,
,,
,,
,>0.75,
,,
,,
d,0.00,
,,
,,
,,
,,
,,
,,
d,,
f,,
,,
d,,
,<0.00,
,,
,0.54,
,,
,,
,,
,,
,,
,,
d,,
,,
u ,,
,,
AAA,0.03,
u ,,
,0.04,
,,
u ,,
f,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
f,0.00,
,,
,,
,,
CCC,,
,,
,,
,,
,,
,0.69,
,,
,,
,0.60,
u ,>1.00,
,,
,0.47,
,<0.00,
,,
AAA,,
,,
,,
,,
,,
,>0.75,
,,
Pyrazine,,
,,
,,
f,,
,,
,,
,,
CCC,,
,0.21,
u ,>0.75,
,0.04,
,,
,,
,0.01,
,,
,>0.75,
,<0.00,
,,
,,
,>1.00,
CCC,,
,,
AAA,,
d,0.77,
d,,
,,
,0.00,
,0.70,
,,
,,
,,
,0.48,
u ,,
,0.09,
,,
,,
,,
,,
,0.00,
,,
,,
,,
,>0.75,
u ,,
,,
,,
,,
,,
,,
,,
Isothiazole,,
,,
,>0.75,
,,
d,,
,,
d,0.64,
,,
d,,
,0.37,
,0.02,
,0.61,
,,
,,
,,
,,
,,
AAA,,
,,
d,,
,>0.75,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,<0.00,
,,
,,
f,,
,,
,0.37,
,0.02,
,,
,0.04,
,,
,0.42,
,0.70,
,0.47,
,,
,,
,,
,,
,,
,,
d,0.01,
,,
,,
,,
AAA,0.01,
,,
d,,
,,
,,
,,
,,
CCC,,
CCC,,
BBB,,
,,
,,
,,
,0.02,
,,
BBB,,
,,
,0.55,
,0.65,
AAA,,
,,
,,
u ,,
,,
,,
,0.09,
,,
,,
,<0.00,
,0.01,
,,
,,
f,0.06,
,,
,,
CCC,,
,,
CCC,,
,,
CCC,,
,,
,0.31,
,,
u ,,
,0.00,
,,
,>1.00,
,>0.75,
,,
d,,
,>0.75,
,,
,,
,0.01,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,0.01,
,,
d,,
,,
,,
u ,0.11,
,,
AAA,,
,0.58,
,,
,<0.00,
,,
,,
,,
,>0.20,
,,
,,
,0.00,
,,
,,
f,,
e,,
,0.31,
,,
,0.01,
,,
,,
,>0.75,
AAA,,
,,
d,,
,,
,0.80,
,,
,>0.75,
u ,,
,0.09,
,0.07,
,,
CCC,,
,,
,,
,,
,,
Pyrazine,,
,,
,0.06,
,,
,,
,,
,,
,,
,,
u ,,
,,
,,
,,
,,
,0.30,
,0.09,
,,
d,,
u ,,
,,
,,
,,
,,
,,
,,
,0.03,
d,,
,,
d,,
,,
,,
,>0.75,
u ,,
,,
,,
f,<0.00,
,,
,,
,,
,0.23,
,,
,,
u ,,
,>0.75,
,,
,,
,,
d,,
d,0.49,
,,
,,
f,0.00,
,,
,0.08,
,0.50,
d,0.16,
,,
d,,
,,
,,
,,
,,
,>0.75,
,,
CCC,,
f,,
,,
AAA,0.01,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,0.14,
,,
,,
,,
d,,
,,
,,
,,
AAA,0.17,
,,
d,,
,,
,,
,,
,,
,>0.75,
,,
AAA,0.01,
,,
,,
,,
,,
,,
,,
,,
CCC,,
,,
,,
,,
,0.01,
,0.27,
AAA,0.46,
,,
,,
,,
,,
BBB,,
,,
AAA,>1.00,
,,
d,,
,,
,,
d,0.15,
,,
,,
,,
,0.09,
,0.94,
,0.07,
CCC,,
d,,
,,
,,
d,,
,,
u ,>0.17,
,,
,0.02,
,>0.75,
f,,
u ,0.00,
,,
,,
,0.04,
,,
u ,,
,,
f,,
,,
,,
u ,>0.20,
,,
CCC,,
,,
AAA,,
,,
BBB,,
,,
,>1.00,
BBB,,
u ,,
,,
,,
d,,
u ,,
,,
u ,,
,,
,,
,,
,0.55,
,,
,,
mmm,,
,0.04,
,0.94,
,,
,,
,,
,,
,,
CCC,,
BBB,,
,,
,,
,,
,<0.00,
,,
,,
,,
,,
,,
,,
,0.01,
,,
,>0.75,
u ,,
d,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
f,,
,,
,>1.00,
,,
,,
,,
,,
,0.95,
,,
f,,
f,,
,,
,,
u ,,
,,
,,
f,,
,,
,,
,,
e,>0.75,
,0.03,
,,
d,,
,,
,,
,>0.75,
,,
,,
,,
,0.03,
,,
,0.02,
,,
,,
,,
,,
,,
,,
,,
,,
u ,,
,,
d,0.04,
,,
,,
,,
,,
,,
u ,>0.17,
,,
,,
,,
,,
,,
,,
,,
d,,
,0.60,
,,
AAA,,
,0.03,
,0.01,
AAA,>1.00,
d,,
,0.08,
,,
u ,0.03,
u ,,
,,
,,
,0.26,
,0.01,
,,
BBB,,
d,,
,0.73,
d,,
u ,>0.17,
,,
,0.01,
,0.06,
,,
,>1.00,
CCC,,
u ,0.36,
,,
,,
f,>0.75,
CCC,>0.75,
d,,
,,
d,0.76,
u ,,
,,
,,
,0.06,
,,
,0.63,
,,
,,
,,
,,
,,
,,
,0.02,
,,
,,
,,
,,
,,
e,0.11,
,<0.00,
f,,
,>0.20,
,,
,,
d,0.40,
,0.01,
,,
,,
d,,
,,
,,
d,,
,0.02,
,,
,,
,,
,,
,0.04,
CCC,,
,,
,,
,,
f,,
,,
,,
,0.02,
u ,>0.17,
,,
,,
,,
,,
e,,
e,,
d,,
,,
,,
,0.10,
,,
,0.02,
,,
AAA,,
,>0.20,
,,
AAA,,
,0.00,
u ,,
,,
,,
AAA,,
,,
,,
,,
,0.17,
u ,0.72,
,,
AAA,,
,,
,,
,,
,,
,,
,,
,,
CCC,>0.75,
,,
,,
,,
,,
,,
,,
,,
,0.08,
,,
,<0.00,
d,,
d,,
,,
,,
,0.83,
,,
,0.67,
,>0.75,
,,
BBB,,
,,
,,
,,
u ,,
u ,<0.00,
,,
,<0.00,
,0.04,
,,
,0.01,
f,<0.00,
,,
,<0.00,
,0.10,
,,
,,
,,
,,
,,
,,
,0.46,
,,
,,
,,
,0.00,
,,
,0.52,
d,,
,,
,0.05,
,,
,,
,0.04,
,<0.00,
,,
,0.01,
,,
,,
,,
,,
AAA,0.54,
,,
u ,,
,,
,,
,,
,,
,,
u ,,
,,
u ,,
f,,
,,
u ,,
,,
CCC,,
u ,,
,,
,>1.00,
,,
,,
,,
,,
,,
,,
,,
,,
BBB,,
d,,
d,,
,0.50,
,,
,,
,,
CCC,,
BBB,,
,0.05,
,,
,0.90,
,,
,,
,,
,,
u ,,
,,
d,>1.00,
,,
u ,,
AAA,,
f,0.03,
f,,
,,
,,
f,,
d,,
,0.16,
,,
,0.67,
,,
d,,
u ,>0.75,
AAA,,
AAA,,
,,
,>0.75,
CCC,>0.75,
,>0.75,
,,
,,
,,
mmm,,
Isothiazole,0.07,
,0.65,
,,
Pyrazine,,
u ,>0.75,
,,
,,
d,,
,,
d,,
,,
,,
,,
,0.40,
,,
,,
,,
,,
,,
,,
,,
,,
,0.32,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
f,,
f,0.04,
,,
AAA,,
,0.12,
CCC,,
,,
AAA,<0.00,
,,
,,
AAA,,
,,
,0.61,
CCC,,
d,,
,,
,<0.00,
,,
,,
,,
,,
,,
d,,
d,,
CCC,>0.17,
d,,
CCC,,
CCC,,
d,,
,,
d,,
d,,
d,,
,,
d,,
d,,
d,0.02,
d,,
d,0.01,
CCC,,
u ,,
u ,,
,,
CCC,,
d,,
d,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
d,,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,0.90,
d,,
CCC,,
CCC,,
,<0.00,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,0.36,
,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
u ,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
CCC,,
f,,
,,
CCC,,
CCC,,
CCC,,
CCC,,
AAA,>0.75,
CCC,,
,,
CCC,,
,,
CCC,,
,,
,,
AAA,,
,,
mmm,<0.00,
,,
AAA,,
AAA,,
AAA,,
,,
,,
d,,
,,
,,
AAA,,
,0.17,
mmm,,
mmm,<0.00,
mmm,0.01,
mmm,0.00,
CCC,0.61,
,,
d,,
AAA,,
mmm,<0.00,
,,
,,
mmm,<0.00,
,0.99,
mmm,<0.00,
mmm,<0.00,
mmm,0.01,
,,
AAA,,
,0.01,
mmm,<0.00,
mmm,0.00,
,,
,,
,,
AAA,<0.00,
,,
,,
,,
AAA,,
,0.01,
,0.01,
,,
,<0.00,
,,
,,
,0.04,
,>0.17,
AAA,0.02,
,,
,,
,,
,,
AAA,0.02,
AAA,,
,,
,,
,0.01,
,,
,,
,>0.75,
,,
,0.05,
CCC,,
,,
,0.95,
CCC,,
,,
,0.00,
,,
,,
,<0.00,
,,
CCC,,
AAA,,
,,
,,
AAA,,
AAA,,
AAA,,
,0.03,
f,,
,,
,,
,0.02,
,0.01,
,0.31,
CCC,,
CCC,,
,0.04,
,0.01,
,,
,,
,,
,<0.00,
,,
,<0.00,
,0.01,
,0.07,
,,
,,
,,
,,
,0.01,
CCC,,
CCC,,
,0.55,
,0.01,
CCC,,
CCC,,
CCC,,
,,
CCC,,
CCC,,
,,
,<0.00,
CCC,,
CCC,,
,,
CCC,,
,,
CCC,,
,0.16,
,,
,0.06,
,0.41,
CCC,,
CCC,0.80,
,,
,0.80,
,,
CCC,0.31,
,0.31,
,,
,>0.75,
AAA,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
CCC,,
,0.28,
,,
,,
,0.01,
,0.15,
,0.42,
,,
,0.97,
CCC,,
,0.31,
,0.93,
CCC,0.89,
,0.24,
CCC,,
CCC,,
,0.05,
,,
u ,0.07,
,0.23,
,,
u ,,
CCC,,
CCC,,
CCC,,
e,,
,0.09,
,0.11,
,0.01,
CCC,>1.00,
d,0.00,
,0.88,
,0.33,
,0.77,
,0.04,
,,
,,
u ,>1.00,
,0.54,
,0.03,
,,
,0.17,
,,
e,,
d,,
,,
AAA,,
CCC,0.34,
CCC,,
,<0.00,
CCC,0.22,
CCC,>1.00,
,,
,,
CCC,,
CCC,>1.00,
,,
,0.01,
CCC,0.11,
,,
CCC,>1.00,
e,,
,>1.00,
e,,
CCC,0.25,
kk,>0.17,
,0.04,
u ,,
u ,,
CCC,0.55,
CCC,<0.00,
AAA,<0.00,
,>1.00,
,>1.00,
,,
,,
,,
,0.11,
,,
kk,,
,0.69,
,0.82,
,,
,0.27,
,0.82,
,0.05,
u ,,
u ,,
,,
kk,,
,,
,,
,0.12,
e,,
,>1.00,
kk,,
kk,,
,,
,,
u ,,
u ,,
,>1.00,
,0.07,
,,
,,
,,
CCC,,
d,,
,0.88,
,,
,,
,0.01,
,0.01,
,,
,0.02,
,,
,,
u ,,
u ,,
,,
AAA,,
,,
,,
,,
,,
,,
,,
AAA,,
,,
f,,
AAA,,
AAA,,
AAA,,
,,
,>1.00,
,,
u ,,
,,
d,,
u ,,
,>1.00,
,0.01,
,0.03,
AAA,0.40,
,,
,,
,,
u ,>1.00,
u ,0.92,
,0.08,
,,
,,
,,
,0.15,
,0.47,
,,
,,
,>1.00,
,,
,0.01,
AAA,,
CCC,0.60,
CCC,0.38,
AAA,,
d,,
u ,,
,,
,0.73,
u ,,
,,
,0.01,
,0.70,
,0.02,
,,
f,,
,,
e,,
u ,,
,,
,,
,,
e,0.84,
,,
,,
d,,
,,
,,
,,
,,
,,
,<0.00,
,<0.00,
,<0.00,
f,,
AAA,,
,,
AAA,<0.00,
u ,0.23,
,,
,,
u ,0.42,
,,
,,
u ,>0.25,
u ,,
,0.21,
u ,0.39,
u ,>1.00,
u ,,
u ,,
u ,0.01,
u ,0.88,
u ,,
u ,,
u ,,
u ,0.83,
AAA,>0.17,
u ,,
u ,,
u ,,
u ,,
u ,,
u ,0.11,
u ,,
,0.08,
,0.01,
d,,
Pyrazine,,
u ,,
AAA,,
AAA,,
u ,,
u ,,
u ,,
,,
AAA,,
,<0.00,
u ,0.08,
u ,,
u ,0.44,
u ,,
,,
u ,0.18,
u ,,
,<0.00,
u ,,
AAA,,
AAA,<0.00,
,,
,0.07,
,0.06,
,<0.00,
,0.62,
d,,
u ,,
u ,0.16,
,,
u ,0.49,
,,
,0.64,
,,
u ,,
u ,,
,,
,0.02,
,,
,,
,0.08,
,,
,0.67,
,,
u ,,
,,
,,
,,
,,
,0.35,
,,
,0.03,
,,
,,
,,
,,
,,
,,
,,
kk,,
,,
,,
,<0.00,
e,,
,,
,0.06,
,,
,,
,,
,,
,0.03,
,0.06,
,0.01,
,,
,0.18,
,,
,0.01,
,,
,,
,,
,0.01,
,,
,0.04,
,,
,,
,0.10,
u ,,
,,
d,,
,,
,,
,,
,,
u ,,
,,
,0.04,
,0.17,
,0.59,
u ,,
,,
,<0.00,
,,
,,
,,
,,
,,
,,
,,
,0.08,
,0.07,
,,
