DRUGBANK_ID,COMMON_NAME,CAS_NUMBER,UNII,SYNONYMS,Smiles
DB15960,Troclosene,2782-57-2,PHR838Y52L,Dichlorocyanuric acid; Dichloroisocyanuric acid; Kyselina dichlorisokyanurova; Troclosene,O=C(NC(N(C1=O)Cl)=O)N1Cl
DB04874,Picoplatin,181630-15-9,B5TAN0L720,(SP-4-3)-Amminedichloro(2-methylpyridine)platinium; Picoplatin,Cc1ncccc1.N.[Cl-].[Cl-].[Pt+2]
DB09087,Potassium alum,10043-67-1,09OXB01F3O,"Alum, potassium; Aluminium potassium bis(sulphate); Aluminium potassium sulfate; Aluminum potassium alum; Aluminum potassium disulfate; Aluminum potassium sulfate; Aluminum potassium sulfate anhydrous; Burnt potassium alum; Potash alum; Potassium aluminium sulfate; Potassium aluminum disulfate",[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[Al+3].[K+]
DB09138,Technetium Tc-99m medronate,121524-79-6,X89XV46R07,99m Tc medronate; 99m Tc-medronate; 99mTc medronate; 99mTc-medronate; AN-MDP; Cis-Mdp; Tc 99m Mdp; Tc-99m Mdp; Technetium (99mTc) medronic acid; Technetium (99mTc) Methylenediphosphonate; Technetium 99mTc medronic acid; Technetium methylene diphosphonate; Technetium Tc 99m medronate; Technetium Tc 99m medronic acid; Technetium Tc 99M Mpi Mdp,[O-]P(CP([O-])([O-])=O)([O-])=O.O.O.[98Tc+4]
DB00431,Lindane,58-89-9,59NEE7PCAB,"(1r,2c,3t,4c,5c,6t)-1,2,3,4,5,6-hexachlorocyclohexane; (1α,2α,3β,4α,5α,6β)-1,2,3,4,5,6-hexachlorocyclohexane; 1,2,3,4,5,6-hexachlorocyclohexane; Benzene hexachloride; gamma-1,2,3,4,5,6-hexachlorocyclohexane; gamma-benzene hexachloride; gamma-BHC; gamma-HCH; gamma-Hexachlorocyclohexane; gamma-Lindane; Gammallin; Gammaxene; Lindan; Lindane; Lindano; Lindanum; γ-hexachlorocyclohexane; γ-Hexachlorzyklohexan; γ-lindane",Cl[C@H]([C@H]([C@@H]([C@@H]([C@H]1Cl)Cl)Cl)Cl)[C@H]1Cl
DB07896,(2S)-hydroxy(4-hydroxyphenyl)ethanoic acid,,,,OC(C(O)=O)c(cc1)ccc1O
DB02746,Phthalic Acid,88-99-3,6O7F7IX66E,,OC(c(cccc1)c1C(O)=O)=O
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",102-32-9,KEX5N0R4N5,,OC(Cc(cc1)cc(O)c1O)=O
DB08327,Homogentisic acid,451-13-8,NP8UE6VF08,"2,5-Dihydroxyphenylacetic acid; Homogentisate acid; Homogentisic acid; Homogentisinic acid",OC(Cc(cc(cc1)O)c1O)=O
DB02130,Vanillic acid,121-34-6,GM8Q3JM2Y8,4-Hydroxy-3-methoxybenzoic acid; VA,COc(cc(cc1)C([O-])=O)c1O
DB02318,2-deoxy-2-fluoro-alpha-D-mannosyl fluoride,,,,OC[C@H]([C@H]([C@@H]([C@@H]1F)O)O)OC1F
DB03857,"1,4-dithio-beta-D-glucopyranose",,,"1,4-deoxy-1,4-dithio-beta-D-glucopyranose",OC[C@H]([C@H]([C@@H]([C@H]1O)O)S)O[C@H]1S
DB01870,"1,4-dithio-alpha-D-glucopyranose",,,,OC[C@H]([C@H]([C@@H]([C@H]1O)O)S)O[C@@H]1S
DB03140,4-Carboxyphenylboronic Acid,,XQQ1T11DYK,,OB(c(cc1)ccc1C(O)=O)O
DB06901,2-(2-HYDROXY-CYCLOPENTYL)-PENT-4-ENAL,,,,C=CC[C@H]([C@@H](CCC1)[C@H]1O)C=O
DB06819,Phenylbutyric acid,1821-12-1,7WY7YBI87E,4-Phenyl-n-butyric acid; 4-phenylbutyrate; 4-phenylbutyric acid; Benzenebutyric acid; PBA; Phenylbutyrate; γ-Phenyl-n-butyric acid; γ-phenylbutyric acid; ω-Phenylbutanoic acid; ω-phenylbutyric acid,OC(CCCc1ccccc1)=O
DB03400,3-(P-Tolyl)Propionic Acid,,BG327JNM0V,,Cc1ccc(CCC(O)=O)cc1
DB07673,(2S)-2-Methyl-3-phenylpropanoic acid,14367-54-5,,(S)-2-Benzylpropanoic acid; Deamino-methyl-phenylalanine,CC(Cc1ccccc1)C(O)=O
DB13315,Sobrerol,42370-41-2,AI0NX02O35,,CC(C)([C@@H](C1)CC=C(C)[C@H]1O)O
DB14188,Isoeugenol,97-54-1,5M0MWY797U,1-Hydroxy-2-methoxy-4-propen-1-ylbenzene; 2-methoxy-4-(prop-1-en-1-yl)phenol; 2-Methoxy-4-propenylphenol; 3-Methoxy-4-hydroxypropenylbenzene; 4-Propenylguaiacol; Propenylguaiacol,CC=Cc(cc1)cc(OC)c1O
DB09086,Eugenol,97-53-0,3T8H1794QW,Eugenol,COc(cc(CC=C)cc1)c1O
DB16447,Thymoquinone,490-91-5,O60IE26NUF,"2-Isopropyl-5-methyl-p-benzoquinone; p-Cymene-2,5-dione; p-Mentha-3,6-diene-2,5-dione; Thymoquinon",CC(C)C(C(C=C1C)=O)=CC1=O
DB07726,t-Butylhydroquinone,1948-33-0,C12674942B,"2-(1,1-Dimethylethyl)-1,4-benzenediol; 2-t-Butyl-1,4-benzenediol; 2-t-Butylhydroquinone; 2-tert-Butyl-1,4-benzenediol; 2-tert-Butyl(1,4)hydroquinone; 2-tert-butylhydroquinone; 2-Tertiary-butylhydroquinone; Mono-tert-butylhydroquinone; Mono-tertiarybutylhydroquinone; MTBHQ; t-Butyl hydroquinone; t-Butylhydroquinone; TBHQ; tert-Butyl-1,4-benzenediol; tert-Butylhydroquinone; tertiary-Butylhydroquinone",CC(C)(C)c(cc(cc1)O)c1O
DB01927,Duroquinone,527-17-3,X0Q8791R69,,CC(C(C(C)=C1C)=O)=C(C)C1=O
DB00166,Lipoic acid,1200-22-2,VLL71EBS9Z,"(+)-alpha-Lipoic acid; (R)-(+)-Lipoate; (R)-(+)-lipoic acid; (R)-1,2-Dithiolane-3-pentanoic acid; (R)-1,2-dithiolane-3-valeric acid; (R)-6,8-thioctic acid; (R)-lipoic acid; Alpha lipoic acid; alpha-Lipoic acid; alpha-Liponsäure; D-thioctic acid; Lipoic acid; R-(+)-thioctic acid; R-alpha-lipoic acid; Thioctic acid; Thioctic acid D-form; α-lipoic acid",OC(CCCCC1SSCC1)=O
DB15350,D-chiro-Inositol,643-12-9,6R79WV4R10,D-Inositol,O[C@H]([C@@H]([C@H]([C@H]([C@@H]1O)O)O)O)[C@@H]1O
DB03106,scyllo-inositol,488-59-5,1VS4X81277,"1,3,5/2,4,6-cyclohexanehexol; Cocositol; Quercinitol; Scyllitol",O[C@H]([C@H]([C@@H]([C@H]([C@@H]1O)O)O)O)[C@@H]1O
DB13178,Inositol,87-89-8,4L6452S749,"1,2,3,5/4,6-cyclohexanehexol; cis-1,2,3,5-trans-4,6-cyclohexanehexol; Inositol; L-myo-Inositol; Meat sugar; meso-Inositol; myo-inositol",O[C@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)[C@@H]1O
DB02734,4-Deoxy-D-Mannuronic Acid,,,,O[C@@H]1[C@H](O)OC(C(O)=O)=C[C@@H]1O
DB02305,"4,5-Dehydro-D-Glucuronic Acid",,,,O[C@H]1[C@H](O)OC(C(O)=O)=C[C@@H]1O
DB04548,4-Deoxy-D-Glucuronic Acid,,,,O[C@@H](C[C@@H](C(O)=O)O[C@H]1O)[C@H]1O
DB08830,Dehydroascorbic acid,490-83-5,Y2Z3ZTP9UM,"dehydro-L-ascorbic acid; DHAA; L-dehydroascorbate; L-dehydroascorbic acid; L-threo-2,3-hexodiulosonic acid, γ-lactone; L-threo-hexo-2,3-diulosono-1,4-lactone; Oxidized ascorbic acid; Oxidized vitamin C",OC[C@@H]([C@H](C(C1=O)=O)OC1=O)O
DB00126,Ascorbic acid,50-81-7,PQ6CK8PD0R,acide ascorbique; ácido ascórbico; Acidum ascorbicum; acidum ascorbinicum; Ascorbate; Ascorbic acid; Ascorbinsäure; L-(+)-ascorbic acid; L-Ascorbate; L-Ascorbic Acid; Vitamin C; Vitamina C,OC[C@@H]([C@H](C(O)=C1O)OC1=O)O
DB04564,Gluconolactone,90-80-2,WQ29KQ9POT,"1,5-D-gluconolactone; 1,5-Gluconolactone; D-gluconic acid delta-lactone; D-glucono-1,5-lactone; D-threo-Aldono-1,5-lactone; delta-gluconolactone; GDL; Gluconic acid lactone; Glucono delta-lactone; Glucono-delta-lactone; Gluconolactone",OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)OC1=O
DB01885,D-Galctopyranosyl-1-On,15892-28-1,,,OC[C@H]([C@@H]([C@@H]([C@H]1O)O)O)OC1=O
DB04173,Fructose,,WR469VI1J3,,OC[C@@H]([C@@H]([C@H]1O)O)O[C@]1(CO)O
DB03989,D-Allopyranose,2595-97-3,SV1ATP0KYY,D-Allose,OC[C@@H]([C@@H]([C@@H]([C@@H]1O)O)O)OC1O
DB02379,Beta-D-Glucose,492-61-5,J4R00M814D,"beta-D-glucopyranose; Beta-D-glucose anhydrous; Beta-D-glucose, anhydrous; Glucoside; β-D-glucose",OC[C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O[C@@H]1O
DB02561,Beta-D-Fructopyranose,7660-25-5,0LJG9X2ZUL,,OC[C@]([C@H]([C@@H]1O)O)(O)OC[C@@H]1O
DB15886,Carvasept,5665-94-1,5EL163606Q,Carvasept; Chlorcarvacrol; Chlorocarvacrol; MCIT,CC(C)c(cc(c(C)c1)O)c1Cl
DB03167,Pentabromophenol,608-71-9,V89A88NMMX,,Oc(c(Br)c(c(Br)c1Br)Br)c1Br
DB02801,"2,3-Anhydro-quinic acid",227002-11-1,,,O[C@H](C[C@@](C=C1)(C(O)=O)O)[C@@H]1O
DB03092,5-Hydroxymethyl-Chonduritol,,,,OCC([C@H]([C@@H]([C@H]1O)O)O)=C[C@@H]1O
DB04347,3-Dehydroshikimate,,,,O[C@H](CC(C(O)=O)=CC1=O)[C@@H]1O
DB03879,alpha-L-methyl-fucose,14687-15-1,EZI2C7VVU0,alpha-L-1-Methyl-fucose; Methyl alpha-L-fucopyranoside; α-L-Methyl-Fucose,C[C@H]([C@@H]([C@@H]([C@H]1O)O)O)O[C@@H]1OC
DB03194,Methyl beta-L-fucopyranoside,24332-98-7,WW71PB1NF3,Methyl 6-deoxy-beta-L-galactopyranoside,C[C@@H]([C@H]([C@H]([C@@H]1O)O)O)O[C@@H]1OC
DB04515,2-O-methyl-alpha-L-fucopyranose,1887228-22-9,ZN7HRG4F33,6-deoxy-2-O-methyl-alpha-L-galactopyranose; 6-deoxy-2-O-methyl-α-L-galactopyranose,C[C@H]([C@@H]([C@@H]([C@H]1OC)O)O)O[C@@H]1O
DB03863,2-O-Methyl-beta-L-fucopyranose,108266-96-2,4PLV4YP7CJ,6-Deoxy-2-O-methyl-beta-L-galactopyranose; 6-Deoxy-2-O-methyl-β-L-galactopyranose,C[C@@H]([C@H]([C@H]([C@@H]1OC)O)O)O[C@@H]1O
DB03584,4-Thio-beta-D-glucopyranose,,,4-deoxy-4-Thio-beta-D-glucopyranose; 4-Thio-β-D-glucopyranose,OC[C@H]([C@H]([C@@H]([C@H]1O)O)S)O[C@H]1O
DB04483,2-deoxy-2-fluoro-β-D-mannose,55449-80-4,,2-deoxy-2-fluoro-beta-D-mannose,OC[C@@H]([C@@H]([C@H]([C@H]1F)O)O)O[C@@H]1O
DB04282,2-deoxy-2-fluoro-α-D-glucose,,H0QPM375HE,2-deoxy-2-fluoro-alpha-D-glucose; 2-DEOXY-2-FLUORO-GLUCOSE,OC[C@H]([C@H]([C@@H]([C@H]1F)O)O)O[C@@H]1O
DB02228,2-deoxy-2-fluoro-β-D-galactose,,HT1OC0UBM2,2-deoxy-2-fluoro-beta-D-galactose; 2-FLUORO-2-DEOXY-BETA-D-GALACTOPYRANOSE,OC[C@H]([C@@H]([C@@H]([C@H]1F)O)O)O[C@H]1O
DB04084,2-deoxy-2-fluoro-α-D-mannose,62182-14-3,,2-deoxy-2-fluoro-alpha-D-mannose,OC[C@H]([C@H]([C@@H]([C@@H]1F)O)O)O[C@@H]1O
DB03859,1-thio-beta-D-glucopyranose,7534-35-2,NG6BJW0OE1,1-thio-b-D-glucose; 1-thio-β-D-glucose; beta-D-Thioglucose; β-D-Glc-SH; β-D-Glcp-SH,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1S
DB13529,Dobesilic acid,88-46-0,TO0PAT081I,,Oc(cc1)cc(S(O)(=O)=O)c1O
DB12618,Apocynin,498-02-2,B6J7B9UDTR,Acetovanillone,CC(c(cc1)cc(OC)c1O)=O
DB01650,trans-2-hydroxycinnamic acid,614-60-8,23AU5FZB9C,(2E)-3-(2-hydroxyphenyl)-2-propenoic acid; (2E)-3-(2-hydroxyphenyl)prop-2-enoic acid; (E)-3-(2-Hydroxyphenyl)-2-propenoic acid; (E)-o-hydroxycinnamic acid; 2-Coumarate; 2-Coumaric acid; 2-Hydroxycinnamate; o-Coumaric acid; o-hydroxy-trans-cinnamic acid; trans-2-Hydroxycinnamate; trans-o-hydroxycinnamic acid,OC(/C=C/c(cccc1)c1O)=O
DB15576,Ethyl salicylate,118-61-6,555U6TZ2MV,"Ethyl 2-hydroxybenzoate; Ethyl o-hydroxybenzoate; Ethyl salicylate; Salicyclic acid, ethyl ester; Salicylic ether; Salicylic ethyl ester",CCOC(c(cccc1)c1O)=O
DB07381,(S)-atrolactic acid,13113-71-8,22Y6G519RU,(S)-(+)-Atrolactic acid; (S)-2-Hydroxy-2-phenylpropanoic acid; (S)-2-Phenyllactic acid; (S)-atrolactic acid,CC(C(O)=O)(c1ccccc1)O
DB03884,Phenylpyruvic acid,156-06-9,X7CO62M413,2-oxo-3-phenylpropanic acid; 3-phenyl-2-oxopropanoate; 3-phenyl-2-oxopropanoic acid; 3-phenylpyruvic acid; alpha-Ketohydrocinnamic acid; keto-Phenylpyruvate; keto-phenylpyruvic acid; Phenylbrenztraubensäure; Phenylpyruvate; Phenylpyruvic acid; α-oxo-benzenepropanoic acid; β-phenylpyruvic acid,OC(C(Cc1ccccc1)=O)=O
DB02494,(S)-3-phenyllactic acid,20312-36-1,KW7SNV9X8B,alpha-hydroxy-beta-phenyl-propionic acid; L-(−)-3-phenyllactic acid; L-3-phenyllactic acid; L-beta-Phenyllactic acid; L-β-phenyllactic acid,OC(Cc1ccccc1)C(O)=O
DB13628,Ethyl hydroxybenzoate,120-47-8,14255EXE39,4-hydroxybenzoic acid ethyl ester; Ethyl p-hydroxybenzoate; Ethyl paraben; Ethylparaben; p-hydroxybenzoic acid ethyl ester; p-Oxybenzoesaeureaethylester,CCOC(c(cc1)ccc1O)=O
DB04066,p-Coumaric acid,501-98-4,IBS9D1EU3J,(2E)-3-(4-hydroxyphenyl)acrylic acid; (E)-3-(4-hydroxyphenyl)-2-propenoic acid; (E)-p-coumaric acid; (E)-p-hydroxycinnamic acid; 4-coumaric acid; 4-Hydroxycinnamic acid; 4'-hydroxycinnamic acid; naringeninic acid; p-Coumaric acid; para-Coumaric Acid; trans-4-coumaric acid; trans-4-hydroxycinnamic acid; trans-p-coumaric acid; trans-p-coumarinic acid; trans-p-Hydroxycinnamate; trans-p-hydroxycinnamic acid,OC(/C=C/c(cc1)ccc1O)=O
DB03897,Phloretic acid,501-97-3,6QNC6P18SR,3-(4-Hydroxyphenyl)propionic acid; 3-(p-hydroxyphenyl)propionic acid; 4-Hydroxyphenylpropionic acid; Desaminotyrosine; Dihydro-p-coumaric acid; Hydroxyphenyl propionic acid; p-Hydroxyhydrocinnamic acid; p-hydroxyphenylpropionic acid; Phloretic acid; Phloretinic acid; β-(p-hydroxyphenyl)propionic acid,OC(CCc(cc1)ccc1O)=O
DB15875,"1,3,5-Trimethoxybenzene",621-23-8,00VJI3VG3D,"1,3,5-Trimethoxybenzene; 1,3,5-Trimethyoxybenzene; Phloroglucinol trimethyl ether; sym-Trimethoxybenzene",COc1cc(OC)cc(OC)c1
DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID",,1496OH15B6,,OC(c1cc(I)cc(I)c1O)=O
DB08433,phenyl ethenesulfonate,,HN14RW9PVP,,C=CS(Oc1ccccc1)(=O)=O
DB03099,5-Amino 6-Nitro Uracil,,,,NC(C(NC(N1)=O)=O)=C1[N+]([O-])=O
DB05855,Rivanicline,15585-43-0,6H35LF645A,(3E)-N-methyl-4-(pyridin-3-yl)but-3-en-1-amine; (E)-metanicotine; (E)-N-Methyl-4-(3-pyridinyl)-3-butene-1-amine; N-methyl-4-(3-pyridinyl)-(3E)-3-buten-1-amine; Rivanicline; trans-metanicotine,CNCC/C=C/c1cccnc1
DB12667,Protionamide,14222-60-7,76YOO33643,Prothionamide; Protionamida; Protionamide; Protionamidum,CCCc1nccc(C(N)=S)c1
DB03707,S-Ethyl-N-Phenyl-Isothiourea,,,,CCS/C(/N)=N/c1ccccc1
DB01664,(S)-DES-ME-AMPA,,,(S)-2-amino-3-(3-hydroxy-isoxazol-4-yl)propionic acid,N[C@@H](CC1=CONC1=O)C(O)=O
DB03048,6-Carboxymethyluracil,,,,OC(CC(NC(N1)=O)=CC1=O)=O
DB02680,"1,3-Dinitrobenzene",99-65-0,DK8B627BU0,"1,3-dinitro-benzene; 2,4-Dinitrobenzene; m-Dinitrobenzene; m-DNB; meta-Dinitrobenzene",[O-][N+](c1cccc([N+]([O-])=O)c1)=O
DB04271,"3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",,SS3UNU86DP,,CCOC(c1c(C)[nH]nc1C)=O
DB01202,Levetiracetam,102767-28-2,44YRR34555,Levetiracetam; Levetiracetame; Levetiracetamum,CCC(C(N)=O)N(CCC1)C1=O
DB11868,Etiracetam,33996-58-6,230447L0GL,Etiracetam; étiracétam; Etiracetamum,CCC(C(N)=O)N(CCC1)C1=O
DB11673,Pyridoxamine,85-87-0,6466NM3W93,,Cc1ncc(CO)c(CN)c1O
DB04203,3-Mercuri-4-Aminobenzenesulfonamide,,,,Nc(ccc(S(N)(=O)=O)c1)c1[Hg]
DB00389,Carbimazole,22232-54-8,8KQ660G60G,Athyromazole; Carbethoxymethimazole; Carbimazol; Carbimazole; Carbimazolo; Carbimazolum; Carbinazole; Ethyl 3-methyl-2-thioimidazoline-1-carboxylate,CCOC(N(C=CN1C)C1=S)=O
DB02940,"(4s)-2-[(1e)-1-Aminoprop-1-Enyl]-4,5-Dihydro-1,3-Thiazole-4-Carboxylic Acid",,,,C/C=C(/C(SC1)=NC1C(O)=O)\N
DB06795,Mafenide,138-39-6,58447S8P4L,4-(aminomethyl)benzenesulfonamide; 4-Homosufanilamide; Bensulfamide; Mafenide; Maphenidum,NCc(cc1)ccc1S(N)(=O)=O
DB09251,Phenoxypropazine,3818-37-9,8E92V52324,,CC(COc1ccccc1)NN
DB04029,Phenylalanylamide,5241-58-7,PV9T9B2S11,(S)-2-amino-3-phenylpropanamide; L-phenylalanine amide; Phenylalaninamide; Phenylalanine amide,NC(Cc1ccccc1)C(N)=O
DB01884,2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,,,,CC(C)C(C(N1CCCC1)=O)N
DB04512,2-Isobutyl-3-methoxypyrazine,24683-00-9,S327O0T12O,3-Isobutyl-2-methoxypyrazine,CC(C)Cc1nccnc1OC
DB01855,5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,,,,C[C@H](C1)[C@H](C(O)=O)N[C@@H]1N(C)O
DB04926,Neramexane,219810-59-0,856DX0KJ84,Neramexane,CC(C)(CC(C)(C)C1)CC1(C)N
DB01626,Pargyline,555-57-7,9MV14S8G3E,Pargilina; Pargyline; Pargylinum,CN(Cc1ccccc1)CC#C
DB13285,Etilamfetamine,457-87-4,022YON1XMX,Etilamfetamine,CCNC(C)Cc1ccccc1
DB01365,Mephentermine,100-92-5,TEZ91L71V4,Mefentermina; Mephentermine; Mephenterminum,CC(C)(Cc1ccccc1)NC
DB01556,Chlorphentermine,461-78-9,NHW07912O7,"4-Chloro-a,a-dimethylbenzeneethanamine; 4-Chloro-a,a-dimethylphenethylamine; a,a-Dimethyl-p-chlorophenethylamine; Chlorphentermine; Chlorphenterminum; Clorfentermina",CC(C)(Cc(cc1)ccc1Cl)N
DB01527,Clortermine,10389-73-8,4FA88HM3IX,Clortermine,CC(C)(Cc(cccc1)c1Cl)N
DB04267,Dipicolinic acid,499-83-2,UE81S5CQ0G,"2,6-dicarboxypyridine; 2,6-Dipicolinic acid; 2,6-pyridinedicarboxylic acid",OC(c1cccc(C(O)=O)n1)=O
DB03215,"(2s,5s)-5-Carboxymethylproline",,,,OC(C[C@H](CC1)N[C@@H]1C(O)=O)=O
DB01796,Quinolinic Acid,89-00-9,F6F0HK1URN,,OC(c1cccnc1C(O)=O)=O
DB13363,Oxaceprol,33996-33-7,Q0XV76B96L,Oxaceprol,CC(N(C[C@@H](C1)O)[C@@H]1C(O)=O)=O
DB12948,Didox,69839-83-4,L106XFV0RQ,,Oc(ccc(C(NO)=O)c1)c1O
DB02120,"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",38231-86-6,,,N[C@H]([C@@H]([C@H]1O)O)C=C(CO)[C@H]1O
DB03746,"3-Amino-4,5-Dihydroxy-Cyclohex-1-Enecarboxylate",,,,N[C@H]([C@H]([C@@H](C1)O)O)C=C1C([O-])=O
DB03814,2-(N-morpholino)ethanesulfonic acid,4432-31-9,2GNK67Q0C4,2-(4-morpholinyl)ethanesulfonic acid; 2-(morpholin-4-yl)ethanesulfonic acid; 2-(N-morpholino)ethanesulfonic acid; 2-morpholinoethanesulphonic acid; 4-morpholineethanesulfonic acid; 4-morpholinethanesulfonic acid; MES,OS(CCN1CCOCC1)(=O)=O
DB03414,5-Thio-a/B-D-Mannopyranosylamine,,,,N[C@H]([C@H]([C@H]1O)O)S[C@H](CO)[C@H]1O
DB02797,3-Nitrophenylboronic Acid,13331-27-6,JLC765W4PN,,[O-][N+](c1cc(B(O)O)ccc1)=O
DB04584,Phenyldehydroalanine,7060-39-1,,"2,3-Didehydrophenylalanine; alpha-Aminocinnamate",N/C(/C(O)=O)=C\c1ccccc1
DB00120,Phenylalanine,63-91-2,47E5O17Y3R,(S)-2-Amino-3-phenylpropionic acid; (S)-alpha-Amino-beta-phenylpropionic acid; 3-phenyl-L-alanine; beta-Phenyl-L-alanine; F; Fenilalanina; L-Phenylalanine; Phe; Phenylalanine; Phenylalaninum; β-phenyl-L-alanine,NC(Cc1ccccc1)C(O)=O
DB02556,D-Phenylalanine,673-06-3,032K16VRCU,,N[C@H](Cc1ccccc1)C(O)=O
DB02884,3-Cyclohexyl-L-alanine,27527-05-5,GYR4SF0FVQ,beta-Cyclohexyl-alanine; beta-Cyclohexyl-L-alanine; β-Cyclohexyl-alanine,N[C@@H](CC1CCCCC1)C(O)=O
DB07910,"(2S)-2-amino-3-phenylpropane-1,1-diol",,,,NC(Cc1ccccc1)C(O)O
DB15885,Methacetin methoxy-C-13,72156-70-8,6RR3G0X81D,"Methacetin C-13; Methacetin methoxy-C-13; Methacetin, C-13; p-Acetanisidine C-13",CC(Nc(cc1)ccc1O[13CH3])=O
DB08767,2-(4-METHOXYPHENYL)ACETAMIDE,,RDT39HU3CZ,,COc1ccc(CC(N)=O)cc1
DB13544,Ethenzamide,938-73-8,L929ZCK4BF,Etenzamida; Etenzamide; Ethbenzamide; éthenzamide; Ethenzamide; Ethenzamidum; o-Ethoxybenzamide,CCOc(cccc1)c1C(N)=O
DB13331,Pyrithyldione,77-04-3,8AB20823CK,Pyrithyldiona; Pyrithyldione; Pyrithyldionum,CCC(CC)(C(C=CN1)=O)C1=O
DB13224,Piperidione,77-03-2,BZ6KL0Q8UD,,CCC(CC)(C(CCN1)=O)C1=O
DB09203,Synephrine,94-07-5,PEG5DP7434,(±)-Synephrine; Oxedrine; p-synephrine,CNCC(c(cc1)ccc1O)O
DB00388,Phenylephrine,59-42-7,1WS297W6MV,(−)-m-hydroxy-α-(methylaminomethyl)benzyl alcohol; Fenilefrina; l-(3-Hydroxyphenyl)-N-methylethanolamine; Phenylephrine; Phenylephrinum; R(-)-Phenylephrine,CNC[C@@H](c1cccc(O)c1)O
DB00610,Metaraminol,54-49-9,818U2PZ2EH,(-)-Erythro-metaraminol; 1-(m-Hydroxyphenyl)-2-amino-1-propanol; 1-Metaraminol; 2-Amino-1-(m-hydroxyphenyl)-1-propanol; 3-Hydroxyphenylisopropanolamine; alpha-(1-Aminoethyl)-3-hydroxybenzenemethanol; alpha-(m-Hydroxyphenyl)-beta-aminopropanol; Hydroxynorephedrine; L-Metaraminol; m-Hydroxy norephedrine; m-Hydroxyphenylpropanolamine; m-Hydroxypropadrine; Metaraminol; Métaraminol; Metaraminolum,C[C@@H]([C@@H](c1cccc(O)c1)O)N
DB13917,Deoxyepinephrine,501-15-5,R7339QLN1C,"1-(3,4-dihydroxyphenyl)-2-methylaminoethane; 3,4-dihydroxy-N-methylphenethylamine; 4-(2-methylamino-ethyl)-benzene-1,2-diol; 4-(2-methylaminoethyl)pyrocatechol; Deoxyephinephrine; Desoxyepinephrine; Epinin; Epinine; Epyamine; N-methyl-3,4-dihydroxyphenethylamine; N-methyldopamine",CNCCc(cc1)cc(O)c1O
DB11552,Tricaine,582-33-2,02591PHL19,Tricaine mesylate,CCOC(c1cc(N)ccc1)=O
DB00996,Gabapentin,60142-96-3,6CW7F3G59X,1-(Aminomethyl)cyclohexaneacetic acid; Gabapentin; Gabapentina; Gabapentine; Gabapentino; Gabapentinum,NCC1(CC(O)=O)CCCCC1
DB12449,Tempol,2226-96-2,U78ZX2F65X,,CC(C)(CC(CC1(C)C)O)N1O
DB08748,4-(Dimethylamino)benzoic acid,619-84-1,D1MA908EV0,"N,N-Dimethyl-4-aminobenzoic acid; N,N-Dimethyl-p-aminobenzoic acid; p-Dimethylamino benzoic acid; p-N,N-(Dimethylamino)benzoic acid",CN(C)c(cc1)ccc1C(O)=O
DB01031,Ethinamate,126-52-3,IAN371PP48,1-ethynylcyclohexanol carbamate; Aethinyl-cyclohexyl-carbamat; Ethinamate; Ethinamatum; Etinamato,C#CC1(CCCCC1)OC(N)=O
DB03978,Tyrosinal,,,,NC(Cc(cc1)ccc1O)C=O
DB01086,Benzocaine,94-09-7,U3RSY48JW5,4-aminobenzoic acid ethyl ester; Amben ethyl ester; Benzocaina; Benzocaine; Benzocainum; Ethyl aminobenzoate; Ethyl p-aminobenzoate; Ethyl p-aminophenylcarboxylate; p-(Ethoxycarbonyl)aniline; p-Carbethoxyaniline; p-Ethoxycarboxylic aniline,CCOC(c(cc1)ccc1N)=O
DB03210,4-Aminohydrocinnamic Acid,,00J8IS9IQI,,Nc1ccc(CCC(O)=O)cc1
DB14708,Tosylchloramide,144-86-5,UF17KA8AC5,N-chloro-p-toluenesulfonamide; N-chlorotoluene-p-sulfonamide,Cc(cc1)ccc1S(NCl)(=O)=O
DB07411,PHENYLALANINE BORONIC ACID,,,,NC(B(O)O)Cc1ccccc1
DB02087,"3,5-Difluorobenzenesulfonamide",,PTI28JEB8Q,,NS(c1cc(F)cc(F)c1)(=O)=O
DB03270,"2,6-Difluorobenzenesulfonamide",,,,NS(c(c(F)ccc1)c1F)(=O)=O
DB04556,NAP-226-90,139306-10-8,1608PLR9ZO,(-)-3-((1S)-1-(Dimethylamino)ethyl)phenol; 3-((1S)-1-(Dimethylamino)ethyl)phenol,CC(c1cccc(O)c1)N(C)C
DB08428,3(S)-AMINO-4-PHENYL-BUTAN-2(S)-OL,,,,C[C@@H]([C@H](Cc1ccccc1)N)O
DB07436,N-(1-PHENYL-PROPYL)-FORMAMIDE,,,,CCC(c1ccccc1)NC=O
