smiles,CHEMBL_ID,pIC50,pIC50_true
COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,CHEMBL2031893,NA,6.0
Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2ccc(O)cc2o1.O=C(O)C(F)(F)F,CHEMBL2032274,7.05,7.05
COc1cc2c(Nc3ncc(CC(=O)Nc4cccc(N(C)C)c4)s3)ncnc2cc1OCCCN1CCC[C@H]1CO,CHEMBL203422,6.32,6.32
COc1cc2c(Nc3cnc(NC(=O)c4ccncc4)nc3)ncnc2cc1OCCCN1CCOCC1,CHEMBL203507,6.16,6.16
C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,CHEMBL2035810,5.522878745280337,5.522878745280337
O=C(Cc1ccccc1)Nc1[nH]nc2c1CN(C(=O)Nc1ccccc1)C2,CHEMBL203707,5.0,5.0
CC(=O)N1Cc2n[nH]c(NC(=O)c3cccc(F)c3)c2C1,CHEMBL203714,5.31,5.31
Cc1cn(-c2cc(C(=O)Nc3cccc(Nc4ccc5c(c4)NC(=O)/C5=C\c4ccc[nH]4)c3)cc(C(F)(F)F)c2)cn1,CHEMBL2037209,7.82,7.82
COc1cc2c(Nc3cnc(NC(=O)c4cccc(Cl)c4)nc3)ncnc2cc1OCCCN1CCCCC1,CHEMBL203945,9.1,9.1
CC(C)C(=O)N1Cc2n[nH]c(NC(=O)c3ccc4c(c3)OCO4)c2C1,CHEMBL204087,6.8,6.8
CC(=O)N1Cc2n[nH]c(NC(=O)c3ccccc3)c2C1,CHEMBL204090,5.51,5.51
CC(Oc1cc(-c2cc(-c3ccc(CN(C)C)cc3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL2042031,5.1,5.1
C[C@@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O,CHEMBL2042042,5.63,5.63
C[C@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O,CHEMBL2042135,5.31,5.31
C[C@@H](Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL2042136,5.05,5.05
CCc1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,CHEMBL204217,7.07,7.07
CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccccc3F)c2C1,CHEMBL204294,NA,5.0
CCCCC(=O)Nc1ncc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OC)cc23)cn1,CHEMBL204318,NA,7.77
COc1ccc(C(=O)Nc2[nH]nc3c2CN(C(C)=O)C3)cc1,CHEMBL204383,NA,6.18
Cc1ccc(C(=O)Nc2[nH]nc3c2CN(C(=O)c2cccc4cccnc24)C3)cc1,CHEMBL204555,6.36,6.36
CC(=O)N1Cc2n[nH]c(NC(=O)c3ccc4c(c3)OCO4)c2C1,CHEMBL204610,5.0,5.0
Cc1ccc(NC(=O)Nc2nnc(Sc3ncnc4cc(OCCCN5CCOCC5)ccc34)s2)cc1,CHEMBL2046883,5.82,5.82
Cc1cc(N2CCOCC2)ccc1Nc1nc(NC2CCCCC2)c2nc[nH]c2n1,CHEMBL2047943,5.0,5.0
CC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccccc3)c2C1,CHEMBL205167,NA,5.64
COc1cc2c(Nc3cnc(NC(=O)c4cccc(Cl)c4)nc3)ncnc2cc1OCCCN1CCOCC1,CHEMBL205877,NA,10.0
COc1cc2c(Nc3ncc(NC(=O)c4ccccc4)cn3)ncnc2cc1OCCCN1CCOCC1,CHEMBL206266,6.2,6.2
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(NC(=O)Oc5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063318,NA,6.0
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(NC(=O)OCc5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063319,6.0,6.0
O=C(Nc1ccc(-c2cc(NC(=O)c3ccc(OCCN4CCCC4)cc3)[nH]n2)cc1)Oc1ccccc1,CHEMBL2063320,6.0,6.0
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)Oc5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063321,6.0,6.0
CCOC(=O)NCc1ccc(-c2cc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)[nH]n2)cc1,CHEMBL2063322,NA,6.0
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)OCc5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063323,6.06,6.06
O=C(NCc1ccc(-c2cc(NC(=O)c3ccc(OCCN4CCCC4)cc3)[nH]n2)cc1)OCc1ccccc1,CHEMBL2063324,6.0,6.0
CN1CCN(Cc2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)OCc5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063325,6.0,6.0
O=C(NCc1ccc(-c2cc(NC(=O)c3ccc(OCCN4CCOCC4)cc3)[nH]n2)cc1)OCc1ccccc1,CHEMBL2063326,6.23,6.23
O=C(NCc1ccc(-c2cc(NC(=O)c3ccc(OCCCN4CCCC4)cc3)[nH]n2)cc1)OCc1ccccc1,CHEMBL2063327,NA,6.0
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(CNC(=O)OCc5cccnc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063328,6.0,6.0
O=C(NCc1ccc(-c2cc(NC(=O)c3ccc(OCCN4CCCC4)cc3)[nH]n2)cc1)OCc1cccnc1,CHEMBL2063329,6.0,6.0
O=C(NCc1ccc(-c2cc(NC(=O)c3ccc(OCCN4CCOCC4)cc3)[nH]n2)cc1)OCc1cccnc1,CHEMBL2063330,6.0,6.0
Cc1cc(COC(=O)NCc2ccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)cc2)no1,CHEMBL2063331,6.0,6.0
Cc1cc(COC(=O)NCc2ccc(-c3cc(NC(=O)c4ccc(OCCN5CCCC5)cc4)[nH]n3)cc2)no1,CHEMBL2063332,6.0,6.0
Cc1cc(COC(=O)NCc2ccc(-c3cc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1,CHEMBL2063333,6.0,6.0
CN1CCN(c2ccc(C(=O)Nc3cc(-c4ccc(CNS(=O)(=O)c5ccccc5)cc4)n[nH]3)cc2)CC1,CHEMBL2063334,6.0,6.0
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4ccccc4)cc3)n[nH]2)cc(N2CCN(C)CC2)n1,CHEMBL2063335,6.37,6.37
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4cccnc4)cc3)n[nH]2)cc(N2CCN(C)CC2)n1,CHEMBL2063336,6.0,6.0
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4cc(C)on4)cc3)n[nH]2)cc(N2CCN(C)CC2)n1,CHEMBL2063337,6.0,6.0
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4ccccc4)cc3)n[nH]2)cc(N2CCN(CCO)CC2)n1,CHEMBL2063338,NA,6.77
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4cccnc4)cc3)n[nH]2)cc(N2CCN(CCO)CC2)n1,CHEMBL2063434,6.0,6.0
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4cc(C)on4)cc3)n[nH]2)cc(N2CCN(CCO)CC2)n1,CHEMBL2063435,6.0,6.0
Cc1nc(Nc2cc(-c3ccc(CNC(=O)OCc4ccccc4)cc3)n[nH]2)cc(N2CCNCC2)n1,CHEMBL2063436,6.46,6.46
Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12,CHEMBL2063438,4.903089986991944,4.903089986991944
Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3cccc4onc(N)c34)cc2)cc1,CHEMBL2063439,NA,4.903089986991944
Nc1noc2cccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c12,CHEMBL2063440,4.903089986991944,4.903089986991944
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12,CHEMBL2063441,NA,5.42
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)cc4)c3)c12,CHEMBL2063442,NA,4.91
Cc1ccc(NC(=O)NCc2cccc(NC(=O)c3cccc4onc(N)c34)c2)cc1,CHEMBL2063443,NA,6.23
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(Cl)cc4)c3)c12,CHEMBL2063444,NA,6.78
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4F)c3)c12,CHEMBL2063445,4.903089986991944,4.903089986991944
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,CHEMBL2063446,5.5,5.5
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,CHEMBL2063447,4.9,4.9
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,CHEMBL2063448,5.32,5.32
NCc1cccc(NC(=O)c2cccc3onc(N)c23)c1,CHEMBL2063449,4.903089986991944,4.903089986991944
Nc1noc2cccc(C(=O)Nc3cccc(CNS(=O)(=O)c4ccccc4)c3)c12,CHEMBL2063450,NA,4.903089986991944
Nc1noc2cccc(C(=O)Nc3cccc(CC(=O)Nc4cccc(F)c4)c3)c12,CHEMBL2063451,4.903089986991944,4.903089986991944
Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Cc4cccc(F)c4)c3)c12,CHEMBL2063452,4.903089986991944,4.903089986991944
Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,CHEMBL2063453,4.9,4.9
Nc1nsc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,CHEMBL2063454,4.9,4.9
Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,CHEMBL2063455,5.89,5.89
Nc1n[nH]c2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(F)c(F)c4)c3)c12,CHEMBL2063456,5.79,5.79
Cn1nc(N)c2c(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)cccc21,CHEMBL2063457,4.9,4.9
Cn1nc(N)c2c(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)cccc21,CHEMBL2063458,4.9,4.9
Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(Cl)cc4)c3)c12,CHEMBL2063459,7.34,7.34
Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4ccc(C(F)(F)F)cc4)c3)c12,CHEMBL2063460,NA,6.11
Cc1ccc(NC(=O)NCc2cccc(NC(=O)c3ccn4ncnc(N)c34)c2)cc1,CHEMBL2063461,7.34,7.34
Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(F)c4)c3)c12,CHEMBL2063462,7.17,7.17
Nc1ncnn2ccc(C(=O)Nc3cccc(CNC(=O)Nc4cccc(Cl)c4)c3)c12,CHEMBL2063463,NA,6.73
Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3ccn4ncnc(N)c34)cc2)c1,CHEMBL2063464,6.77,6.77
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccc(F)cc4)cc3)c12,CHEMBL2063465,7.06,7.06
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)NC4CCCC4)cc3)c12,CHEMBL2063466,7.43,7.43
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12,CHEMBL2063467,8.1,8.1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cc1,CHEMBL206374,5.41,5.41
CSc1ccccc1Nc1nc(N2CCN(C3CCNCC3)CC2)nc2c(NCC3CC3)ncnc12,CHEMBL2063926,5.0,5.0
N#Cc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,CHEMBL2064515,4.52,4.52
COC(=O)c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,CHEMBL2064520,4.0,4.0
c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)cc1,CHEMBL2064531,4.0,4.0
N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1,CHEMBL2064532,4.52,4.52
N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCO4)o2)cc1,CHEMBL2064533,NA,4.0
N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,CHEMBL2064534,4.0,4.0
N#Cc1cc(F)ccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1,CHEMBL2064535,5.3,5.3
N#Cc1ccccc1-c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,CHEMBL2064536,4.0,4.0
COCC1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,CHEMBL2064537,4.52,4.52
COC[C@@H]1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,CHEMBL2064538,4.0,4.0
COC[C@H]1COc2ccc(-c3nnc(SCc4ccc(-c5ccccc5C#N)cc4)o3)cc2O1,CHEMBL2064539,4.0,4.0
Cn1cc(Nc2ncc(Br)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)cn1,CHEMBL2071201,8.52,8.52
CC(C)(C)Nc1nc(Nc2ccc(C(N)=O)cc2)cc(N)c1C#N,CHEMBL2089255,4.0,4.0
O=Nc1c(-c2c(O)[nH]c3c(I)cccc23)[nH]c2ccccc12,CHEMBL209648,4.0,4.0
CC(=O)O/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,CHEMBL209849,5.64,5.64
O=C1C(c2c(O)[nH]c3c(F)cccc23)=Nc2ccccc21,CHEMBL210446,NA,4.0
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1.Cl.Cl,CHEMBL2105709,5.0,5.0
CO/N=C1\C(c2c(O)[nH]c3ccccc23)=Nc2ccccc21,CHEMBL211243,NA,5.37
O=Nc1c(-c2c(O)[nH]c3c(F)cccc23)[nH]c2ccccc12,CHEMBL212174,5.7,5.7
O=Nc1c(-c2c(O)[nH]c3c(Cl)cccc23)[nH]c2ccccc12,CHEMBL213650,NA,4.0
CN1CCN(c2ccc(Nc3ncc4ccn(-c5cccnc5)c4n3)cc2)CC1,CHEMBL213770,7.89,7.89
Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1,CHEMBL2140408,NA,8.3
COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C,CHEMBL2140523,4.68,4.68
O=C1C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,CHEMBL214173,NA,4.0
CN1CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,CHEMBL214329,NA,7.33
CN1CCN(c2ccc(Nc3ncc4ccn(C5CC6CCC5C6)c4n3)cc2)CC1,CHEMBL214609,NA,7.41
O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,CHEMBL2146883,5.0,5.0
CCCN(CCC)S(=O)(=O)c1ncc(C(=O)Nc2ncc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OC)cc34)cn2)cn1,CHEMBL214755,NA,5.41
CCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,CHEMBL214848,6.44,6.44
CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)c2cc1OC,CHEMBL214849,7.06,7.06
COCCN1CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,CHEMBL214913,NA,8.22
O=C(O)Cc1cccc(Nc2ncc3ccn(C4CCCCC4)c3n2)c1,CHEMBL215116,9.22,9.22
O=S1(=O)CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,CHEMBL215117,NA,7.92
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CHEMBL215152,NA,5.86
CCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,CHEMBL215275,NA,6.72
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2c1,CHEMBL215322,6.1,6.1
C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,CHEMBL215803,6.0,6.0
COc1ccc(C2=NN(C(=O)c3ccc(Cl)cc3O)C(c3ccc(Cl)cc3)C2)cc1,CHEMBL2159053,4.6020599913279625,4.6020599913279625
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,CHEMBL2159198,NA,6.19
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,CHEMBL215943,5.301029995663981,5.301029995663981
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C,CHEMBL216053,7.75,7.75
O=C(Nc1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1,CHEMBL216260,6.03,6.03
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](C(=O)NC5CCCC5)C4)cc3)nn3cccc23)n[nH]1,CHEMBL2163394,8.7,8.7
Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4CC[C@@H](C(=O)N5CCC(F)(F)C5)C4)cc3)nn3cccc23)n[nH]1,CHEMBL2163404,9.0,9.0
COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,CHEMBL216769,6.35,6.35
Fc1cnc(Nc2ccc(-c3nnn[nH]3)cc2)nc1Nc1ccccc1Cl,CHEMBL2169893,7.029999999999999,7.029999999999999
COCCNC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170404,6.875,6.875
CS(=O)(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170405,6.675,6.675
CC(=O)Nc1cccc(Nc2nccc(Nc3ccccc3Cl)n2)c1,CHEMBL2170406,NA,6.575
O=c1[nH]c2ccc(Nc3nccc(Nc4ccccc4Cl)n3)cc2[nH]1,CHEMBL2170407,NA,6.01
COc1cc(Nc2nccc(Nc3ccccc3Cl)n2)ccc1C(=O)O,CHEMBL2170408,6.225,6.225
Clc1ccccc1Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,CHEMBL2170409,7.57,7.57
NS(=O)(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170410,NA,6.6
Fc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccccc1Cl,CHEMBL2170411,NA,7.67
Fc1cnc(Nc2ccc(CN3CCOCC3)cc2)nc1Nc1ccccc1Cl,CHEMBL2170412,7.63,7.63
O=C(NCCO)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170413,NA,7.91
NC(=O)c1ccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)cc1,CHEMBL2170414,NA,7.84
NS(=O)(=O)c1ccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)cc1,CHEMBL2170415,6.835,6.835
Clc1ccccc1Nc1ccnc(Nc2ccc(-c3nnn[nH]3)cc2)n1,CHEMBL2170416,8.51,8.51
Oc1cc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)ccc1-c1nnn[nH]1,CHEMBL2170417,NA,6.38
Clc1ccccc1Nc1nc(Nc2ccc(-c3nnn[nH]3)cc2)ncc1Cl,CHEMBL2170418,NA,7.02
O=C(O)c1ccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)cc1,CHEMBL2170419,9.1,9.1
Fc1cnc(Nc2ccccc2)nc1Nc1ccccc1Cl,CHEMBL2170420,7.7,7.7
O=C(O)c1cccc(Nc2nccc(Nc3ccccc3C(=O)O)n2)c1,CHEMBL2170421,7.74,7.74
O=C(O)c1cccc(Nc2ncc(F)c(Nc3ccccc3C(=O)O)n2)c1,CHEMBL2170422,8.29,8.29
O=C(O)c1ccc(Nc2nc(Cl)c(Cl)c(Nc3ccccc3C(=O)O)n2)cc1,CHEMBL2170423,5.83,5.83
O=C(O)c1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(=O)O)n2)cc1,CHEMBL2170424,8.5,8.5
Nc1cnc(Nc2ccc(C(=O)O)cc2)nc1Nc1ccccc1C(=O)O,CHEMBL2170425,6.42,6.42
Nc1cc(Nc2ccccc2C(=O)O)nc(Nc2ccc(C(=O)O)cc2)n1,CHEMBL2170426,NA,4.301029995663981
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1,CHEMBL2170427,8.43,8.43
FC(F)(F)c1ccccc1Nc1ccnc(Nc2ccccc2)n1,CHEMBL2170428,NA,5.75
O=C(O)c1ccc(Nc2nccc(Nc3ccc(F)cc3Cl)n2)cc1,CHEMBL2170429,NA,8.7
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3OC(F)(F)F)n2)cc1,CHEMBL2170430,7.55,7.55
COc1ccccc1Nc1ccnc(Nc2ccc(C(=O)O)cc2)n1,CHEMBL2170431,8.4,8.4
COc1ccccc1Nc1ccnc(Nc2ccccc2)n1,CHEMBL2170432,7.33,7.33
N#Cc1ccccc1Nc1ccnc(Nc2ccccc2)n1,CHEMBL2170433,NA,6.25
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3C(F)(F)F)n2)cc1,CHEMBL2170434,7.46,7.46
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1,CHEMBL2170435,NA,8.68
O=C(O)Cc1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170436,8.48,8.48
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1O,CHEMBL2170437,8.18,8.18
Fc1ccccc1Nc1ccnc(Nc2ccccc2)n1,CHEMBL2170438,6.55,6.55
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3I)n2)cc1,CHEMBL2170439,7.46,7.46
N#Cc1ccccc1Nc1ccnc(Nc2ccc(C(=O)O)cc2)n1,CHEMBL2170440,7.37,7.37
O=C(O)c1cccc(Nc2nccc(Nc3ccccc3Cl)n2)c1,CHEMBL2170441,7.73,7.73
NC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170442,7.52,7.52
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3-c3ccccc3)n2)cc1,CHEMBL2170586,6.83,6.83
CN(c1ccnc(Nc2ccc(C(=O)O)cc2)n1)c1ccccc1Cl,CHEMBL2170587,8.07,8.07
CCN(c1ccnc(Nc2ccc(C(=O)O)cc2)n1)c1ccccc1Cl,CHEMBL2170588,7.3,7.3
O=C(O)c1cccc(Nc2ncc(F)c(Nc3ccccc3Cl)n2)c1,CHEMBL2170589,8.35,8.35
O=C(NCCN1CCOCC1)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170590,NA,6.335
CN(C)CCNC(=O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170591,NA,6.335
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3C(=O)O)n2)cc1,CHEMBL2170592,8.21,8.21
NC(=O)c1ccccc1Nc1nccc(Nc2ccccc2C(=O)O)n1,CHEMBL2170593,5.05,5.05
O=C(O)c1ccccc1Nc1ccnc(Nc2ccccc2C(=O)O)n1,CHEMBL2170594,4.5,4.5
COC(=O)c1ccc(Nc2nccc(Nc3ccccc3C(=O)OC)n2)cc1,CHEMBL2170595,NA,4.61
NC(=O)c1ccc(Nc2nccc(Nc3ccccc3C(N)=O)n2)cc1,CHEMBL2170596,NA,7.42
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3)n2)cc1,CHEMBL2170597,8.0,8.0
O=C(O)c1ccc(Nc2ccnc(Nc3ccc(C(=O)O)cc3)n2)cc1,CHEMBL2170598,6.59,6.59
Cc1cnc(Nc2ccc(C(=O)O)cc2)nc1Nc1ccccc1C(=O)O,CHEMBL2170599,6.55,6.55
Cc1cc(Nc2ccccc2C(=O)O)nc(Nc2ccc(C(=O)O)cc2)n1,CHEMBL2170600,NA,4.301029995663981
O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,CHEMBL2170601,8.6,8.6
O=C(O)c1ccc(Nc2ncc(F)c(Nc3ccccc3C(=O)O)n2)cc1,CHEMBL2170602,8.41,8.41
C[C@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,CHEMBL217748,6.34,6.34
CCCN(CCO)CCCOc1cc2ncnc(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,CHEMBL217804,6.66,6.66
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cn(C)nc5C5CC5)nc34)CC2)no1,CHEMBL2203764,NA,8.4
Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(N6CCOCC6)cc5)nc34)CC2)no1,CHEMBL2203765,8.15,8.15
CC(=O)N1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Br)cnc4[nH]3)cc2)CC1,CHEMBL2203766,8.05,8.05
CCN1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Cl)cnc4[nH]3)cc2)CC1,CHEMBL2203767,8.22,8.22
COCCN1CCN(c2ccc(-c3nc4c(N5CCN(Cc6cc(C)on6)CC5)c(Br)cnc4[nH]3)cc2)CC1,CHEMBL2203768,7.92,7.92
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(N6CCN[C@@H](C)C6)cc5)nc34)CC2)no1,CHEMBL2203769,NA,7.47
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)c(F)c5)nc34)CC2)no1,CHEMBL2203770,NA,7.96
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5F)nc34)CC2)no1,CHEMBL2203771,7.06,7.06
Cc1cc(CN2CCN(c3c(Cl)cnc4[nH]c(-c5cccc(OCCN(C)C)c5)nc34)CC2)no1,CHEMBL2203772,6.89,6.89
