Drug,CNS,TPSA,TPSA_S,HBA,HBD,MW,nAtoms,cLogD_ACD_v15,mapKa,cLogP_Biobyte,mbpKa,cLogP_ACD_v15,ALogP98,Smiles
Eltrombopag,FALSE,111.1,111.1,7,3,442.46657,33,1.46,3.95,3.98,2.63,4.43,3.777,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)NN=C3C=CC=C(C3=O)C4=CC(=CC=C4)C(=O)O)C
Empagliflozin,FALSE,108.61,108.61,7,4,450.90928,31,3.38,2.58,3.38,1.839,0.48,2,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl
Emtricitabine,FALSE,88.15,113.45,6,2,247.2467,16,-0.41,-1.29,1.93,-0.41,-0.68,0.5,FC=1\C(=N/C(=O)N(C=1)[C@H]2O[C@H](SC2)CO)\N
Enalapril,FALSE,95.94,95.94,6,2,376.44672,27,-1.15,3.15,0.67,5.43,2.43,2.164,O=C(O)[C@H]2N(C(=O)[C@@H](N[C@H](C(=O)OCC)CCc1ccccc1)C)CCC2
Entecavir,FALSE,125.76,125.76,7,4,277.2792,20,-0.96,-2.76,3.49,-0.96,-1.404,0.42,O=C2/N=C(\Nc1n(cnc12)[C@@H]3C(=C)/[C@H](CO)[C@@H](O)C3)N
Eplerenone,FALSE,82.2,82.2,6,0,414.49139,30,1.05,0.47,1.05,2.16,0.79,0,COC(=O)[C@@H]4C\C1=C\C(=O)CC[C@]1(C)[C@@]65O[C@@H]6C[C@@]3(C)[C@@H](CC[C@]23CCC(=O)O2)[C@H]45
Eprosartan,FALSE,92.42,120.66,5,2,424.51265,30,1.37,3.63,4.8,8.31,4.96,4.604,O=C(O)\C(=C\c1cnc(n1Cc2ccc(C(=O)O)cc2)CCCC)Cc3sccc3
Estradiol,FALSE,40.46,40.46,2,2,272.38196,20,4.13,3.78,4.13,3.838,0.67,1,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O
Estramustine,FALSE,49.77,49.77,3,1,440.40313,29,5.35,4.92,5.35,5.38,0.7,1,ClCCN(C(=O)Oc1cc3c(cc1)[C@H]2CC[C@@]4([C@@H](O)CC[C@H]4[C@@H]2CC3)C)CCCl
Ethacrynic acid,FALSE,63.6,63.6,4,1,303.13798,19,-0.33,2.81,3.44,3.36,3.964,0.23,Clc1c(C(=O)\C(=C)CC)ccc(OCC(=O)O)c1Cl
Ethambutol,FALSE,64.52,64.52,4,4,204.30976,14,-2.33,0.12,9.59,-0.05,0.11,1,CC[C@@H](CO)NCCN[C@@H](CC)CO
Ethoxzolamide,FALSE,82.28,118.9,4,1,258.3173,16,2.04,2.05,2.05,1.823,0.22,2,O=S(=O)(c1nc2ccc(OCC)cc2s1)N
Ethylestrenol,FALSE,20.23,20.23,1,1,288.46748,21,6.51,6.09,6.51,4.997,0.9,0,O[C@]2(CC[C@H]1[C@H]4[C@H](CC[C@@]12C)[C@@H]3\C(=C/CCC3)CC4)CC
Ethynodiol,FALSE,40.46,40.46,2,2,300.43512,22,3.92,3.23,3.92,4.214,0.8,0,O[C@@H]4/C=C3\[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)C)CC4
Etodolac,FALSE,62.32,62.32,3,2,287.35353,21,0.61,4.31,3.43,3.59,3.723,0.47,O=C(O)CC3(OCCc2c3nc1c(cccc12)CC)CC
Etoposide,FALSE,160.83,160.83,13,3,588.55657,42,0.3,0.03,0.3,0.935,0.55,2,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@@H]3c4cc5c(cc4[C@H]([C@@H]6[C@@H]3COC6=O)c7cc(c(c(c7)OC)O)OC)OCO5)O)O
Etravirine,FALSE,120.63,120.63,7,2,435.2767,28,4.19,5.22,4.19,5.492,0.1,3,N#Cc3cc(c(Oc1nc(nc(c1Br)N)Nc2ccc(C#N)cc2)c(c3)C)C
Ezetimibe,FALSE,60.77,60.77,3,2,409.42524,30,3.25,3.96,3.26,4.633,0.21,3,Fc1ccc(cc1)[C@@H](O)CC[C@H]4C(=O)N(c2ccc(F)cc2)[C@@H]4c3ccc(O)cc3
Fenoprofen,FALSE,46.53,46.53,3,1,242.26986,18,0.75,4.2,3.82,3.84,3.517,0.13,O=C(O)C(c2cc(Oc1ccccc1)ccc2)C
Fesoterodine,FALSE,49.77,49.77,4,1,411.57687,30,2.23,4.36,10.6,5.08,5.71,0.5,O=C(Oc1ccc(cc1[C@@H](c2ccccc2)CCN(C(C)C)C(C)C)CO)C(C)C
Fexofenadine,FALSE,81,81,5,3,501.65636,37,2.3,4.43,1.96,9.8,4.8,5.642,O=C(O)C(c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)(C)C
Flavoxate,FALSE,55.84,55.84,5,0,391.4596,29,4.32,4.97,7.65,5.18,4.494,0.33,O=C(OCCN1CCCCC1)c4cccc2c4O/C(=C(\C2=O)C)c3ccccc3
Flecainide,FALSE,59.59,59.59,4,2,414.34271,28,0.77,3.66,9.69,2.9,3.568,0.59,FC(F)(F)COc2cc(C(=O)NCC1NCCCC1)c(OCC(F)(F)F)cc2
Fludarabine,FALSE,139.54,139.54,8,4,285.23178,20,-0.4,-2,-0.4,-1.452,0.5,2,Fc1nc(c2ncn(c2n1)[C@@H]3O[C@@H]([C@@H](O)[C@@H]3O)CO)N
Fluoxymesterone,FALSE,57.53,57.53,3,2,336.44086,24,2.17,2.84,2.17,2.637,0.85,0,O=C4\C=C3/[C@]([C@@]2(F)[C@@H](O)C[C@]1([C@@H](CC[C@@]1(O)C)[C@@H]2CC3)C)(C)CC4
Fluvastatin,FALSE,82.69,82.69,4,3,411.46594,30,0.51,4.27,4.05,3.62,4.244,0.29,O=C(O)C[C@H](O)C[C@H](O)/C=C/c2c(c1ccccc1n2C(C)C)c3ccc(F)cc3
Fosfomycin,FALSE,79.87,79.87,4,2,138.05904,8,-6.79,3.02,-0.23,-2.98,-0.318,1,C[C@H]1[C@H](O1)P(=O)(O)O
Fosinopril,FALSE,120.02,120.02,7,1,563.6625,39,2.53,3.36,7.45,6.09,6.269,0.7,O=C(CP(=O)(CCCCc1ccccc1)OC(OC(=O)CC)C(C)C)N2C[C@@H](C[C@H]2C(O)=O)C3CCCCC3
Furazolidone,FALSE,100.86,100.86,5,0,225.15828,16,-0.49,-0.04,-0.49,1.1,0.25,1,[O-][N+](=O)c2oc(C=NN1C(=O)OCC1)cc2
Furosemide,FALSE,122.63,131.01,5,3,330.74413,21,-0.03,3.04,1.9,3.1,1.403,0.08,O=S(=O)(N)c1c(Cl)cc(c(C(=O)O)c1)NCc2occc2
Gatifloxacin,FALSE,82.11,82.11,7,2,375.39408,27,-1.11,6.27,0.24,8.72,1.21,1.796,Fc1c(c(OC)c2c(c1)C(=O)C(\C(=O)O)=C/N2C3CC3)N4CC(NCC4)C
Gefitinib,FALSE,68.74,68.74,7,1,446.90236,31,3.97,5.6,7.34,4.11,4.203,0.36,COc1cc2c(cc1OCCCN3CCOCC3)c(ncn2)Nc4ccc(c(c4)Cl)F
Gemifloxacin,FALSE,121.35,121.35,9,2,389.3809,28,-2.09,6.02,-0.86,9.15,0.38,0.832,Fc2c(nc1N(/C=C(/C(=O)O)C(=O)c1c2)C3CC3)N4C/C(=N\OC)C(C4)CN
Glimepiride,FALSE,124.68,133.06,5,3,490.61555,34,1,4.99,3.96,2.94,4.306,0.54,O=C3C(/CC)=C(/C)CN3C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2
Glipizide,FALSE,130.15,138.53,6,3,445.53517,31,0.07,4.97,2.57,2.01,1.902,0.43,O=C(c1ncc(nc1)C)NCCc2ccc(cc2)S(=O)(=O)NC(=O)NC3CCCCC3
Glyburide,FALSE,113.6,121.98,5,3,494.00351,33,1.82,4.99,4.24,3.75,4.14,0.39,O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3cc(Cl)ccc3OC
Glycopyrrolate,FALSE,46.53,46.53,3,1,318.43052,23,0.38,0.12,0.38,1.457,0.63,1,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C
Guaifenesin,FALSE,58.92,58.92,4,2,198.21576,14,0.57,0.1,0.57,0.747,0.4,1,O(c1ccccc1OC)CC(O)CO
Guanadrel,FALSE,82.86,82.86,5,2,213.27675,15,-1.49,0.62,12.29,0.51,0.294,0.9,C1CCC2(CC1)OCC(O2)CN=C(N)N
Guanethidine,FALSE,67.63,67.63,4,2,198.30848,14,-1,1.34,13.35,1.56,1.186,0.9,N(=C(\N)N)\CCN1CCCCCCC1
Hetacillin,FALSE,89.95,115.25,6,2,389.46861,27,-1.31,2.45,0.81,4.97,2.4,0.738,O=C(O)[C@@H]3N4C(=O)[C@@H](N2C(=O)C(c1ccccc1)NC2(C)C)[C@H]4SC3(C)C
Hexocyclium,FALSE,23.47,23.47,2,1,317.48882,23,1.15,1.41,4.16,1.15,2.04,0.7,C[N+]1(CCN(CC1)CC(C2CCCCC2)(C3=CC=CC=C3)O)C
Hydralazine,FALSE,63.83,63.83,4,2,160.17592,12,0.99,1.17,6.25,1,0.935,0,n2nc(c1ccccc1c2)NN
Hydrocortisone,FALSE,94.83,94.83,5,3,362.45989,26,1.43,1.89,1.43,1.283,0.81,0,O=C4\C=C2/[C@]([C@H]1[C@@H](O)C[C@@]3([C@@](O)(C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4
Ibandronate,FALSE,158.14,158.14,8,5,319.22894,19,-5.05,1.33,-3.37,9.5,-0.65,0.685,O=P(O)(O)C(O)(CCN(CCCCC)C)P(=O)(O)O
Ibrutinib,FALSE,99.16,99.16,6,1,440.49706,33,2.92,4.07,4.23,2.92,3.845,0.2,C=CC(=O)N1CCC[C@H](C1)N2C3=C(C(=N2)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=NC=N3)N
Idelalisib,FALSE,99.16,99.16,6,2,415.42302,31,2.96,3.62,4.08,2.96,3.485,0.14,Fc2cccc3\N=C(/N(c1ccccc1)C(=O)c23)[C@@H](Nc4ncnc5ncnc45)CC
Imatinib,FALSE,86.28,86.28,7,2,493.60273,37,2.08,4.53,7.77,2.48,4.22,0.24,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C
Indapamide,FALSE,92.49,100.88,4,2,365.83453,24,2.09,2.96,2.1,2.538,0.19,2,O=S(=O)(N)c1c(Cl)ccc(c1)C(=O)NN3c2ccccc2CC3C
Indinavir,FALSE,118.03,118.03,7,4,613.78948,45,2.87,3.68,6.62,2.88,3.082,0.47,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cccnc5
Irbesartan,FALSE,87.13,87.13,5,1,428.52942,32,2.53,4.5,6.04,2.6,4.5,4.841,O=C1N(\C(=N/C12CCCC2)CCCC)Cc5ccc(c3ccccc3c4nnnn4)cc5
Isoniazid,FALSE,68.01,68.01,3,2,137.13928,10,-0.89,-0.67,3.79,-0.89,-0.811,0,O=C(NN)c1ccncc1
Isopropamide,FALSE,43.09,43.09,1,1,353.52092,26,-3.49,-0.2,-3.49,2.785,0.43,2,O=C(N)C(c1ccccc1)(c2ccccc2)CC[N+](C(C)C)(C(C)C)C
Itraconazole,FALSE,100.79,100.79,9,0,705.63342,49,4.28,7.25,6.47,4.35,6.435,0.37,O=C1N(/N=C\N1c2ccc(cc2)N7CCN(c6ccc(OC[C@@H]3O[C@](OC3)(c4ccc(Cl)cc4Cl)Cn5ncnc5)cc6)CC7)C(C)CC
Ivacaftor,FALSE,78.43,78.43,4,3,392.49071,29,6.34,3.82,6.34,4.516,0.33,2,O=C\2c1c(cccc1)N/C=C/2C(=O)Nc3cc(O)c(cc3C(C)(C)C)C(C)(C)C
Ketoconazole,FALSE,69.06,69.06,6,0,531.43092,36,3.43,4.14,6.88,3.55,3.61,0.38,O=C(N5CCN(c4ccc(OC[C@@H]1O[C@](OC1)(c2ccc(Cl)cc2Cl)Cn3ccnc3)cc4)CC5)C
Ketorolac,FALSE,59.3,59.3,3,1,255.26862,19,-0.94,4.29,1.62,2.08,2.832,0.2,O=C(c1ccc2n1CCC2C(=O)O)c3ccccc3
Labetalol,FALSE,95.58,95.58,4,4,328.40546,24,0.42,2.5,9.37,2.31,2.355,0.32,O=C(c1cc(ccc1O)C(O)CNC(C)CCc2ccccc2)N
Lactulose,FALSE,189.52,189.52,11,8,342.29647,23,-3.21,-3.59,-3.21,-4.311,1,0,O[C@H]2[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O[C@]2(O)CO)CO
Lapatinib,FALSE,106.35,114.73,7,2,581.05754,40,5.1,5.96,6.61,5.14,6.041,0.17,CS(=O)(=O)CCNCc1ccc(o1)c2ccc3c(c2)c(ncn3)Nc4ccc(c(c4)Cl)OCc5cccc(c5)F
Lenvatinib,FALSE,115.57,115.57,5,3,426.85295,30,3.39,3.35,4.69,3.39,2.832,0.19,C4CC4NC(=O)Nc3ccc(cc3Cl)Oc1ccnc(cc2OC)c1cc2C(=O)N
Levofloxacin,FALSE,73.32,73.32,7,1,361.3675,26,-1.41,5.19,0,7.37,0.84,1.661,C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)O
Linagliptin,FALSE,113.47,113.47,7,1,472.54222,35,-0.34,2.46,10.01,1.99,3.243,0.4,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
Linezolid,FALSE,71.11,71.11,5,1,337.3461,24,0.29,0.67,5.75,0.3,0.894,0.5,O=C1O[C@@H](CNC(=O)C)CN1c3cc(F)c(N2CCOCC2)cc3
Lisinopril,FALSE,132.96,132.96,7,4,405.48793,29,-1.82,2.18,-1.82,10.5,1.19,1.51,O=C(O)[C@H]2N(C(=O)[C@@H](N[C@H](C(=O)O)CCc1ccccc1)CCCCN)CCC2
Lomitapide,FALSE,61.44,61.44,3,2,693.72039,50,6.21,7,8.56,7.78,7.79,0.33,FC(F)(F)c5ccc(cc5)-c1ccccc1C(=O)NC4CCN(CC4)CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c6ccccc26
Loperamide,FALSE,43.78,43.78,3,1,477.03752,34,3.73,4.66,8.26,4.26,4.635,0.34,ClC1=CC=C(C2(CCN(CC2)CCC(C3=CC=CC=C3)(C(N(C)C)=O)C4=CC=CC=C4)O)C=C1
Lopinavir,FALSE,120,120,5,4,628.80082,46,6.26,6.09,6.26,4.926,0.43,3,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](NC(=O)[C@@H](N2C(=O)NCCC2)C(C)C)Cc3ccccc3)COc4c(cccc4C)C
Loracarbef,FALSE,112.73,112.73,5,3,349.76894,24,-4.38,3.1,-0.47,6.56,-1.14,4.00E-03,Cl\C3=C(/C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](c1ccccc1)N)[C@H]2CC3
Lubiprostone,FALSE,83.83,83.83,5,2,390.46188,27,0.25,4.77,3.83,2.85,3.848,0.9,FC(F)(CCCC)[C@]2(O)O[C@@H]1CC(=O)[C@@H]([C@H]1CC2)CCCCCCC(=O)O
Macitentan,FALSE,128.22,136.6,8,2,588.2729,32,3.48,4.3,5.3,5.41,3.671,0.26,Brc1ccc(cc1)c3c(ncnc3OCCOc2ncc(Br)cn2)NS(=O)(=O)NCCC
Medroxyprogesterone,FALSE,60.44,60.44,4,0,386.52436,28,4.11,4.2,4.11,3.755,0.79,0,[C@]4([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)[C@H](C2)C)C)CC3)CC4)C)(OC(C)=O)C(C)=O
Mefenamic,FALSE,49.33,49.33,3,2,241.28509,18,2.37,3.73,5.29,5.33,3.982,0.13,O=C(O)c2c(Nc1cccc(c1C)C)cccc2
Meloxicam,FALSE,99.59,136.22,5,2,351.40071,23,-0.17,4.5,2.29,2.89,2.71,0.585,Cc1cnc(s1)NC(=O)C\3=C(/O)c2ccccc2S(=O)(=O)N/3C
Melphalan,FALSE,66.55,66.55,4,2,305.20022,19,-0.71,2.12,-0.21,9.54,1.79,2.366,c1cc(ccc1C[C@@H](C(=O)O)N)N(CCCl)CCCl
Mepenzolate,FALSE,46.53,46.53,3,1,340.43604,25,0.97,0.16,0.97,1.888,0.38,2,C1=CC=CC=C1C(C(OC2CCC[N+](C)(C)C2)=O)(O)C3=CC=CC=C3
Mercaptopurine,FALSE,53.07,85.16,4,2,152.17705,10,-0.64,-1.33,8.89,-0.63,8.90E-02,0,S=C2/N=C\Nc1ncnc12
Mesalamine,FALSE,83.55,83.55,4,3,153.13538,11,-2.66,1.9,1.06,5.43,0.46,0.471,O=C(O)c1cc(ccc1O)N
Mesna,FALSE,57.2,104.38,4,1,141.18929,7,-4.7,1.5,-1.55,-1.2,-0.686,1,[O-]S(=O)(=O)CCS
Metaproterenol,FALSE,72.72,72.72,4,4,211.25758,15,-1.77,0.08,9.53,0.13,1.099,0.45,Oc1cc(cc(O)c1)C(O)CNC(C)C
Metaxalone,FALSE,47.56,47.56,3,1,221.25239,16,2.42,2.15,2.42,2.468,0.42,1,O=C2OC(COc1cc(cc(c1)C)C)CN2
Methantheline,FALSE,35.53,35.53,3,0,340.43604,25,-1.26,0.88,-1.26,2.426,0.38,2,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13
Methazolamide,FALSE,105.19,138.87,7,1,236.27202,14,-0.21,7.31,0.09,0.13,3.00E-02,0.4,O=S(=O)(C\1=N\N(C(=N/C(=O)C)/S/1)C)N
Methenamine,FALSE,12.96,12.96,4,0,140.18627,10,2.17,2.44,5.28,2.17,8.50E-02,1,C1N2CN3CN1CN(C2)C3
Methimazole,FALSE,15.27,47.36,1,1,114.16884,7,-0.34,-0.34,-0.34,-0.305,0.25,0,Cn1cc[nH]c1=S
Methscopolamine,FALSE,59.06,59.06,4,1,318.38745,23,-2.29,-2.47,-2.29,-0.531,0.61,1,OC[C@H](c1ccccc1)C(=O)O[C@H]2C[C@@H]3[N+](C)(C)[C@H](C2)[C@H]4O[C@@H]34
Methyltestosterone,FALSE,37.29,37.29,2,1,302.45099,22,4.02,3.93,4.02,3.678,0.85,0,O=C4\C=C3/[C@]([C@H]2CC[C@]1([C@@H](CC[C@@]1(O)C)[C@@H]2CC3)C)(C)CC4
Metolazone,FALSE,92.5,100.88,4,2,365.83454,24,1.56,2.06,1.57,2.464,0.19,2,O=S(=O)(c3c(Cl)cc2c(C(=O)N(c1ccccc1C)C(N2)C)c3)N
Metronidazole,FALSE,83.87,83.87,4,1,171.15396,12,-0.01,-0.46,2.58,-0.01,-0.337,0.5,C1=C([N](C(=N1)C)CCO)[N+](=O)[O-]
Metyrosine,FALSE,83.55,83.55,4,3,195.21512,14,-1.78,2.29,-1.67,9.09,0.73,0.943,O=C(O)[C@@](N)(Cc1ccc(O)cc1)C
Midodrine,FALSE,93.81,93.81,5,3,254.28232,18,-0.84,-0.35,7.75,-0.66,-0.548,0.42,O=C(NCC(O)c1cc(OC)ccc1OC)CN
Miglitol,FALSE,104.39,104.39,6,5,207.22428,14,-1.43,-1.26,7.59,-1.4,-2.444,1,OCCN1[C@@H]([C@@H](O)[C@H](O)[C@@H](O)C1)CO
Miltefosine,FALSE,68.4,68.4,4,0,407.568,27,4.18,1.28,3.54,3.58,4.866,1,[O-]P(=O)(OCCCCCCCCCCCCCCCC)OCC[N+](C)(C)C
Minocycline,FALSE,164.63,164.63,9,5,457.47637,33,-3.33,4.5,0.21,11.06,-0.65,9.70E-02,CN(C)[C@@H]1C(\O)=C(\C(N)=O)C(=O)[C@@]2(O)C(/O)=C3/C(=O)c4c(O)ccc(c4C[C@H]3C[C@@H]12)N(C)C
Minoxidil,FALSE,88.94,88.94,5,3,209.2483,15,-3.99,-1.41,16.66,-1.49,5.20E-02,0.56,C2N(C1=NC(=N)N(C(=C1)N)O)CCCC2
Mirabegron,FALSE,100.27,128.51,5,4,396.50586,28,-0.37,1.32,8.9,1.29,2.453,0.24,O=C(Nc1ccc(cc1)CCNC[C@H](O)c2ccccc2)Cc3nc(sc3)N
Mitotane,FALSE,0,0,0,0,320.0412,18,5.39,6.06,5.39,5.745,0.14,2,Clc1ccccc1C(c2ccc(Cl)cc2)C(Cl)Cl
Montelukast,FALSE,70.42,95.72,5,2,586.18324,41,5.19,4.76,8.47,2.22,7.8,8.284,O=C(O)CC1(CC1)CS[C@@H](c2cccc(c2)\C=C\c3nc4cc(Cl)ccc4cc3)CCc5ccccc5C(O)(C)C
Moxifloxacin,FALSE,82.11,82.11,7,2,401.43136,29,-0.91,6.28,0.46,10.63,1.6,2.003,COc1c2c(cc(c1N3C[C@@H]4CCCN[C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)O
Mycophenolic,FALSE,93.06,93.06,6,2,320.33709,23,0.26,4.71,2.29,2.92,3.157,0.41,O=C1OCc2c1c(O)c(c(OC)c2C)C\C=C(/C)CCC(=O)O
Nabumetone,FALSE,26.3,26.3,2,0,228.28634,17,2.82,2.98,2.82,2.943,0.27,2,O=C(C)CCc1ccc2c(c1)ccc(OC)c2
Nadolol,FALSE,81.95,81.95,5,4,309.40058,22,-0.81,0.38,9.77,1.29,1.146,0.65,OC(CNC(C)(C)C)COc1cccc2c1C[C@H](O)[C@H](O)C2
Nalidixic,FALSE,70.5,70.5,5,1,232.23528,17,-0.37,3.45,1.02,6.12,1.19,1.176,O=C\2c1c(nc(cc1)C)N(/C=C/2C(=O)O)CC
Naproxen,FALSE,46.53,46.53,3,1,230.25915,17,0.47,4.84,2.82,3,2.849,0.21,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O
Nateglinide,FALSE,66.4,66.4,3,2,317.42258,23,0.61,3.61,4.3,4.21,3.981,0.58,O=C(N[C@H](Cc1ccccc1)C(O)=O)[C@H]2CC[C@@H](CC2)C(C)C
Nelfinavir,FALSE,101.9,127.19,6,4,567.7824,40,6.96,5.84,7.53,6.98,5.285,0.56,O=C(c1cccc(O)c1C)N[C@@H](CSc2ccccc2)[C@H](O)CN4[C@H](C(=O)NC(C)(C)C)C[C@@H]3CCCC[C@@H]3C4
Neostigmine,FALSE,29.54,29.54,2,0,223.29145,16,-3.03,-2.81,-3.03,0.511,0.42,1,O=C(Oc1cccc(c1)[N+](C)(C)C)N(C)C
Nevirapine,FALSE,58.12,58.12,4,1,266.29786,20,2.03,2.65,4.25,2.03,2.293,0.27,O=C2Nc1c(ccnc1N(c3ncccc23)C4CC4)C
Niacin,FALSE,50.19,50.19,3,1,123.1094,9,-2.93,2.2,0.8,4.8,0.15,0.309,OC(=O)C1=CN=CC=C1
Niclosamide,FALSE,95.15,95.15,4,2,327.11962,21,5.17,7.45,4.34,5.41,3.595,0,Clc2cc(ccc2NC(=O)c1cc(Cl)ccc1O)[N+]([O-])=O
Nilotinib,FALSE,97.62,97.62,6,2,529.51578,39,5.14,5.84,5.68,5.15,5.084,0.11,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F
Nilutamide,FALSE,95.22,95.22,4,1,317.2207,22,2.01,7.59,1.71,2.23,2.874,0.33,O=C2N(c1ccc([N+]([O-])=O)c(c1)C(F)(F)F)C(=O)C(N2)(C)C
Nintedanib,FALSE,94.22,94.22,7,2,539.62481,40,2.26,3.08,7.41,2.59,2.965,0.26,CN1CCN(CC1)CC(=O)N(C)C2=CC=C(C=C2)N/C(=C\3/C4=C(C=C(C=C4)C(=O)OC)NC3=O)/C5=CC=CC=C5
Nitisinone,FALSE,97.03,97.03,5,0,329.2281,23,-1.12,3.13,1.38,1.37,2.53,0.36,O=C(c1ccc(cc1[N+]([O-])=O)C(F)(F)F)C2C(=O)CCCC2=O
Nizatidine,FALSE,86.01,139.55,7,2,331.45744,21,0.98,-0.16,7.31,1.18,0.552,0.58,[O-][N+](=O)\C=C(/NC)NCCSCc1nc(sc1)CN(C)C
Norgestimate,FALSE,58.89,58.89,4,1,369.49713,27,5,5.05,5,5.237,0.74,0,O=C(O[C@@]2(C#C)CC[C@H]1[C@H]4[C@H](CC[C@@]12CC)[C@@H]3/C(=C\C(=N\O)CC3)CC4)C
Novobiocin,FALSE,196.1,196.1,11,5,612.62434,44,0.12,4.5,3.98,2.86,3.45,0.39,C[C@@]4(C)O[C@@H](Oc3ccc2C(\O)=C(\NC(=O)c1ccc(O)c(C\C=C(/C)C)c1)C(=O)Oc2c3C)[C@H](O)[C@H](OC(N)=O)[C@H]4OC
Olaparib,FALSE,82.08,82.08,4,1,434.46282,32,0,1.24,0,2.127,0.33,2,c4cccc2c4c(n[nH]c2=O)Cc(ccc1F)cc1C(=O)N3CCN(CC3)C(=O)C5CC5
Olsalazine,FALSE,139.78,139.78,8,4,302.23899,22,-0.21,2.73,5.17,3.94,2.975,0,O=C(O)c1cc(ccc1O)/N=N/c2cc(C(O)=O)c(O)cc2
Orlistat,FALSE,81.69,81.69,5,1,495.73481,35,8.95,8.61,8.95,8.333,0.9,0,O=C(O[C@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)CCCCCCCCCCC)[C@@H](NC=O)CC(C)C
Oseltamivir,FALSE,90.65,90.65,5,2,312.40452,22,0.69,2.13,8.81,1.5,1.045,0.75,O=C(OCC)/C1=C/[C@@H](OC(CC)CC)[C@H](NC(=O)C)[C@@H](N)C1
Oxamniquine,FALSE,90.11,90.11,5,3,279.33484,20,-0.91,1.8,9.83,1.41,1.817,0.57,[O-][N+](=O)c1c(cc2c(c1)NC(CC2)CNC(C)C)CO
Oxandrolone,FALSE,46.53,46.53,3,1,306.4397,22,3.33,2.96,3.33,3.06,0.95,0,O=C3OC[C@@]2([C@H]1CC[C@@]4(C)[C@H]([C@@H]1CC[C@H]2C3)CC[C@@]4(O)C)C
Oxaprozin,FALSE,63.33,63.33,3,1,293.3166,22,1.12,4.2,2.95,4.19,3.59,0.11,O=C(O)CCc1nc(c(o1)c2ccccc2)c3ccccc3
Oxyphenbutazone,FALSE,60.85,60.85,3,1,324.3737,24,0.45,6.86,2.72,2.72,3.712,0.26,O=C2N(c1ccc(O)cc1)N(C(=O)C2CCCC)c3ccccc3
Oxyphenonium,FALSE,46.53,46.53,3,1,348.49955,25,-0.91,0.88,-0.91,2.701,0.67,1,OC(C(=O)OCC[N+](C)(CC)CC)(c1ccccc1)C2CCCCC2
Palbociclib,FALSE,103.35,103.35,8,2,447.53275,33,-0.13,2.85,8.66,0.99,2.801,0.46,O=C2N(c1nc(ncc1/C(=C2/C(=O)C)C)Nc3ncc(cc3)N4CCNCC4)C5CCCC5
Paliperidone,FALSE,82.17,82.17,5,1,426.48388,31,0.72,1.07,8.21,1.52,2.53,0.52,O=C/1N5/C(=N\C(=C\1CCN4CCC(c3noc2cc(F)ccc23)CC4)C)[C@H](O)CCC5
Pantoprazole,FALSE,86.33,105.54,6,1,383.3698,26,1.68,7.6,2.11,1.93,1.69,2.737,FC(F)Oc3cc1c(nc(n1)S(=O)Cc2nccc(OC)c2OC)cc3
Pargyline,FALSE,3.24,3.24,1,0,159.22761,12,2.43,2.58,6.5,2.48,3.095,0.27,C#CCN(C)Cc1ccccc1
