denomination;categorie;avant_montant;conv_montant;remu_montant
Laboratoires IPRAD PHARMA;Professionnel de santé;22753;770;
BIOGARAN;Association professionnel de santé;22750;99250;48210
Otsuka Pharmaceutical France SAS;Etudiant;22669;18886;
Smith & Nephew S.A.S.;Académies, Fondation, sociétés savantes, organismes de conseils;22650;22650;
SI-BONE srl;Professionnel de santé;22594;0;14250
SANTELYS ASSOCIATION;Professionnel de santé;22508;0;
ADVANCED BIONICS SARL;Personnes morales assurant la formation initiale ou continue des professionnels de santé;22500;22500;
ViiV HEALTHCARE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;22476;547231;2503373
SCIENCE ET MEDECINE;Professionnel de santé;22308;;85717
AIXPER'F;Professionnel de santé;22022;0;
Penumbra, Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;22000;22000;12291
THERAKOS UK Ltd;Personnes morales assurant la formation initiale ou continue des professionnels de santé;21968;;
OrthoZ;Professionnel de santé;21806;;
EUROFINS OPTIMED;Personnes morales assurant la formation initiale ou continue des professionnels de santé;21740;;
PHOENIX PHARMA;Professionnel de santé;21626;2000;
VOLCANO EUROPE BVBA/SPRL;Professionnel de santé;21618;;
American Orthodontics;Professionnel de santé;21593;22900;8800
BALT INTERNATIONAL;Académies, Fondation, sociétés savantes, organismes de conseils;21569;;
INRESA Sarl;Professionnel de santé;21474;0;2050
ATLANTIS DIFFUSION SAM;Professionnel de santé;21330;23230;
SYNAPSE SANTE;Professionnel de santé;21213;1056;
Ophtalmic Compagnie;Professionnel de santé;21177;17960;3190
WEINMANN SAS;Professionnel de santé;21096;1000;
Philips France Commercial;Association professionnel de santé;21000;426254;417080
PHARMAGEST INTERACTIVE;Professionnel de santé;20897;;
SOS OXYGENE PYRENEES CENTRE;Professionnel de santé;20857;0;
MOTIVA IMPLANTS FRANCE;Professionnel de santé;20775;0;
HEMA.T MEDICAL;Association professionnel de santé;20700;;
Sorin CRM SAS;Professionnel de santé;20685;79520;25998
Zimmer Biomet France SAS;Etudiant;20638;0;
MUNDIPHARMA;Etudiant;20614;0;
Ivoclar Vivadent SAS;Professionnel de santé;20589;22300;17400
BIOCODEX;Etudiant;20533;;
MELLITUS CARE;Professionnel de santé;20497;0;500
Sophysa;Association professionnel de santé;20400;7400;
ISIS BOURGOGNE;Professionnel de santé;20321;;
ELIA MEDICAL PARIS OUEST;Professionnel de santé;20180;0;
MACO PRODUCTIONS;Professionnel de santé;20135;;
BIOGARAN;Etablissement de santé;20060;10820;
ADS LORRAINE;Académies, Fondation, sociétés savantes, organismes de conseils;20000;;
Carl Zeiss Meditec France;Association professionnel de santé;20000;22000;17500
CELGENE SAS;Presse et média;20000;455606;514706
SANDOZ;Académies, Fondation, sociétés savantes, organismes de conseils;20000;458948;585603
DUOTECH;Professionnel de santé;19790;;
OXYPHARM;Professionnel de santé;19779;500;
ELIVIE;Etudiant;19777;4444;
STRYKER FRANCE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;19621;0;
ADVANCED BIONICS SARL;Association professionnel de santé;19614;19914;
United Orthopedic Corporation (France);Professionnel de santé;19539;16165;
Laboratoires Bailleul;Association professionnel de santé;19387;;
OMNIS MEDICA;Professionnel de santé;19289;;
CONGRES COLLOQUES CONVENTIONS;Etudiant;19270;0;300
SOS OXYGENE REUNION St Leu;Professionnel de santé;19237;;
NORDIC PHARMA SAS;Etudiant;19142;0;
Ophta-France SA;Professionnel de santé;19094;;
SWING TECHNOLOGIES;Professionnel de santé;19082;0;
EXPERF NORD;Professionnel de santé;18901;0;
AOP Orphan Pharmaceuticals AG;Professionnel de santé;18891;12150;11993
MEDICAL BEL AIR;Professionnel de santé;18743;;
Coloplast Manufacturing France;Professionnel de santé;18742;0;
Boehringer Ingelheim Pharma GmbH & Co.KG;Professionnel de santé;18719;18250;44425
KEPHREN;Professionnel de santé;18709;99685;78060
BIOGARAN;Académies, Fondation, sociétés savantes, organismes de conseils;18600;11880;17400
Santor edition;Professionnel de santé;18482;45900;18056
Laboratoires des Réalisations Thérapeutiques ELERTE;Professionnel de santé;18372;2438;
CELONOVA BIOSCIENCES OF EUROPE B.V;Professionnel de santé;18329;;750
CORIN FRANCE;Association professionnel de santé;18301;18301;
BRACCO IMAGING FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;18300;35180;194926
FH ORTHOPEDICS;Etudiant;18237;0;
ADVICENNE;Académies, Fondation, sociétés savantes, organismes de conseils;18200;;
ALLERGAN FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;18000;0;4166
ASTRAZENECA;Association professionnel de santé;18000;12771783;3540312
SOS OXYGENE NORD JOLY MEDICAL;Association professionnel de santé;18000;;
JAZZ PHARMACEUTICALS FRANCE;Etudiant;17950;17909;
LABORATOIRES NIGY;Professionnel de santé;17916;;
Laboratoire CCD;Académies, Fondation, sociétés savantes, organismes de conseils;17820;;
Cepheid Europe SAS;Professionnel de santé;17740;0;51400
ADAPSIA;Professionnel de santé;17725;15739;
SOS OXYGENE ALSACE;Professionnel de santé;17641;1530;
GROUPE WELCOOP;Professionnel de santé;17528;;
Dompé Farmaceutici S.p.A;Etablissement de santé;17499;;
ZOLL Médical France;Etudiant;17402;;
Camurus AB;Professionnel de santé;17261;7989;
NEURELEC;Etudiant;17162;0;
CHIESI SAS;Etudiant;17155;23585;
Penumbra, Inc.;Professionnel de santé;17125;7600;4600
LIFE PARTNERS EUROPE;Professionnel de santé;17117;;
LABORATOIRES ALCON;Etudiant;17114;0;600
NOVATECH SA;Professionnel de santé;17036;0;12000
HEXACATH FRANCE;Association professionnel de santé;17000;;
AERIS SANTE;Professionnel de santé;16976;5309;
Sophysa;Académies, Fondation, sociétés savantes, organismes de conseils;16880;0;
ADDMEDICA;Académies, Fondation, sociétés savantes, organismes de conseils;16842;0;1584
BIOPROJET PHARMA;Professionnel de santé;16838;0;10000
PROTHEOS OUEST;Professionnel de santé;16674;0;69810
SAFE ORTHOPAEDICS;Professionnel de santé;16670;3418;
TELEFLEX MEDICAL SAS;Professionnel de santé;16607;1940;12600
VIRBAC NUTRITION;Vétérinaire;16571;0;
TERUMO EUROPE NV;Association professionnel de santé;16530;16000;255698
INNATE PHARMA;Professionnel de santé;16457;180071;17723
ARAIR Assistance S.A.;Association usager de santé;16451;0;
NEOVII PHARMACEUTICALS AG;Professionnel de santé;16450;16899;7382
LFB BIOMEDICAMENTS;Association professionnel de santé;16400;131891;428173
AX'PERF MEDICAL;Professionnel de santé;16389;17174;
NORDIC PHARMA SAS;Association professionnel de santé;16300;0;129078
Dompé Farmaceutici S.p.A;Académies, Fondation, sociétés savantes, organismes de conseils;16261;;
Cochlear France;Presse et média;16166;3700;
ABBOTT FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;16160;0;
PHYSIO-ASSIST;Professionnel de santé;16093;0;31170
Johnson et Johnson Santé Beauté France;Professionnel de santé;16081;0;
LABORATOIRES SUPER DIET;Professionnel de santé;16042;;
A.L.A.I.R.;Professionnel de santé;15972;7760;
EXACTECH FRANCE SAS;Professionnel de santé;15893;0;
LABORATOIRES CTRS;Association usager de santé;15890;;
LivaNova SAS;Académies, Fondation, sociétés savantes, organismes de conseils;15700;49000;
Alexion Pharma France;Professionnel de santé;15627;0;40977
Advanced Accelerator Applications;Association professionnel de santé;15520;162000;
ANTADIR;Etablissement de santé;15510;;
PROXILIO;Professionnel de santé;15456;0;
Laboratoires BESINS INTERNATIONAL;Professionnel de santé;15391;39985;
SYSMEX FRANCE;Professionnel de santé;15338;832;
XNOV Distribution;Professionnel de santé;15249;;3250
GE HEALTHCARE SAS;Etudiant;15240;0;
Biosensors Europe SA;Professionnel de santé;15204;38178;9350
SANOFI PASTEUR;Professionnel de santé;15134;0;20930
Integra LifeSciences Services (France);Etablissement de santé;15125;0;1052
Laboratoires ETHYPHARM;Association professionnel de santé;15040;;
BOEHRINGER INGELHEIM FRANCE;Etablissement de santé;15000;7280;2856117
DINNO SANTE;Etablissement de santé;15000;;
LES LABORATOIRES SERVIER;Personnes morales assurant la formation initiale ou continue des professionnels de santé;15000;0;327427
MYLAN SAS;Académies, Fondation, sociétés savantes, organismes de conseils;15000;6790;4488590
RESPIO2;Association professionnel de santé;15000;;
S.O.S. OXYGENE ATLANTIQUE;Association professionnel de santé;15000;;
LUNDBECK SAS;Etudiant;14936;13757;
AMICUS THERAPEUTICS SAS;Association usager de santé;14924;28000;
LILIAL;Professionnel de santé;14803;;
ADVICENNE;Professionnel de santé;14743;0;12593
NAOS FRANCE;Professionnel de santé;14622;;
SOS OXYGENE GRAND PERIGORD;Professionnel de santé;14616;;
MOVE-UP;Professionnel de santé;14614;16178;60794
EXPERF PACA;Professionnel de santé;14560;0;
WIDEX;Etudiant;14555;;
SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT;Association usager de santé;14545;0;212749
Lifescan;Professionnel de santé;14541;1724;500
Clovis Oncology;Académies, Fondation, sociétés savantes, organismes de conseils;14520;0;310529
Orphan Europe;Professionnel de santé;14507;0;20000
KEOCYT;Association professionnel de santé;14500;0;36680
SERF EXTREMITY;Professionnel de santé;14423;0;5200
MicroPort CRM France SAS;Etudiant;14355;;
SANOFI-AVENTIS RECHERCHE & DEVELOPPEMENT;Professionnel de santé;14348;0;106908
MEDITOR;Association professionnel de santé;14300;;
GLAXOSMITHKLINE SANTE GRAND PUBLIC;Professionnel de santé;14159;20230;1700
Dräger France SAS;Etablissement de santé;14000;14000;
ADIR ASSISTANCE;Professionnel de santé;13994;35305;
SA CERP BRETAGNE ATLANTIQUE;Professionnel de santé;13979;;
MYLAN SAS;Etudiant;13956;;
MEDICONSEIL;Professionnel de santé;13931;0;
SOS OXYGENE SUD LOIRE;Professionnel de santé;13897;0;
EVER Pharma France;Professionnel de santé;13862;3096;
ROCHE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;13860;57380;570856
LVL MEDICAL OUEST;Etudiant;13845;12784;
LABORATOIRES URGO;Association professionnel de santé;13760;;
LFB BIOMEDICAMENTS;Association usager de santé;13750;12500;
NIDEK SA;Professionnel de santé;13719;12430;89032
ASTELLAS PHARMA Inc;Professionnel de santé;13650;;2500
RIVORTHO;Professionnel de santé;13561;0;
MUNDIPHARMA;Association professionnel de santé;13500;0;55853
RICHARD WOLF FRANCE;Professionnel de santé;13494;1242;14200
Weleda S.A.;Etudiant;13487;0;
Integra LifeSciences Services (France);Association professionnel de santé;13446;0;
Qiagen France SAS;Professionnel de santé;13428;6531;2800
Carl Zeiss Meditec France;Etudiant;13413;0;
Incyte International;Professionnel de santé;13411;0;30100
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Association professionnel de santé;13315;25760;
OBJECTIF PHARMA;Professionnel de santé;13238;0;
A.I.R.;Professionnel de santé;13161;;
LDSANTE;Professionnel de santé;13114;2646;
INSTITUT MERIEUX;Académies, Fondation, sociétés savantes, organismes de conseils;13097;15000;28800
Ultradent Products GmbH;Académies, Fondation, sociétés savantes, organismes de conseils;13073;13073;
Ophtalmic Compagnie;Académies, Fondation, sociétés savantes, organismes de conseils;13069;3080;201714
BIOCYTEX;Etablissement de santé;13038;;
GC Orthodonics Europe GmbH;Professionnel de santé;13011;;
Bayer HealthCare SAS;Association usager de santé;13000;47680;41580
EVER Pharma France;Association professionnel de santé;13000;0;
LVL MEDICAL SUD;Etudiant;12848;6200;
COOPERATIVE VETERINAIRE DE L'OUEST;Vétérinaire;12820;0;23023
CARDINAL HEALTH FRANCE 506 SAS;Etudiant;12741;10687;
MICROPORT ORTHOPEDICS;Professionnel de santé;12603;;
PFIZER SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;12550;0;14974000
AKCEA THERAPEUTICS FRANCE;Association professionnel de santé;12500;0;
LEO Pharma;Etablissement de santé;12250;31470;210173
RECORDATI RARE DISEASES;Association professionnel de santé;12250;4700;1700
PFIZER PFE FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;12190;0;277967
SOS OXYGENE VAR;Professionnel de santé;12164;0;
THOMMEN MEDICAL;Professionnel de santé;12146;;
ROCHE SAS;Association usager de santé;12103;396;1200
STALLERGENES;Etudiant;12078;0;
WIDEX;Professionnel de santé;12059;;
AbbVie;Personnes morales assurant la formation initiale ou continue des professionnels de santé;12000;107715;136929
Baxter SAS;Association usager de santé;12000;0;600
CHUGAI PHARMA FRANCE;Académies, Fondation, sociétés savantes, organismes de conseils;12000;;
GRIFOLS France;Association usager de santé;12000;0;3500
Ceva Santé Animale;Etablissement de santé;11984;714309;102161
GEDEON RICHTER France - Division Santé de la Femme;Académies, Fondation, sociétés savantes, organismes de conseils;11912;0;2157918
MEDAC SAS;Etudiant;11660;;
MEDACTA FRANCE;Etudiant;11657;12613;
KYOWA KIRIN SERVICES LTD;Professionnel de santé;11508;28569;17423
PHARMA MAR S.A.R.L.;Etudiant;11495;;
Abiomed GmbH;Professionnel de santé;11461;0;31000
ISIS PAYS DE LA LOIRE;Professionnel de santé;11456;;
BOIRON;Personnes morales assurant la formation initiale ou continue des professionnels de santé;11453;0;3596088
XNOV;Professionnel de santé;11401;0;74300
SHAMIR FRANCE SARL;Etablissement de santé;11394;;
ADIR ASSISTANCE;Etudiant;11368;;
DINNO SANTE;Association professionnel de santé;11350;0;
EQUATOUR;Professionnel de santé;11322;0;
SOS OXYGENE PAYS DE LOIRE;Professionnel de santé;11202;0;
Arthrex SAS;Association professionnel de santé;11200;0;
SPINEART FRANCE;Professionnel de santé;11092;;
Laboratoires THEA;Professionnel de santé;11076;0;56000
Baxter SAS;Etudiant;11063;0;
SWEDISH ORPHAN BIOVITRUM;Etudiant;11052;1072;383
Takeda Europe & Canada Business Unit;Professionnel de santé;11036;0;24822
RECORDATI RARE DISEASES;Professionnel de santé;10998;18000;3000
Weleda S.A.;Association d'étudiants;10941;0;
ANTHOGYR;Professionnel de santé;10907;66815;
PREGLEM;Professionnel de santé;10853;0;
P&G HEALTH FRANCE;Presse et média;10820;0;6040
Johnson & Johnson Medical SAS;Association professionnel de santé;10800;76210;90700
MERIAL;Association professionnel de santé;10785;0;332658
MD ORTHO;Professionnel de santé;10733;;
LABORATOIRES BOUCHARA - RECORDATI;Etudiant;10712;0;
Ultradent Products GmbH;Association professionnel de santé;10705;10375;
KOMET FRANCE;Etudiant;10704;;
S2A SANTE ILE DE FRANCE;Professionnel de santé;10700;0;
DORC France;Professionnel de santé;10636;0;
SOS OXYGENE PROVENCE;Professionnel de santé;10630;0;
LABORATOIRE GLAXOSMITHKLINE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;10620;15200;192810
Société des gaz industriels de la Guadeloupe;Professionnel de santé;10609;2740;
ISIS PARIS NORMANDIE;Professionnel de santé;10493;108008;
AMICUS THERAPEUTICS INC.;Professionnel de santé;10491;0;2384
COUSIN BIOSERV;Professionnel de santé;10480;15172;10000
LivaNova SAS;Etudiant;10478;27390;
LVL MEDICAL PARIS ET NORD;Etudiant;10477;8253;
EXPERF COTE D'AZUR;Professionnel de santé;10364;0;
OBL;Professionnel de santé;10343;10433;48400
Straumann France;Professionnel de santé;10333;;
Takeda Emerging Market Business Unit;Professionnel de santé;10257;0;20000
FUJIFILM Medical Systems France;Professionnel de santé;10138;2000;1000
Ortho-Clinical Diagnostics France;Professionnel de santé;10126;335;
Provepharm Life Solutions;Académies, Fondation, sociétés savantes, organismes de conseils;10115;36000;45000
GEDEON RICHTER France - Division Santé de la Femme;Etudiant;10023;0;
TORNIER;Etudiant;10005;6620;
ALK-Abelló;Académies, Fondation, sociétés savantes, organismes de conseils;10000;0;237966
ALLERGAN FRANCE;Etablissement de santé;10000;0;
AX'PERF MEDICAL;Académies, Fondation, sociétés savantes, organismes de conseils;10000;12400;
BIO-RAD Laboratories Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;10000;295100;
bioMérieux;Etablissement de santé;10000;529270;1330960
BOSTON SCIENTIFIC SAS;Association usager de santé;10000;;
CHIESI SAS;Association usager de santé;10000;;4000
CHUGAI PHARMA FRANCE;Personnes morales assurant la formation initiale ou continue des professionnels de santé;10000;;
GRIFOLS France;Etablissement de santé;10000;1500;43078
Intercept Pharma France SAS;Association usager de santé;10000;20000;
Laboratoires Grünenthal SAS;Association usager de santé;10000;;
LEO Pharma A/S;Association usager de santé;10000;10000;
LVL MEDICAL GROUPE;Association usager de santé;10000;10000;
MUNDIPHARMA;Académies, Fondation, sociétés savantes, organismes de conseils;10000;0;3622452
SANOFI PASTEUR;Association professionnel de santé;10000;0;67039
S.O.S. OXYGENE GRAND OUEST;Professionnel de santé;9999;0;
HD MEDICAL;Association professionnel de santé;9900;;
NORGINE SAS;Etudiant;9891;0;
BIOMATLANTE SA;Professionnel de santé;9852;0;
COUSIN ENDOSURG;Professionnel de santé;9842;3313;
PROFIL ORTHOPEDIE;Professionnel de santé;9809;0;
ORMCO FRANCE SAS;Association professionnel de santé;9793;4970;
AMICUS THERAPEUTICS UK LTD;Professionnel de santé;9772;0;2043
EXPERF CENTRE TOURS;Professionnel de santé;9687;0;
LABORATOIRE X.O;Presse et média;9660;;
Glaukos France SASU;Professionnel de santé;9650;;13500
NIDEK SA;Etudiant;9596;11020;
SOTHYS PARIS;Association usager de santé;9591;;
NORAKER;Professionnel de santé;9589;725;12624
SIVANTOS;Etudiant;9572;;
Medline International France SAS;Professionnel de santé;9569;;
ESTOR S.p.A.;Professionnel de santé;9480;0;1400
P&G HEALTH FRANCE;Professionnel de santé;9461;0;780
optique sebastopol;Professionnel de santé;9408;;
PHARMEVIDENCE;Professionnel de santé;9386;;
MED-EL Elektromedizinische Geraete Gesellschaft m.b.H;Association usager de santé;9300;0;
ASTELLAS PHARMA GLOBAL DEVELOPMENT;Professionnel de santé;9277;;
Genzyme;Académies, Fondation, sociétés savantes, organismes de conseils;9276;0;26327
VYGON;Etudiant;9217;2419;
HORIBA ABX SAS;Professionnel de santé;9214;0;
ViiV HEALTHCARE SAS;Etudiant;9189;7060;
AXDOM VAR;Professionnel de santé;9146;;
EXPERF PYRENEES ORIENTALES;Professionnel de santé;9122;0;
OLYMPUS CORPORATION;Professionnel de santé;9030;12497;8949
Integra LifeSciences Services (France);Académies, Fondation, sociétés savantes, organismes de conseils;9019;0;2250
LFB BIOMEDICAMENTS;Etablissement de santé;9011;6778;179423
ALLP MEDITEC;Professionnel de santé;8996;8867;
laboratoire BAUSCH&LOMB;Presse et média;8912;7000;
B.BRAUN MEDICAL SAS;Association professionnel de santé;8875;0;258233
CERC;Professionnel de santé;8870;;
EDWARDS LIFESCIENCES SUISSE;Association professionnel de santé;8860;0;
MED'OUEST SPINE;Professionnel de santé;8830;0;
Laboratoire Innothera;Etudiant;8828;;
BIOTRONIK SE & Co. KG;Professionnel de santé;8827;0;1500
Actelion Pharmaceuticals France;Académies, Fondation, sociétés savantes, organismes de conseils;8808;1788;
Regeneron Pharmaceuticals, Inc.;Académies, Fondation, sociétés savantes, organismes de conseils;8795;0;
CROMA FRANCE SASU;Professionnel de santé;8765;;
BIOPROTEC;Etudiant;8684;0;
SERENITY MEDICAL SERVICES SARL;Professionnel de santé;8679;0;318484
TAKEDA DC LONDON;Professionnel de santé;8647;0;196647
TERUMO FRANCE SAS;Etablissement de santé;8640;;
Alcimed SAS;Etablissement de santé;8550;;
SOMNOCARE;Professionnel de santé;8522;0;8000
In2Bones;Professionnel de santé;8495;12491;11240
Laboratoires ETHYPHARM;Personnes morales assurant la formation initiale ou continue des professionnels de santé;8480;0;
ADAIR;Professionnel de santé;8404;0;
Clovis Oncology;Professionnel de santé;8355;3325;82357
LeMaitre Vascular SAS;Professionnel de santé;8331;;
LIMACORPORATE;Professionnel de santé;8317;14594;
HELP ORTHO PRODUCTION;Professionnel de santé;8304;;
CORIN FRANCE;Etudiant;8297;6638;
Asept InMed;Professionnel de santé;8284;;
ORTHOPAEDIC & SPINE DEVELOPMENT (OSD);Professionnel de santé;8256;0;
KARL STORZ ENDOSCOPIE FRANCE SAS;Professionnel de santé;8175;2825;
Boehringer Ingelheim Hong Kong Ltd;Professionnel de santé;8142;;
MARQUE VERTE WELCOOP SANTE;Professionnel de santé;8103;;
LivaNova France SAS;Etudiant;8087;;
LABORATOIRE GLAXOSMITHKLINE;Association usager de santé;8060;74300;306300
Cook France SARL;Etudiant;8057;;
PHYSIDIA;Professionnel de santé;8017;4294;
ASTELLAS PHARMA;Etablissement de santé;8000;17746;24876
Laboratoires THEA;Association professionnel de santé;8000;7800;10160
THERAKOS UK Ltd;Association professionnel de santé;8000;;
SANTEN;Etudiant;7988;5921;
AbbVie Biopharmaceuticals GmbH;Professionnel de santé;7987;;
SANTE PLUS;Professionnel de santé;7985;8515;
LONGUEUR D'ONDES;Professionnel de santé;7966;14500;
ZYDUS FRANCE;Professionnel de santé;7935;;
ACCORD HEALTHCARE FRANCE SAS;Professionnel de santé;7933;12427;
CSL BEHRING SA;Etudiant;7923;0;
SOS OXYGENE GARONNE;Professionnel de santé;7865;0;
UCB Pharma SA;Association usager de santé;7843;14340;7393
Incyte Corporation;Professionnel de santé;7824;0;3920
AIXPER'F;Association professionnel de santé;7800;;
CDM eHealth;Professionnel de santé;7780;;
Bristol-Myers Squibb K.K;Professionnel de santé;7748;26375;21350
SEFAM;Professionnel de santé;7730;;22000
PHARMACTIV DISTRIBUTION;Professionnel de santé;7695;;
EXPERF LANGUEDOC ROUSSILLON;Professionnel de santé;7663;0;
Pharmacyclics LLC;Professionnel de santé;7655;;1660
Labvoratoire CHAUVIN;Etudiant;7640;564;
MedDay Pharmaceuticals;Professionnel de santé;7591;0;77169
PHARMEVIDENCE;Association professionnel de santé;7506;;
BIOTRONIK FRANCE SAS;Académies, Fondation, sociétés savantes, organismes de conseils;7500;0;434191
ACOUSTIQUE WERNERT;Professionnel de santé;7475;;
GC FRANCE SAS;Professionnel de santé;7455;;
ORTHOPLUS;Professionnel de santé;7432;0;47720
Orion Corporation Orion Pharma;Etudiant;7412;0;
PAUL HARTMANN SA;Etudiant;7397;0;
Laboratoires des Réalisations Thérapeutiques ELERTE;Association professionnel de santé;7351;7353;
Medtech;Professionnel de santé;7351;0;
MEDITOR;Etudiant;7337;0;
EQINOX HEALTHCARE FRANCE;Professionnel de santé;7312;;
SATELEC SAS;Professionnel de santé;7308;109950;
ISIS MÉDICAL VAR;Professionnel de santé;7307;;
DAIICHI SANKYO ONCOLOGY FRANCE;Association professionnel de santé;7300;19800;15000
ALLIANCE PHARMA FRANCE;Professionnel de santé;7264;0;7113
Laboratoire PEDIACT;Professionnel de santé;7176;;
EDWARDS LIFESCIENCES;Personnes morales assurant la formation initiale ou continue des professionnels de santé;7157;0;
Vertex Pharmaceuticals Incorporated;Professionnel de santé;7157;0;124288
FCI SAS;Etudiant;7150;0;
AVAD SAS;Professionnel de santé;7145;5266;
ADS ALSACE;Professionnel de santé;7124;7198;
GMP-ORPHAN;Association professionnel de santé;7080;;
Centravet;Vétérinaire;7067;;
AXIENCE;Vétérinaire;7062;0;1168
ADVICENNE;Association professionnel de santé;7050;;
ISIS PARIS SUD;Professionnel de santé;7044;;
ATLAS MEDICAL;Professionnel de santé;7020;0;
AFFINITES SANTE;Professionnel de santé;7008;27550;31100
OTTO BOCK FRANCE SNC;Professionnel de santé;7004;;
AUDITION SANTE;Association professionnel de santé;7000;;
DIXI Medical;Association professionnel de santé;7000;;
EVER Pharma France;Association usager de santé;7000;;
LVL MEDICAL GROUPE;Professionnel de santé;7000;0;
AZANTA FRANCE;Professionnel de santé;6997;7205;1440
Terumo BCT Europe SA;Professionnel de santé;6996;500;
Topcon SARL;Professionnel de santé;6961;0;
LABORATOIRE GLAXOSMITHKLINE;Académies, Fondation, sociétés savantes, organismes de conseils;6960;1208671;13394141
SEPTODONT SAS;Association professionnel de santé;6927;12000;
COLLIN;Professionnel de santé;6916;11835;
ADDMEDICA;Etudiant;6880;0;1200
AKCEA THERAPEUTICS FRANCE;Professionnel de santé;6858;5044;4500
Adaptive Biotechnologies Inc;Professionnel de santé;6846;0;6012
RNP SANTE;Professionnel de santé;6846;9200;8391
HALIODX;Professionnel de santé;6813;1500;10000
Orthofix S.r.l.;Professionnel de santé;6808;0;31250
SOS OXYGENE CENTRE OUEST;Professionnel de santé;6787;0;
EXPERF VAUCLUSE DROME;Professionnel de santé;6772;0;
MICRO-MEGA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;6750;;
Aegerion Pharmaceuticals;Association usager de santé;6689;0;
FRESENIUS VIAL;Professionnel de santé;6646;0;13655
GUILDE DES LUNETIERS;Professionnel de santé;6633;8300;8900
ULTRAGENYX PHARMACEUTICAL INC.;Professionnel de santé;6576;0;25173
LABORATOIRES LEHNING SAS;Professionnel de santé;6538;0;
BRAHMS GmbH;Professionnel de santé;6535;6300;4800
EUROTEKNIKA;Professionnel de santé;6501;;
BIOGARAN;Association usager de santé;6500;14300;6000
CSL BEHRING SA;Personnes morales assurant la formation initiale ou continue des professionnels de santé;6500;0;1246934
PRECIPHAR;Etudiant;6490;5250;
American Orthodontics;Etudiant;6483;;
colgate palmolive;Professionnel de santé;6467;2600;
LABORATOIRE X.O;Association usager de santé;6460;;
SMITHS MEDICAL FRANCE;Professionnel de santé;6432;1000;2000
FISHER & PAYKEL HEALTHCARE SAS;Personnes morales assurant la formation initiale ou continue des professionnels de santé;6402;0;
DIAGNOSTICA STAGO;Association professionnel de santé;6400;110486;
PHARMA DOM;Etudiant;6354;0;
K. PARTICULIER;Professionnel de santé;6344;29150;
SOS OXYGENE;Etudiant;6310;0;
Takeda Pharmaceuticals International Co.;Professionnel de santé;6310;0;91357
AMOMED PHARMA;Professionnel de santé;6288;13508;6048
Nobel Biocare Services AG;Professionnel de santé;6267;12000;46500
Codexial Dermatologie;Association professionnel de santé;6253;;
Cidara Therapeutics, Inc.;Professionnel de santé;6244;;
LABORATOIRES CLARINS;Professionnel de santé;6182;;
ANTADIR;Professionnel de santé;6174;;
KISCO International;Professionnel de santé;6131;;
Celgene Corporation;Professionnel de santé;6102;46110;73546
JW MEDICAL SYSTEMS LIMITED;Professionnel de santé;6096;6167;
Médi-Fav;Professionnel de santé;6089;5915;23250
LEO Pharma A/S;Professionnel de santé;6047;16220;95018
Alizé Santé;Professionnel de santé;6020;82363;
CIZETA MEDICALI France;Etablissement de santé;6010;;
MENICON SAS;Association professionnel de santé;6000;28700;
LABORATOIRES ANIOS;Professionnel de santé;5996;54896;
SORIN GROUP Italia S.r.l.;Professionnel de santé;5982;56760;44250
MEDIOUTREMER;Professionnel de santé;5965;5966;
CARDINAL HEALTH FRANCE 506 SAS;Etablissement de santé;5946;5946;
Optiswiss France Sàrl;Professionnel de santé;5942;;
MONATH ELECTRONIC SARL;Professionnel de santé;5941;250;
GE Medical Systems SCS;Etudiant;5930;1000;
Bastide Le Confort Médical;Etudiant;5918;;
GIE AUDILAB RESSOURCES;Professionnel de santé;5888;239246;
IXAIR;Etudiant;5877;;
MEDICAL AXÈS;Professionnel de santé;5850;4400;17490
LABORATOIRE NUXE;Professionnel de santé;5833;;
BOIRON;Vétérinaire;5824;0;4480
THEA PHARMA;Etudiant;5812;0;
OBL;Association professionnel de santé;5776;4900;
EXPERF RHONE ALPES;Professionnel de santé;5775;0;
S.O.S. OXYGENE GARONNE;Association usager de santé;5750;;
Philips Santé@Domicile;Professionnel de santé;5739;14413;16413
LABORATOIRES COLOPLAST;Etudiant;5734;2634;
C@RDISTIM;Professionnel de santé;5722;;
PROCEPT BioRobotics Corporation;Professionnel de santé;5713;0;300
SPECTRANETICS FRANCE SARL;Professionnel de santé;5708;9000;6750
PAUL HARTMANN SA;Association professionnel de santé;5700;700;1000
RANBAXY PHARMACIE GENERIQUES;Professionnel de santé;5656;27500;8500
Laboratoires Grünenthal SAS;Etudiant;5646;0;8400
