smiles,Caco2,Lipophilicity,Solubility,PPBR,VDss,CYP1A2-Inhibitor,CYP2C19-Inhibitor,CYP2C9-Inhibitor,CYP2C9-Substrate,CYP2D6-Inhibitor,CYP2D6-Substrate,CL-Hepa,CL-Micro,Half-Life,hERG,LD50
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)C(N)=O,-5.041,2.426,-4.282,92.330,19.194,0.578,0.105,0.281,0.435,0.094,0.037,9.196,35.072,12.384,0.929,2.719
COc1ccc(cc1)C2=NCC(=O)Nc3ccc(cc23)[N+](=O)[O-],-5.181,1.678,-4.082,97.659,-4.143,0.290,0.295,0.203,0.445,0.028,0.197,5.080,42.788,22.496,1.000,2.359
COc1ccc(cc1)C2=NCC(=O)N(C)c3ccc(cc23)[N+](=O)[O-],-5.151,2.237,-3.611,95.698,-3.483,0.714,0.226,0.139,0.748,0.048,0.382,10.611,41.443,24.840,0.694,2.714
CCCCN1C(=O)CN=C(c2ccc(cc2)OC)c3cc(ccc13)[N+](=O)[O-],-5.223,2.949,-4.678,102.738,-2.248,0.988,0.480,0.886,0.623,0.027,0.246,19.009,63.889,17.373,0.948,2.428
COc1ccc(cc1)C2=NCC(=O)N(CCC(C)C)c3ccc(cc23)[N+](=O)[O-],-5.034,2.959,-4.649,103.454,-4.022,0.736,0.521,0.870,0.628,0.003,0.243,22.750,56.290,17.646,0.994,2.377
COc1ccc(cc1)C2=NCC(=O)N(CC3CCCCC3)c4ccc(cc24)[N+](=O)[O-],-5.220,3.096,-5.186,98.136,5.446,0.802,0.457,0.631,0.498,0.453,0.203,25.517,45.347,15.836,0.998,2.399
CC1N=C(c2ccccc2NC1=O)C3CCCCC3,-4.187,2.484,-3.316,90.601,1.912,0.562,0.879,0.000,0.577,0.775,0.196,27.627,12.756,17.558,0.949,1.791
CC1N=C(c2ccccc2N(C)C1=O)C3CCCCC3,-4.442,2.764,-2.398,88.383,3.267,0.984,0.971,0.003,0.846,0.954,0.338,30.945,14.546,15.822,0.991,2.017
CCCCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,-4.399,2.985,-3.623,103.582,7.624,0.998,0.977,0.451,0.742,0.745,0.218,73.068,33.829,22.829,0.995,1.836
CC(C)CCN1C(=O)C(C)N=C(c2ccccc12)C3CCCCC3,-4.277,3.244,-3.734,102.343,6.633,0.879,0.983,0.438,0.741,0.162,0.215,85.206,34.257,21.151,1.000,1.728
CC1N=C(c2ccccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.331,3.042,-4.161,102.474,6.309,0.948,0.867,0.147,0.598,0.989,0.174,51.469,40.941,11.804,1.000,1.577
CC1N=C(c2cc(Cl)ccc2NC1=O)C3CCCCC3,-4.447,2.652,-3.684,94.713,8.715,0.986,0.953,0.001,0.612,0.913,0.209,22.848,18.188,51.542,0.977,2.046
CC1N=C(c2cc(Cl)ccc2N(C)C1=O)C3CCCCC3,-4.678,2.814,-2.832,94.447,12.626,0.999,0.983,0.008,0.852,0.976,0.343,24.456,22.790,29.881,0.997,2.037
CCCCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,-4.590,2.929,-3.991,104.921,16.393,1.000,0.983,0.628,0.759,0.802,0.229,66.975,32.664,56.929,0.998,2.011
CC(C)CCN1C(=O)C(C)N=C(c2cc(Cl)ccc12)C3CCCCC3,-4.549,3.127,-4.030,104.228,13.142,0.996,0.988,0.610,0.758,0.228,0.225,75.164,30.273,44.181,1.000,1.886
CC1N=C(c2cc(Cl)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.498,3.103,-4.475,105.768,10.059,0.996,0.902,0.272,0.623,0.992,0.184,42.985,39.760,25.194,1.000,1.751
CC1N=C(c2cc(C#N)ccc2NC1=O)C3CCCCC3,-4.225,2.607,-3.181,87.345,3.213,0.537,0.733,0.001,0.493,0.001,0.276,21.037,18.458,19.595,0.978,1.955
CC1N=C(c2cc(C#N)ccc2N(C)C1=O)C3CCCCC3,-4.537,2.679,-2.570,83.850,2.446,0.965,0.794,0.007,0.795,0.024,0.413,17.636,19.184,22.131,0.998,2.178
CCCCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,-4.431,2.966,-3.533,98.791,5.626,0.994,0.876,0.546,0.674,0.008,0.287,45.458,31.015,26.393,0.998,1.977
CC(C)CCN1C(=O)C(C)N=C(c2cc(C#N)ccc12)C3CCCCC3,-4.310,3.223,-3.600,98.098,4.556,0.790,0.871,0.531,0.676,0.001,0.281,60.763,28.051,27.136,1.000,1.868
CC1N=C(c2cc(C#N)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.378,3.192,-4.004,98.084,5.490,0.891,0.728,0.227,0.536,0.306,0.230,33.383,35.034,13.748,1.000,1.804
CC1N=C(c2cc(ccc2NC1=O)N(C)C)C3CCCCC3,-4.779,2.458,-2.952,95.787,3.240,0.999,0.906,0.001,0.639,0.972,0.430,34.825,23.084,18.793,0.917,2.272
CC1N=C(c2cc(ccc2N(C)C1=O)N(C)C)C3CCCCC3,-5.035,2.864,-2.310,92.224,-0.647,1.000,0.961,0.005,0.855,0.995,0.577,32.086,22.746,22.403,0.992,2.214
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,-4.741,3.030,-3.477,104.320,3.885,1.000,0.964,0.425,0.769,0.968,0.413,62.616,38.819,16.110,0.995,2.150
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)N(C)C)C3CCCCC3,-4.603,3.170,-3.465,102.774,2.141,1.000,0.968,0.415,0.767,0.713,0.401,74.262,40.167,18.416,0.999,1.975
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)N(C)C)C4CCCCC4,-4.692,3.232,-4.010,105.196,6.632,1.000,0.843,0.161,0.645,0.998,0.332,45.218,47.996,11.269,1.000,1.892
CC1N=C(c2cc(F)ccc2NC1=O)C3CCCCC3,-4.473,2.538,-3.614,87.835,7.820,0.901,0.933,0.001,0.637,0.692,0.185,29.869,25.113,17.849,0.971,2.159
CC1N=C(c2cc(F)ccc2N(C)C1=O)C3CCCCC3,-4.670,2.763,-2.717,83.519,8.761,0.996,0.978,0.004,0.860,0.939,0.316,29.568,31.295,19.810,0.996,2.148
CCCCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,-4.664,2.899,-3.918,98.943,13.184,0.999,0.976,0.459,0.775,0.682,0.208,69.088,40.362,29.267,0.998,2.118
CC(C)CCN1C(=O)C(C)N=C(c2cc(F)ccc12)C3CCCCC3,-4.565,3.153,-3.996,97.705,11.675,0.961,0.984,0.447,0.773,0.139,0.206,76.556,39.274,28.718,1.000,1.948
CC1N=C(c2cc(F)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.602,3.075,-4.448,99.667,9.445,0.979,0.872,0.169,0.642,0.986,0.168,42.125,43.936,13.518,1.000,1.836
CC1N=C(c2cc(Br)ccc2NC1=O)C3CCCCC3,-4.336,2.779,-3.797,98.723,7.002,0.988,0.972,0.002,0.287,0.934,0.158,33.395,20.969,18.144,0.985,2.016
CC1N=C(c2cc(Br)ccc2N(C)C1=O)C3CCCCC3,-4.601,2.886,-2.940,97.400,7.778,0.999,0.989,0.019,0.660,0.987,0.279,38.386,23.250,27.044,0.999,2.073
CCCCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,-4.542,2.986,-4.050,106.658,10.794,1.000,0.989,0.775,0.511,0.892,0.184,64.817,30.216,24.889,0.999,2.004
CC(C)CCN1C(=O)C(C)N=C(c2cc(Br)ccc12)C3CCCCC3,-4.459,3.076,-4.065,106.431,9.810,0.994,0.992,0.756,0.521,0.369,0.182,74.512,31.330,28.257,1.000,1.880
CC1N=C(c2cc(Br)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.470,3.141,-4.536,107.473,8.109,0.996,0.933,0.412,0.381,0.996,0.150,48.506,38.144,14.041,1.000,1.750
CC1N=C(c2cc(I)ccc2NC1=O)C3CCCCC3,-4.514,2.610,-4.221,98.295,9.102,1.000,0.916,0.001,0.548,0.993,0.189,32.233,20.991,160.156,1.000,2.024
CC1N=C(c2cc(I)ccc2N(C)C1=O)C3CCCCC3,-4.802,2.785,-3.297,97.596,10.815,1.000,0.972,0.005,0.830,0.999,0.319,29.975,25.011,99.775,1.000,2.033
CCCCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,-4.701,2.883,-4.459,105.915,14.318,1.000,0.972,0.534,0.718,0.991,0.212,53.311,35.562,140.399,1.000,2.025
CC(C)CCN1C(=O)C(C)N=C(c2cc(I)ccc12)C3CCCCC3,-4.681,3.077,-4.482,104.818,12.562,1.000,0.980,0.519,0.718,0.875,0.209,63.843,36.223,120.070,1.000,1.893
CC1N=C(c2cc(I)ccc2N(CC3CCCCC3)C1=O)C4CCCCC4,-4.602,3.064,-4.858,106.804,10.266,1.000,0.853,0.207,0.578,1.000,0.171,33.166,40.857,72.986,1.000,1.766
CC1N=C(c2cc(ccc2NC1=O)C(N)=O)C3CCCCC3,-4.469,1.807,-3.146,74.818,5.710,0.028,0.331,0.002,0.262,0.226,0.025,13.103,7.113,9.634,1.000,2.248
CC1N=C(c2cc(ccc2N(C)C1=O)C(N)=O)C3CCCCC3,-4.646,2.155,-2.696,74.526,4.155,0.565,0.459,0.003,0.590,0.693,0.059,13.095,11.730,15.603,0.992,2.423
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,-4.570,2.309,-3.531,90.283,5.912,0.910,0.617,0.279,0.463,0.340,0.045,24.389,21.504,12.506,0.995,2.262
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)C(N)=O)C3CCCCC3,-4.442,2.427,-3.565,90.503,5.690,0.222,0.620,0.276,0.474,0.047,0.047,32.010,22.183,16.790,0.999,2.123
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)C(N)=O)C4CCCCC4,-4.479,2.451,-3.972,90.826,6.566,0.422,0.540,0.100,0.349,0.943,0.042,16.485,18.842,8.216,1.000,2.006
CC1N=C(c2cc(ccc2NC1=O)[N+](=O)[O-])C3CCCCC3,-4.580,2.549,-4.036,87.965,-5.531,0.298,0.794,0.005,0.331,0.346,0.258,40.654,31.457,15.666,1.000,2.157
CC1N=C(c2cc(ccc2N(C)C1=O)[N+](=O)[O-])C3CCCCC3,-4.856,2.839,-3.526,86.986,-1.031,0.924,0.911,0.021,0.667,0.894,0.437,36.724,30.166,21.303,1.000,2.228
CCCCN1C(=O)C(C)N=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,-4.675,3.127,-4.397,97.842,5.834,0.987,0.937,0.712,0.535,0.629,0.300,55.342,37.086,12.928,1.000,2.012
CC(C)CCN1C(=O)C(C)N=C(c2cc(ccc12)[N+](=O)[O-])C3CCCCC3,-4.591,3.228,-4.312,97.734,2.768,0.681,0.946,0.694,0.543,0.135,0.293,69.286,29.470,20.016,1.000,1.952
CC1N=C(c2cc(ccc2N(CC3CCCCC3)C1=O)[N+](=O)[O-])C4CCCCC4,-4.619,3.198,-4.804,97.149,4.748,0.819,0.763,0.369,0.410,0.979,0.242,49.495,27.298,9.095,1.000,1.863
CC1N=C(c2ccccc2)c3ccccc3NC1=O,-4.542,2.128,-3.389,85.859,0.180,0.073,0.642,0.006,0.614,0.061,0.021,21.860,14.469,12.888,0.290,1.726
CC1N=C(c2ccccc2)c3ccccc3N(C)C1=O,-4.476,2.430,-2.917,81.942,0.514,0.686,0.905,0.037,0.834,0.147,0.054,41.376,6.364,12.742,0.773,2.276
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3ccccc13,-4.681,2.981,-3.901,93.696,3.726,0.991,0.931,0.891,0.764,0.049,0.039,75.086,23.008,15.543,0.938,2.114
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3ccccc13,-4.600,2.944,-3.966,93.705,1.810,0.646,0.938,0.859,0.765,0.004,0.041,87.045,29.998,14.957,0.995,1.930
CC1N=C(c2ccccc2)c3ccccc3N(CC4CCCCC4)C1=O,-4.620,3.069,-4.621,95.426,5.187,0.796,0.706,0.462,0.624,0.682,0.037,60.217,37.706,12.449,0.998,1.742
CC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,-4.767,2.570,-4.063,89.527,2.124,0.493,0.833,0.044,0.647,0.297,0.029,14.728,19.041,28.975,0.534,1.899
CC1N=C(c2ccccc2)c3cc(Cl)ccc3N(C)C1=O,-4.693,2.700,-3.473,87.322,3.472,0.977,0.950,0.127,0.839,0.558,0.070,27.574,10.771,18.882,0.915,2.200
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(Cl)ccc13,-4.911,3.078,-4.450,93.452,7.140,0.999,0.949,0.946,0.778,0.149,0.050,55.535,27.261,40.896,0.973,2.136
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(Cl)ccc13,-4.922,3.081,-4.397,93.170,2.968,0.961,0.966,0.940,0.779,0.014,0.053,61.416,26.880,26.943,0.998,1.953
CC1N=C(c2ccccc2)c3cc(Cl)ccc3N(CC4CCCCC4)C1=O,-4.860,3.079,-4.967,97.027,5.454,0.962,0.771,0.741,0.650,0.858,0.047,37.455,41.660,20.751,0.999,1.838
CC1N=C(c2ccccc2)c3cc(C#N)ccc3NC1=O,-4.399,2.155,-3.359,87.158,-0.658,0.008,0.275,0.045,0.528,0.000,0.040,17.531,12.026,18.971,0.585,1.826
CC1N=C(c2ccccc2)c3cc(C#N)ccc3N(C)C1=O,-4.464,2.358,-3.167,82.889,0.020,0.146,0.426,0.180,0.796,0.001,0.086,16.149,9.387,19.548,0.937,2.219
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(C#N)ccc13,-4.621,2.861,-3.917,95.302,2.470,0.847,0.601,0.949,0.701,0.000,0.063,35.507,18.970,23.455,0.974,1.979
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(C#N)ccc13,-4.521,2.855,-3.942,95.581,0.913,0.123,0.603,0.941,0.702,0.000,0.065,51.675,25.915,20.731,0.998,1.869
CC1N=C(c2ccccc2)c3cc(C#N)ccc3N(CC4CCCCC4)C1=O,-4.603,3.090,-4.422,94.182,5.511,0.234,0.496,0.768,0.562,0.013,0.057,26.543,28.986,20.095,0.999,1.798
CC1N=C(c2ccccc2)c3cc(ccc3NC1=O)N(C)C,-4.912,1.852,-3.356,95.598,-0.181,0.981,0.733,0.019,0.674,0.618,0.092,29.609,20.040,9.862,0.338,2.318
CC1N=C(c2ccccc2)c3cc(ccc3N(C)C1=O)N(C)C,-4.942,2.254,-2.948,93.092,-0.203,0.999,0.884,0.057,0.847,0.821,0.185,34.115,14.834,11.757,0.855,2.316
CCCCN1C(=O)C(C)N=C(c2ccccc2)c3cc(ccc13)N(C)C,-4.958,2.704,-3.880,97.484,5.029,1.000,0.905,0.873,0.787,0.490,0.123,59.883,32.322,9.249,0.951,2.294
CC(C)CCN1C(=O)C(C)N=C(c2ccccc2)c3cc(ccc13)N(C)C,-4.813,2.745,-3.734,95.589,1.241,0.997,0.903,0.839,0.787,0.082,0.124,68.361,34.650,9.367,0.995,2.160
CC1N=C(c2ccccc2)c3cc(ccc3N(CC4CCCCC4)C1=O)N(C)C,-5.010,3.172,-4.379,100.334,9.328,0.997,0.700,0.520,0.671,0.956,0.106,46.160,40.759,13.025,0.998,1.972
