USUBJID,Animal,Sex,Dose_mgkg,Dose_label,TestCD,Test,Timepoint,TimepointNum,Value,Unit,is_control
CJ16050_00M06,M06,M,0,Control,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.745,mL/breath,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.323,mL/breath,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.517,mL/breath,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.361,mL/breath,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.665,mL/breath,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.756,mL/breath,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.66,mL/breath,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.431,mL/breath,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,0.856,mL/breath,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,0.868,mL/breath,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,0.854,mL/breath,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,0.801,mL/breath,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,4-hour postdose,4.0,1.177,mL/breath,False
CJ16050_00M01,M01,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.598,mL/breath,True
CJ16050_00M02,M02,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.539,mL/breath,True
CJ16050_00M03,M03,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.361,mL/breath,True
CJ16050_00M04,M04,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.388,mL/breath,True
CJ16050_00M05,M05,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.532,mL/breath,True
CJ16050_00M06,M06,M,0,Control,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.701,mL/breath,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.161,mL/breath,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.38,mL/breath,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.359,mL/breath,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.535,mL/breath,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.923,mL/breath,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.501,mL/breath,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.46,mL/breath,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,0.864,mL/breath,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,1.069,mL/breath,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,0.918,mL/breath,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,0.649,mL/breath,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,8-hour postdose,5.0,0.907,mL/breath,False
CJ16050_00M01,M01,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.453,mL/breath,True
CJ16050_00M02,M02,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.545,mL/breath,True
CJ16050_00M03,M03,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.444,mL/breath,True
CJ16050_00M04,M04,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.161,mL/breath,True
CJ16050_00M05,M05,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.262,mL/breath,True
CJ16050_00M06,M06,M,0,Control,TIDALVOL,Tidal Volume,Predose,1.0,1.408,mL/breath,True
CJ16050_01M01,M01,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.575,mL/breath,False
CJ16050_01M02,M02,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.372,mL/breath,False
CJ16050_01M03,M03,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.452,mL/breath,False
CJ16050_01M04,M04,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.674,mL/breath,False
CJ16050_01M05,M05,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.809,mL/breath,False
CJ16050_01M06,M06,M,100,Compound A 100 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.461,mL/breath,False
CJ16050_02M01,M01,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.693,mL/breath,False
CJ16050_02M02,M02,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,0.988,mL/breath,False
CJ16050_02M03,M03,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.82,mL/breath,False
CJ16050_02M04,M04,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.552,mL/breath,False
CJ16050_02M05,M05,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.195,mL/breath,False
CJ16050_02M06,M06,M,1000,Compound A 1000 mg/kg,TIDALVOL,Tidal Volume,Predose,1.0,1.29,mL/breath,False
