Hit,Target
1348016,TRG-9
1348016,TRG-61
1348016,TRG-68
1348016,TRG-49
1348016,TRG-19
1348016,TRG-19
1348016,TRG-86
1348017,TRG-55
1348017,TRG-48
1348017,TRG-37
1348017,TRG-48
1348017,TRG-8
1348017,TRG-35
1348017,TRG-76
1348017,TRG-11
1348017,TRG-31
1348018,TRG-7
1348018,TRG-87
1348019,TRG-24
1348019,TRG-94
1348021,TRG-64
1348021,TRG-0
1348021,TRG-1
1348021,TRG-7
1348021,TRG-84
1348021,TRG-54
1348021,TRG-87
1348022,TRG-45
1348022,TRG-6
1348022,TRG-64
1348022,TRG-49
1348022,TRG-55
1348022,TRG-6
1348023,TRG-74
1348023,TRG-49
1348023,TRG-4
1348023,TRG-98
1348023,TRG-74
1348023,TRG-35
1348023,TRG-15
1348023,TRG-50
1348024,TRG-1
1348024,TRG-66
1348024,TRG-72
1348024,TRG-59
1348024,TRG-10
1348025,TRG-80
1348025,TRG-86
1348025,TRG-78
1348025,TRG-76
1348025,TRG-73
1348025,TRG-36
1348025,TRG-26
1348049,TRG-59
1348049,TRG-83
1348049,TRG-9
1348026,TRG-14
1348026,TRG-93
1348027,TRG-74
1348027,TRG-81
1348027,TRG-12
1348027,TRG-13
1348027,TRG-40
1348027,TRG-16
1348027,TRG-75
1348027,TRG-72
1348027,TRG-96
1348028,TRG-60
1348028,TRG-19
1348028,TRG-54
1348028,TRG-52
1348029,TRG-12
1348029,TRG-1
1348029,TRG-55
1348029,TRG-22
1348029,TRG-41
1348029,TRG-79
1348029,TRG-12
1348030,TRG-15
1348030,TRG-33
1348030,TRG-63
1348030,TRG-97
1348030,TRG-30
1348030,TRG-77
1348030,TRG-15
1348031,TRG-11
1348031,TRG-54
1348032,TRG-96
1348032,TRG-0
1348035,TRG-11
1348036,TRG-11
1348036,TRG-83
1348036,TRG-32
1348036,TRG-46
1348036,TRG-64
1348036,TRG-31
1348036,TRG-50
1348036,TRG-19
1348037,TRG-22
1348037,TRG-41
1348037,TRG-2
1348037,TRG-15
1348037,TRG-50
1348037,TRG-25
1348037,TRG-60
1348037,TRG-54
1348037,TRG-62
1348038,TRG-19
1348038,TRG-45
1348039,TRG-4
1348039,TRG-19
1348039,TRG-23
1348039,TRG-24
1348039,TRG-54
1348039,TRG-60
1348039,TRG-73
1348039,TRG-82
1348050,TRG-80
1348050,TRG-18
1348040,TRG-38
1348040,TRG-49
1348040,TRG-5
1348040,TRG-12
1348040,TRG-34
1348040,TRG-58
1348041,TRG-9
1348041,TRG-53
1348041,TRG-56
1348041,TRG-54
1348041,TRG-85
1348041,TRG-95
1348041,TRG-92
1348041,TRG-3
1348042,TRG-80
1348042,TRG-17
1348042,TRG-66
1348042,TRG-87
1348042,TRG-53
1348042,TRG-34
1348042,TRG-43
1348042,TRG-53
1348043,TRG-72
1348043,TRG-98
1348043,TRG-59
1348043,TRG-71
1348043,TRG-16
1348043,TRG-68
1348043,TRG-2
1348043,TRG-36
1348043,TRG-68
1348045,TRG-79
1348045,TRG-12
1348045,TRG-12
1348045,TRG-79
1348045,TRG-82
1348046,TRG-16
1348046,TRG-55
1348046,TRG-77
1348047,TRG-62
1348047,TRG-93
1348047,TRG-11
1348047,TRG-10
1348047,TRG-53
1351805,TRG-46
1351805,TRG-17
1351805,TRG-53
1351805,TRG-43
1348051,TRG-81
1348051,TRG-51
1348051,TRG-38
1348051,TRG-12
1348051,TRG-83
1348051,TRG-40
1348051,TRG-13
1348052,TRG-80
1348052,TRG-89
1348052,TRG-34
1348053,TRG-76
1348053,TRG-35
1348053,TRG-65
1348053,TRG-99
1348053,TRG-46
1348053,TRG-45
1348053,TRG-22
1348053,TRG-25
1348053,TRG-69
1348054,TRG-94
1348055,TRG-54
1348055,TRG-33
1348055,TRG-36
1348055,TRG-9
1348055,TRG-32
1348055,TRG-4
1348056,TRG-58
1348056,TRG-12
1348056,TRG-83
1348056,TRG-8
1348056,TRG-40
1348056,TRG-57
1348056,TRG-79
1348056,TRG-1
1348056,TRG-68
1348057,TRG-49
1348057,TRG-95
1348057,TRG-87
1348058,TRG-93
1348058,TRG-15
1348058,TRG-6
1348058,TRG-91
1348058,TRG-26
1348058,TRG-34
1348058,TRG-26
1348058,TRG-30
1348059,TRG-29
1348059,TRG-57
1348059,TRG-45
1348059,TRG-1
1348059,TRG-52
1348059,TRG-35
1348059,TRG-45
1348060,TRG-14
1348060,TRG-57
1348060,TRG-89
1348060,TRG-44
1348060,TRG-14
1348060,TRG-8
1348060,TRG-69
1348061,TRG-53
1348061,TRG-83
1348061,TRG-72
1348061,TRG-1
1348061,TRG-98
1348061,TRG-13
1348061,TRG-51
1348061,TRG-84
1348062,TRG-29
1348062,TRG-4
1348062,TRG-53
1348062,TRG-80
1348063,TRG-10
1348063,TRG-79
1348063,TRG-17
1348063,TRG-9
1348063,TRG-67
1348063,TRG-17
1348063,TRG-76
1348064,TRG-27
1348064,TRG-80
1348064,TRG-52
1348064,TRG-32
1348064,TRG-73
1348065,TRG-62
1348065,TRG-97
1348066,TRG-2
1348066,TRG-34
1348066,TRG-63
1348066,TRG-76
1348066,TRG-46
1348067,TRG-38
1348067,TRG-36
1348067,TRG-28
1348067,TRG-50
1348067,TRG-5
1348067,TRG-29
1348068,TRG-79
1348068,TRG-32
1348068,TRG-71
1348068,TRG-47
1348069,TRG-13
1348069,TRG-66
1348069,TRG-4
1348069,TRG-87
1348071,TRG-66
1348071,TRG-48
1348071,TRG-6
1348085,TRG-94
1348085,TRG-6
1348085,TRG-45
1348085,TRG-89
1348085,TRG-25
1348085,TRG-33
1348085,TRG-77
1348085,TRG-1
1348085,TRG-50
1348072,TRG-51
1348072,TRG-50
1348072,TRG-37
1348072,TRG-77
1348072,TRG-61
1348072,TRG-38
1348072,TRG-71
1348072,TRG-60
1348072,TRG-73
1348073,TRG-33
1348073,TRG-84
1348073,TRG-82
1348073,TRG-5
1348073,TRG-64
1348074,TRG-63
1348074,TRG-74
1348075,TRG-48
1348075,TRG-56
1348075,TRG-31
1348086,TRG-32
1348086,TRG-29
1348086,TRG-88
1348086,TRG-64
1348086,TRG-45
1348076,TRG-14
1348076,TRG-74
1348076,TRG-5
1348076,TRG-41
1348076,TRG-16
1348076,TRG-85
1348076,TRG-59
1348077,TRG-38
1348077,TRG-26
1348077,TRG-84
1348077,TRG-72
1348077,TRG-29
1348077,TRG-32
1348078,TRG-37
1348078,TRG-66
1348078,TRG-49
1348078,TRG-4
1348078,TRG-18
1348078,TRG-93
1348078,TRG-62
1348079,TRG-35
1348079,TRG-76
1348079,TRG-46
1348080,TRG-76
1348080,TRG-85
1348087,TRG-67
1348087,TRG-87
1348087,TRG-14
1348087,TRG-31
1348087,TRG-89
1348087,TRG-72
1348087,TRG-84
1348087,TRG-18
1348081,TRG-8
1348081,TRG-51
1348082,TRG-39
1348082,TRG-2
1348083,TRG-72
1348083,TRG-74
1348083,TRG-59
1348083,TRG-48
1348083,TRG-76
1348083,TRG-48
1348083,TRG-13
1348083,TRG-86
1348084,TRG-26
1348084,TRG-93
1348084,TRG-5
1348084,TRG-78
1348084,TRG-3
1348084,TRG-57
1348084,TRG-48
1348084,TRG-87
1348084,TRG-10
1348088,TRG-18
1348088,TRG-62
1348088,TRG-75
1348088,TRG-46
1348089,TRG-86
1348089,TRG-32
1348089,TRG-87
1348089,TRG-3
1348089,TRG-75
1348089,TRG-32
1348090,TRG-40
1348090,TRG-66
1348090,TRG-66
1348092,TRG-2
1348092,TRG-98
1348092,TRG-68
1348092,TRG-16
1348092,TRG-85
1348093,TRG-90
1348093,TRG-63
1348093,TRG-86
1348093,TRG-92
1348093,TRG-88
1348093,TRG-57
1348093,TRG-42
1348093,TRG-9
1348094,TRG-83
1348094,TRG-37
1348094,TRG-9
1348094,TRG-3
1348094,TRG-19
1348095,TRG-20
1348095,TRG-84
1348095,TRG-7
1348095,TRG-98
1348095,TRG-97
1348096,TRG-59
1348096,TRG-2
1348096,TRG-34
1348096,TRG-0
1348096,TRG-39
1348096,TRG-31
1348096,TRG-94
1348096,TRG-87
1348097,TRG-54
1348097,TRG-88
1348097,TRG-28
1348098,TRG-18
1348098,TRG-62
1348098,TRG-68
1348099,TRG-83
1348099,TRG-33
1348100,TRG-24
1348100,TRG-90
1348100,TRG-95
1348100,TRG-32
1348101,TRG-91
1348101,TRG-85
1348101,TRG-79
1348101,TRG-81
1348101,TRG-80
1348102,TRG-30
1348102,TRG-5
1348102,TRG-52
1348102,TRG-7
1348102,TRG-20
1348103,TRG-35
1348103,TRG-9
1348104,TRG-76
1348104,TRG-62
1348104,TRG-39
1348104,TRG-76
1348104,TRG-66
1348104,TRG-69
1348104,TRG-55
1348104,TRG-68
1348104,TRG-60
1348105,TRG-73
1348105,TRG-93
1348105,TRG-40
1348105,TRG-19
1348105,TRG-6
1348105,TRG-79
1348106,TRG-55
1348106,TRG-51
1348106,TRG-96
1348106,TRG-56
1348106,TRG-31
1348107,TRG-77
1348107,TRG-52
1348107,TRG-72
1348107,TRG-3
1348107,TRG-68
1348107,TRG-80
1348107,TRG-9
1348107,TRG-97
1348107,TRG-73
1348579,TRG-37
1348579,TRG-42
1348579,TRG-25
1348579,TRG-89
1348579,TRG-64
1348579,TRG-63
1348579,TRG-18
1348108,TRG-48
1348108,TRG-96
1348109,TRG-20
1348110,TRG-42
1348110,TRG-17
1348110,TRG-92
1348110,TRG-85
1348110,TRG-75
1348110,TRG-40
1348110,TRG-55
1348110,TRG-92
1348110,TRG-50
1348112,TRG-89
1348112,TRG-72
1348112,TRG-26
1348112,TRG-85
1348112,TRG-56
1348112,TRG-67
1348113,TRG-14
1348113,TRG-47
1348113,TRG-26
1348113,TRG-29
1348113,TRG-93
1348113,TRG-71
1348113,TRG-92
1348113,TRG-12
1348113,TRG-72
1348115,TRG-73
1348115,TRG-88
1348115,TRG-52
1348115,TRG-63
1348115,TRG-58
1348117,TRG-18
1348117,TRG-34
1348118,TRG-56
1348118,TRG-89
1348119,TRG-38
1348119,TRG-44
1348119,TRG-69
1348119,TRG-23
1348120,TRG-58
1348120,TRG-57
1348120,TRG-87
1348120,TRG-23
1348120,TRG-10
1348120,TRG-94
1348120,TRG-14
1348120,TRG-32
1348121,TRG-36
1348121,TRG-81
1348121,TRG-25
1362796,TRG-32
1362796,TRG-48
1362796,TRG-55
1362796,TRG-86
1348122,TRG-47
1348123,TRG-75
1348123,TRG-98
1348123,TRG-44
1348123,TRG-0
1348123,TRG-27
1348123,TRG-23
1348123,TRG-52
1348123,TRG-66
1348123,TRG-95
1348124,TRG-65
1348124,TRG-40
1348125,TRG-3
1348125,TRG-44
1348125,TRG-42
1348125,TRG-62
1348125,TRG-82
1348125,TRG-2
1348126,TRG-79
1348126,TRG-80
1348126,TRG-28
1348126,TRG-21
1348127,TRG-37
1348127,TRG-14
1348127,TRG-29
1348127,TRG-39
1348128,TRG-50
1348128,TRG-47
1348128,TRG-98
1348128,TRG-71
1348128,TRG-30
1348128,TRG-76
1348129,TRG-49
1348129,TRG-42
1348129,TRG-71
1348130,TRG-26
1348130,TRG-67
1348131,TRG-30
1348131,TRG-58
1348131,TRG-72
1348131,TRG-43
1348131,TRG-27
1348131,TRG-98
1348132,TRG-22
1348132,TRG-19
1348132,TRG-57
1348132,TRG-56
1348132,TRG-83
1348133,TRG-87
1348133,TRG-6
1348133,TRG-50
1348133,TRG-10
1348133,TRG-83
1348134,TRG-83
1348135,TRG-70
1348135,TRG-47
1348135,TRG-48
1348135,TRG-24
1348135,TRG-88
1348136,TRG-74
1348136,TRG-26
1348136,TRG-43
1348136,TRG-36
1348136,TRG-45
1348136,TRG-95
1348136,TRG-86
1348136,TRG-92
1348137,TRG-25
1348137,TRG-13
1348137,TRG-38
1348137,TRG-73
1348137,TRG-16
1348137,TRG-56
1348137,TRG-51
1348137,TRG-79
1348143,TRG-89
1348143,TRG-80
1348143,TRG-34
1348143,TRG-91
1348143,TRG-76
1348143,TRG-47
1348143,TRG-0
1348143,TRG-15
1348139,TRG-67
1348139,TRG-84
1348139,TRG-69
1348139,TRG-40
1348139,TRG-7
1348139,TRG-38
1348139,TRG-88
1348139,TRG-16
1348139,TRG-26
1348142,TRG-12
1348142,TRG-35
1348142,TRG-7
1348142,TRG-44
1348144,TRG-21
1348144,TRG-20
1348144,TRG-6
1348144,TRG-87
1348144,TRG-59
1348144,TRG-4
1348144,TRG-10
1348144,TRG-29
1348144,TRG-31
1348145,TRG-13
1348145,TRG-62
1348145,TRG-90
1348145,TRG-89
1348145,TRG-60
1348145,TRG-65
1348145,TRG-52
1348145,TRG-6
1348145,TRG-94
1348147,TRG-3
1348147,TRG-76
1348147,TRG-90
1348147,TRG-60
1348147,TRG-8
1348147,TRG-46
1348147,TRG-47
1348161,TRG-91
1348161,TRG-32
1348161,TRG-90
1348148,TRG-38
1348148,TRG-22
1348148,TRG-70
1348148,TRG-6
1348148,TRG-76
1348148,TRG-64
1348148,TRG-85
1348148,TRG-18
1348149,TRG-6
1348150,TRG-3
1348150,TRG-0
1348150,TRG-67
1348150,TRG-54
1348150,TRG-42
1348150,TRG-97
1348151,TRG-78
1348151,TRG-86
1348151,TRG-57
1348151,TRG-82
1348162,TRG-45
1348152,TRG-82
1348152,TRG-0
1348152,TRG-68
1348152,TRG-41
1348153,TRG-73
1348153,TRG-20
1348153,TRG-20
1348153,TRG-64
1348153,TRG-20
1348154,TRG-66
1348154,TRG-4
1348154,TRG-99
1348154,TRG-44
1348154,TRG-90
1348155,TRG-28
1348155,TRG-53
1348155,TRG-41
1348155,TRG-23
1348155,TRG-4
1348155,TRG-6
1362797,TRG-97
1362797,TRG-98
1362797,TRG-13
1362797,TRG-94
1348156,TRG-92
1348157,TRG-48
1348157,TRG-84
1348157,TRG-40
1348157,TRG-46
1348157,TRG-95
1348157,TRG-67
1348158,TRG-19
1348158,TRG-28
1348158,TRG-19
1348158,TRG-7
1348158,TRG-71
1348158,TRG-39
1348158,TRG-56
1348158,TRG-87
1348159,TRG-30
1348159,TRG-40
1348159,TRG-36
1348159,TRG-25
1348159,TRG-69
1348159,TRG-82
1348159,TRG-41
1348160,TRG-31
1348160,TRG-53
1348160,TRG-2
1348160,TRG-73
1348160,TRG-88
1348160,TRG-51
1348160,TRG-79
1348160,TRG-58
1348160,TRG-24
1348163,TRG-65
1348163,TRG-84
1348164,TRG-95
1348164,TRG-78
1348164,TRG-73
1348164,TRG-47
1348164,TRG-55
1348164,TRG-89
1348165,TRG-79
1348166,TRG-58
1348166,TRG-12
1348166,TRG-85
1348166,TRG-83
1348166,TRG-82
1348166,TRG-19
1348167,TRG-66
1348168,TRG-21
1348168,TRG-61
1348168,TRG-48
1348168,TRG-27
1348168,TRG-83
1348168,TRG-72
1348169,TRG-82
1348169,TRG-20
1348169,TRG-32
1348169,TRG-31
1348169,TRG-30
1348169,TRG-8
1348169,TRG-69
1348169,TRG-84
1348169,TRG-18
1348170,TRG-71
1348171,TRG-58
1348171,TRG-50
1348172,TRG-99
1348172,TRG-24
1348172,TRG-78
1348172,TRG-69
1348172,TRG-10
1348172,TRG-42
1348172,TRG-36
1348172,TRG-91
1348173,TRG-68
1348173,TRG-59
1348175,TRG-63
1348175,TRG-72
1348175,TRG-27
1348175,TRG-77
1348175,TRG-76
1348175,TRG-39
1348175,TRG-44
1348177,TRG-70
1348177,TRG-9
1348177,TRG-43
1348177,TRG-40
1348177,TRG-15
1348177,TRG-12
1348177,TRG-39
1348177,TRG-19
1348180,TRG-35
1348180,TRG-27
1348180,TRG-59
1348180,TRG-82
1348180,TRG-5
1348180,TRG-26
1348180,TRG-74
1348180,TRG-80
1348181,TRG-71
1348182,TRG-66
1348182,TRG-45
1348182,TRG-86
1348182,TRG-84
1348182,TRG-70
1348182,TRG-89
1348182,TRG-75
1348183,TRG-75
1348187,TRG-89
1348187,TRG-85
1348187,TRG-72
1348187,TRG-26
1348188,TRG-23
1348188,TRG-95
1348188,TRG-11
1348188,TRG-29
1348188,TRG-91
1348188,TRG-81
1348188,TRG-29
1348189,TRG-85
1348189,TRG-64
1348189,TRG-67
1348189,TRG-22
1348189,TRG-79
1348190,TRG-21
1348190,TRG-26
1348190,TRG-34
1348191,TRG-31
1348191,TRG-51
1348191,TRG-26
1348191,TRG-79
1348191,TRG-29
1348191,TRG-78
1348191,TRG-45
1348192,TRG-11
1348192,TRG-33
1348192,TRG-3
1348192,TRG-92
1348192,TRG-65
1348192,TRG-33
1348192,TRG-89
1348193,TRG-1
1348193,TRG-50
1348193,TRG-84
1348193,TRG-61
1348193,TRG-16
1348194,TRG-68
1348194,TRG-60
1348194,TRG-44
1348194,TRG-42
1348194,TRG-11
1348194,TRG-98
1348194,TRG-73
1348194,TRG-99
1348194,TRG-57
1348195,TRG-53
1348195,TRG-42
1348195,TRG-41
1348195,TRG-71
1348195,TRG-24
1348196,TRG-12
1348196,TRG-39
1348196,TRG-72
1348196,TRG-81
1348196,TRG-99
1348196,TRG-49
1348197,TRG-78
1348198,TRG-98
1348198,TRG-51
1348198,TRG-68
1348198,TRG-60
1348198,TRG-31
1348199,TRG-61
1348199,TRG-45
1348200,TRG-5
1348200,TRG-32
1348200,TRG-29
1348200,TRG-36
1348200,TRG-53
1348200,TRG-20
1348200,TRG-5
1348200,TRG-30
1348200,TRG-55
1348201,TRG-1
1348201,TRG-92
1348201,TRG-98
1348201,TRG-22
1348201,TRG-95
1348201,TRG-1
1348202,TRG-83
1348202,TRG-63
1348202,TRG-54
1348202,TRG-81
1348203,TRG-97
1348203,TRG-6
1348204,TRG-95
1348204,TRG-56
1348205,TRG-71
1348205,TRG-62
1348205,TRG-17
1348205,TRG-32
1348205,TRG-23
1348205,TRG-47
1348205,TRG-4
1348205,TRG-8
1348205,TRG-73
1348206,TRG-24
1348206,TRG-5
1348206,TRG-16
1348206,TRG-5
1348206,TRG-40
1348208,TRG-39
1348208,TRG-3
1348209,TRG-91
1348209,TRG-56
1348209,TRG-2
1348209,TRG-40
1348209,TRG-44
1348209,TRG-83
1348209,TRG-38
1348209,TRG-13
1348210,TRG-0
1348211,TRG-94
1348212,TRG-49
1348212,TRG-54
1348212,TRG-76
1348212,TRG-85
1348212,TRG-29
1348213,TRG-78
1348213,TRG-50
1348214,TRG-62
1348214,TRG-17
1348214,TRG-53
1348214,TRG-61
1348214,TRG-35
1348215,TRG-83
1348215,TRG-77
1348215,TRG-56
1348215,TRG-59
1348215,TRG-8
1348215,TRG-90
1348215,TRG-10
1348216,TRG-71
1348216,TRG-85
1348216,TRG-7
1348216,TRG-83
1348216,TRG-97
1348216,TRG-36
1348217,TRG-69
1348217,TRG-28
1348217,TRG-61
1348217,TRG-76
1348217,TRG-7
1348217,TRG-48
1348217,TRG-64
1348217,TRG-8
1348217,TRG-77
1348218,TRG-77
1348218,TRG-13
1348218,TRG-90
1348218,TRG-99
1348218,TRG-25
1348218,TRG-44
1348218,TRG-14
1348219,TRG-71
1348219,TRG-25
1348219,TRG-23
1348219,TRG-82
1348219,TRG-66
1348219,TRG-0
1348219,TRG-39
1348220,TRG-67
1348220,TRG-66
1348220,TRG-38
1348220,TRG-98
1348220,TRG-73
1348220,TRG-58
1348220,TRG-70
1348221,TRG-76
1348221,TRG-0
1348221,TRG-37
1348221,TRG-5
1348221,TRG-73
1348222,TRG-2
1348223,TRG-22
1348223,TRG-81
1348223,TRG-24
1348223,TRG-42
1348223,TRG-68
1348223,TRG-87
1348224,TRG-18
1348224,TRG-99
1348224,TRG-60
1348225,TRG-57
1348225,TRG-74
1348225,TRG-50
1348225,TRG-9
1348225,TRG-96
1348226,TRG-62
1348226,TRG-66
1348226,TRG-46
1348226,TRG-19
1348226,TRG-72
1348226,TRG-6
1348226,TRG-25
1348227,TRG-6
1348227,TRG-92
1348227,TRG-84
1348227,TRG-41
1348227,TRG-10
1348227,TRG-18
1348228,TRG-92
1348228,TRG-54
1348228,TRG-45
1348228,TRG-20
1348228,TRG-28
1348228,TRG-14
1348228,TRG-27
1348228,TRG-32
1348229,TRG-42
1348229,TRG-24
1348230,TRG-16
1348230,TRG-45
1348230,TRG-60
1348230,TRG-3
1348230,TRG-84
1348230,TRG-86
1348230,TRG-74
1348230,TRG-34
1348230,TRG-61
1348231,TRG-43
1348231,TRG-10
1348231,TRG-9
1348231,TRG-94
1348231,TRG-72
1348231,TRG-68
1348231,TRG-74
1348232,TRG-47
1348232,TRG-46
1348232,TRG-5
1348232,TRG-52
1348232,TRG-12
1348232,TRG-28
1348232,TRG-7
1348232,TRG-2
1348232,TRG-93
1348233,TRG-4
1348233,TRG-37
1348233,TRG-24
1348233,TRG-56
1348233,TRG-58
1348233,TRG-8
1348233,TRG-75
1348233,TRG-15
1348235,TRG-56
1348235,TRG-26
1348235,TRG-30
1348235,TRG-74
1348235,TRG-53
1348235,TRG-61
1348236,TRG-82
1348236,TRG-46
1348236,TRG-1
1348237,TRG-3
1348237,TRG-27
1348237,TRG-34
1348237,TRG-91
1348237,TRG-60
1348237,TRG-28
1348237,TRG-63
1348237,TRG-47
1348237,TRG-62
1348272,TRG-58
1348272,TRG-0
1348272,TRG-54
1348272,TRG-45
1348241,TRG-91
1348241,TRG-9
1348241,TRG-78
1348241,TRG-55
1348241,TRG-91
1348241,TRG-17
1348241,TRG-22
1348242,TRG-55
1348242,TRG-98
1348242,TRG-22
1348242,TRG-7
1348243,TRG-6
1348243,TRG-39
1348243,TRG-5
1348243,TRG-83
1348243,TRG-72
1348243,TRG-40
1348243,TRG-11
1348293,TRG-85
1348293,TRG-27
1348293,TRG-51
1348293,TRG-34
1348244,TRG-20
1348244,TRG-58
1348244,TRG-44
1348244,TRG-70
1348244,TRG-23
1348244,TRG-9
1348245,TRG-90
1348245,TRG-99
1348245,TRG-44
1348245,TRG-84
1348245,TRG-85
1348245,TRG-84
1348245,TRG-96
1348245,TRG-33
1348246,TRG-90
1348246,TRG-40
1348246,TRG-32
1348246,TRG-46
1348246,TRG-84
1348246,TRG-96
1348246,TRG-79
1348247,TRG-63
1348247,TRG-52
1348247,TRG-32
1348247,TRG-78
1348247,TRG-19
1348247,TRG-11
1348580,TRG-98
1348248,TRG-1
1348248,TRG-19
1348248,TRG-42
1348249,TRG-74
1348249,TRG-90
1348249,TRG-35
1348249,TRG-49
1348249,TRG-55
1348249,TRG-49
1348250,TRG-65
1348250,TRG-43
1348250,TRG-94
1348250,TRG-1
1348250,TRG-69
1348250,TRG-80
1348250,TRG-18
1348251,TRG-62
1348251,TRG-78
1348251,TRG-50
1348251,TRG-69
1348252,TRG-81
1348253,TRG-16
1348253,TRG-95
1348253,TRG-68
1348253,TRG-99
1348253,TRG-33
1348253,TRG-14
1348253,TRG-55
1348254,TRG-50
1348254,TRG-65
1348254,TRG-15
1348254,TRG-29
1348254,TRG-62
1348254,TRG-12
1348254,TRG-43
1348254,TRG-54
1348255,TRG-1
1348255,TRG-73
1348255,TRG-3
1348255,TRG-32
1348255,TRG-28
1348582,TRG-16
1348582,TRG-58
1348582,TRG-92
1348582,TRG-17
1348582,TRG-57
1348582,TRG-53
1348582,TRG-60
1348582,TRG-5
1348256,TRG-66
1348256,TRG-43
1348256,TRG-62
1348256,TRG-66
1348256,TRG-2
1348256,TRG-89
1348256,TRG-24
1348257,TRG-94
1348258,TRG-38
1348259,TRG-94
1348259,TRG-2
1348259,TRG-20
1348259,TRG-30
1348294,TRG-61
1348294,TRG-51
1348294,TRG-78
1348294,TRG-78
1348294,TRG-90
1348294,TRG-0
1348294,TRG-7
1348294,TRG-19
1348260,TRG-66
1348260,TRG-94
1348260,TRG-37
1348260,TRG-37
1348260,TRG-25
1348260,TRG-86
1348260,TRG-21
1348261,TRG-65
1348261,TRG-71
1348261,TRG-95
1348261,TRG-71
1348261,TRG-58
1348261,TRG-85
1348261,TRG-45
1348261,TRG-35
1348262,TRG-82
1348262,TRG-5
1348262,TRG-0
1348262,TRG-84
1348262,TRG-58
1348262,TRG-41
1348262,TRG-85
1348263,TRG-84
1348264,TRG-59
1348264,TRG-90
1348264,TRG-31
1348264,TRG-11
1348264,TRG-63
1348264,TRG-90
1348265,TRG-43
1348265,TRG-85
1348265,TRG-17
1348266,TRG-22
1348266,TRG-59
1348266,TRG-88
1348266,TRG-35
1348266,TRG-49
1348266,TRG-34
1348266,TRG-73
1348267,TRG-25
1348267,TRG-93
1348268,TRG-64
1348268,TRG-64
1348268,TRG-44
1348268,TRG-93
1348268,TRG-46
1348269,TRG-35
1348269,TRG-73
1348269,TRG-12
1348269,TRG-73
1348270,TRG-61
1348270,TRG-19
1348270,TRG-50
1348270,TRG-51
1348270,TRG-40
1348271,TRG-58
1348271,TRG-76
1348271,TRG-10
1348271,TRG-82
1348271,TRG-76
1348271,TRG-39
1348271,TRG-40
1348273,TRG-12
1348273,TRG-3
1348273,TRG-42
1348273,TRG-23
1348273,TRG-11
1348273,TRG-19
1348273,TRG-35
1348273,TRG-30
1348274,TRG-25
1348274,TRG-67
1348275,TRG-14
1348275,TRG-41
1348275,TRG-53
1348275,TRG-26
1348275,TRG-8
1348275,TRG-60
1348275,TRG-52
1348276,TRG-14
1348276,TRG-97
1348277,TRG-91
1348278,TRG-71
1348278,TRG-27
1348278,TRG-27
1348278,TRG-4
1348278,TRG-39
1348278,TRG-82
1348278,TRG-75
1348278,TRG-99
1348279,TRG-24
1348279,TRG-72
1348279,TRG-8
1348279,TRG-1
1348279,TRG-29
1348280,TRG-61
1348280,TRG-19
1348280,TRG-13
1348280,TRG-11
1348281,TRG-18
1348281,TRG-56
1348281,TRG-38
1348281,TRG-39
1348282,TRG-81
1348282,TRG-40
1348282,TRG-20
1348282,TRG-39
1348282,TRG-52
1348282,TRG-73
1348282,TRG-56
1348283,TRG-58
1348283,TRG-85
1348283,TRG-77
1348283,TRG-3
1348283,TRG-75
1348283,TRG-54
1348283,TRG-23
1348283,TRG-33
1348285,TRG-62
1348285,TRG-67
1348285,TRG-91
1348285,TRG-96
1348285,TRG-95
1348309,TRG-96
1348288,TRG-14
1348288,TRG-45
1348288,TRG-22
1348288,TRG-1
1348288,TRG-35
1348289,TRG-52
1348289,TRG-44
1348289,TRG-46
1348289,TRG-79
1348289,TRG-55
1348289,TRG-63
1348290,TRG-90
1348290,TRG-72
1348290,TRG-90
1348291,TRG-34
1348291,TRG-86
1348292,TRG-52
1348295,TRG-1
1348295,TRG-9
1348295,TRG-60
1348295,TRG-29
1348295,TRG-35
1348295,TRG-95
1348295,TRG-62
1348297,TRG-89
1348297,TRG-51
1348298,TRG-40
1348298,TRG-97
1348298,TRG-81
1348298,TRG-18
1348298,TRG-66
1348310,TRG-93
1348310,TRG-37
1348310,TRG-68
1348310,TRG-8
1348310,TRG-57
1348310,TRG-5
1348310,TRG-67
1348299,TRG-65
1348299,TRG-39
1348300,TRG-11
1348300,TRG-2
1348300,TRG-77
1348301,TRG-92
1348301,TRG-75
1348301,TRG-54
1348301,TRG-23
1348301,TRG-25
1348301,TRG-56
1348301,TRG-46
1348301,TRG-75
1348301,TRG-87
1348302,TRG-38
1348302,TRG-67
1348303,TRG-67
1348303,TRG-88
1348304,TRG-1
1348305,TRG-67
1348305,TRG-19
1348305,TRG-47
1348305,TRG-15
1348305,TRG-85
1348305,TRG-22
1348306,TRG-19
1348306,TRG-22
1348306,TRG-12
1348307,TRG-91
1348307,TRG-54
1348307,TRG-40
1348307,TRG-14
1348307,TRG-86
1348307,TRG-81
1348307,TRG-81
1348307,TRG-59
1348307,TRG-62
1348312,TRG-25
1348312,TRG-58
1348312,TRG-42
1348312,TRG-30
1348312,TRG-53
1348312,TRG-68
1348313,TRG-16
1348313,TRG-92
1348313,TRG-53
1348313,TRG-54
1348313,TRG-17
1348313,TRG-74
1348313,TRG-47
1348313,TRG-97
1348313,TRG-1
1348314,TRG-12
