id,target,status,length_s,length_as,sense_helm,antisense_helm,oligo_helm,tm_c,ic50_nm,kd_pct,off_target_count
siR-0023,AGT,clinical,19,19,RNA1{[Chol].m(A)[sp].[fl2r](A)[sp].m(A)p.[fl2r](C)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)[sp].[fl2r](G)[sp].m(C).[L3]}$$$$,RNA1{m(G)[sp].[fl2r](C)[sp].m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](C)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](G)p.m(U)[sp].[fl2r](U)[sp].m(U)}$$$$,RNA1{[Chol].m(A)[sp].[fl2r](A)[sp].m(A)p.[fl2r](C)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)[sp].[fl2r](G)[sp].m(C).[L3]}|RNA2{m(G)[sp].[fl2r](C)[sp].m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](C)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](G)p.m(U)[sp].[fl2r](U)[sp].m(U)}$$$$,82.4,0.24,99,6
siR-0024,AGT,parent,19,19,RNA1{r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(A)p.r(C)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(C)}$$$$,RNA1{r(G)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(G)p.r(U)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)}$$$$,RNA1{r(A)p.r(A)p.r(A)p.r(C)p.r(U)p.r(A)p.r(C)p.r(G)p.r(U)p.r(G)p.r(G)p.r(U)p.r(U)p.r(C)p.r(A)p.r(U)p.r(G)p.r(G)p.r(C)}|RNA2{r(G)p.r(C)p.r(C)p.r(A)p.r(U)p.r(G)p.r(A)p.r(A)p.r(C)p.r(C)p.r(A)p.r(C)p.r(G)p.r(U)p.r(A)p.r(G)p.r(U)p.r(U)p.r(U)}$$$$,59.7,0.18,65,4
siR-0025,KRAS,backup,19,19,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(C)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](A)p.m(A)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(G)[sp].[fl2r](U)[sp].m(G)}$$$$,RNA1{m(C)[sp].[fl2r](A)[sp].m(C)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(U)p.[fl2r](U)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(G)[sp].[fl2r](U)[sp].m(C)}$$$$,RNA1{[Chol].m(G)[sp].[fl2r](A)[sp].m(C)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](U)p.m(A)p.[fl2r](A)p.m(A)p.[fl2r](C)p.m(U)p.[fl2r](U)p.m(G)[sp].[fl2r](U)[sp].m(G)}|RNA2{m(C)[sp].[fl2r](A)[sp].m(C)p.[fl2r](A)p.m(A)p.[fl2r](G)p.m(U)p.[fl2r](U)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](A)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(G)[sp].[fl2r](U)[sp].m(C)}$$$$,72.7,0.24,90,6
siR-0026,PCSK9,backup,19,19,RNA1{[Chol].m(U)[sp].m(C)[sp].m(A)p.m(G)p.m(G)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(G)p.m(A)p.m(A)p.m(G)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(A)}$$$$,RNA1{m(U)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(C)p.m(U)p.m(U)p.m(C)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(C)p.m(C)p.m(U)[sp].m(G)[sp].m(A).[Toc]}$$$$,RNA1{[Chol].m(U)[sp].m(C)[sp].m(A)p.m(G)p.m(G)p.m(A)p.m(C)p.m(A)p.m(U)p.m(G)p.m(G)p.m(A)p.m(A)p.m(G)p.m(C)p.m(U)p.m(G)[sp].m(A)[sp].m(A)}|RNA2{m(U)[sp].m(U)[sp].m(C)p.m(A)p.m(G)p.m(C)p.m(U)p.m(U)p.m(C)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(C)p.m(C)p.m(U)[sp].m(G)[sp].m(A).[Toc]}$$$$,78.3,0.22,99,5
siR-0027,TTR,lead,19,19,RNA1{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(A)[sp].[fl2r](A)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](A)[sp].m(U).[Bio]}$$$$,RNA1{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](G)p.m(A)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(A)[sp].[fl2r](A)[sp].m(U).[L3]}|RNA2{m(A)[sp].[fl2r](U)[sp].m(U)p.[fl2r](C)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](A)p.m(A)p.[fl2r](A)p.m(U)p.[fl2r](C)p.m(C)p.[fl2r](C)p.m(A)[sp].[fl2r](A)[sp].m(U).[Bio]}$$$$,78.5,0.29,99,7
siR-0028,APOC3,backup,19,19,RNA1{m(A)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)[sp].[fl2r](G)[sp].m(G)}$$$$,RNA1{[Bio].m(C)[sp].[fl2r](C)[sp].m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(U)}$$$$,RNA1{m(A)[sp].[fl2r](U)[sp].m(C)p.[fl2r](A)p.m(G)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(U)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)[sp].[fl2r](G)[sp].m(G)}|RNA2{[Bio].m(C)[sp].[fl2r](C)[sp].m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](G)p.m(U)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(G)[sp].[fl2r](A)[sp].m(U)}$$$$,70.5,0.07,81,1
siR-0029,ANGPTL3,deprio,19,19,RNA1{[Chol].m(G)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(G)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(G)p.m(C)p.m(A)p.m(U)[sp].m(U)[sp].m(C).[L3]}$$$$,RNA1{[Pal].m(G)[sp].m(A)[sp].m(A)p.m(U)p.m(G)p.m(C)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(C)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(C).[Bio]}$$$$,RNA1{[Chol].m(G)[sp].m(A)[sp].m(A)p.m(C)p.m(U)p.m(C)p.m(U)p.m(G)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(G)p.m(C)p.m(A)p.m(U)[sp].m(U)[sp].m(C).[L3]}|RNA2{[Pal].m(G)[sp].m(A)[sp].m(A)p.m(U)p.m(G)p.m(C)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(C)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)[sp].m(U)[sp].m(C).[Bio]}$$$$,80.1,0.22,99,5
siR-0030,HBV,lead,19,19,RNA1{[Pal].m(G)[sp].[fl2r](G)[sp].m(A)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(U)}$$$$,RNA1{m(A)[sp].m(C)[sp].m(A)p.m(G)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(A)p.m(A)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)p.m(U)[sp].m(C)[sp].m(C).[L3]}$$$$,RNA1{[Pal].m(G)[sp].[fl2r](G)[sp].m(A)p.[fl2r](A)p.m(C)p.[fl2r](U)p.m(C)p.[fl2r](U)p.m(U)p.[fl2r](U)p.m(A)p.[fl2r](C)p.m(A)p.[fl2r](U)p.m(G)p.[fl2r](C)p.m(U)[sp].[fl2r](G)[sp].m(U)}|RNA2{m(A)[sp].m(C)[sp].m(A)p.m(G)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(A)p.m(A)p.m(A)p.m(G)p.m(A)p.m(G)p.m(U)p.m(U)[sp].m(C)[sp].m(C).[L3]}$$$$,76.7,0.28,99,7
siR-0031,HSD17B13,backup,19,19,RNA1{[DBCO].m(C)[sp].[fl2r](A)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(C)[sp].[fl2r](A)[sp].m(A)}$$$$,RNA1{m(U)[sp].m(U)[sp].m(G)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)[sp].m(U)[sp].m(G)}$$$$,RNA1{[DBCO].m(C)[sp].[fl2r](A)[sp].m(U)p.[fl2r](G)p.m(G)p.[fl2r](U)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](A)p.m(C)p.[fl2r](A)p.m(U)p.[fl2r](G)p.m(A)p.[fl2r](G)p.m(C)[sp].[fl2r](A)[sp].m(A)}|RNA2{m(U)[sp].m(U)[sp].m(G)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(U)p.m(U)p.m(C)p.m(A)p.m(A)p.m(C)p.m(C)p.m(A)[sp].m(U)[sp].m(G)}$$$$,72.6,0.3,92,8
siR-0032,TTR,backup,19,19,RNA1{m(A)[sp].m(U)[sp].[fl2r](U)p.[fl2r](G)p.[fl2r](G)p.[fl2r](G)p.[fl2r](A)p.[fl2r](U)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(A)[sp].m(A)[sp].m(U).[L3]}$$$$,RNA1{m(A)[sp].m(U)[sp].m(U)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(A)p.m(U)p.m(C)p.m(C)p.m(C)p.m(A)[sp].m(A)[sp].m(U)}$$$$,RNA1{m(A)[sp].m(U)[sp].[fl2r](U)p.[fl2r](G)p.[fl2r](G)p.[fl2r](G)p.[fl2r](A)p.[fl2r](U)p.m(U)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(G)p.m(A)[sp].m(A)[sp].m(U).[L3]}|RNA2{m(A)[sp].m(U)[sp].m(U)p.m(C)p.m(U)p.m(C)p.m(A)p.m(U)p.m(G)p.m(A)p.m(A)p.m(A)p.m(U)p.m(C)p.m(C)p.m(C)p.m(A)[sp].m(A)[sp].m(U)}$$$$,69.7,0.16,83,3
siR-0033,KRAS,deprio,19,19,RNA1{[r](G)p.m(A)p.m(C)p.m(U)p.m(G)p.[r](A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)p.m(U)p.m(G)}$$$$,RNA1{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,RNA1{[r](G)p.m(A)p.m(C)p.m(U)p.m(G)p.[r](A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)p.m(U)p.m(G)}|RNA2{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,63.7,0.11,71,2
aso-0034,TTR_ASO,clinical,19,0,RNA1{[lna](C)[sp].[lna](A)[sp].[lna](G)[sp].d(T)[sp].d(G)[sp].d(T)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(T)[sp].d(G)[sp].d(C)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(A)[sp].[lna](T)[sp].[lna](A)[sp].[lna](A)}$$$$,,RNA1{[lna](C)[sp].[lna](A)[sp].[lna](G)[sp].d(T)[sp].d(G)[sp].d(T)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(T)[sp].d(G)[sp].d(C)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(A)[sp].[lna](T)[sp].[lna](A)[sp].[lna](A)}$$$$,79.6,0.3,99,7
aso-0035,PCSK9_ASO,lead,19,0,RNA1{[moe](C)[sp].[moe](C)[sp].[moe](A)[sp].[moe](G)[sp].[moe](G)[sp].d(A)[sp].d(C)[sp].d(T)[sp].d(G)[sp].d(A)[sp].d(G)[sp].d(G)[sp].d(C)[sp].d(T)[sp].[moe](T)[sp].[moe](A)[sp].[moe](C)[sp].[moe](G)[sp].[moe](T)}$$$$,,RNA1{[moe](C)[sp].[moe](C)[sp].[moe](A)[sp].[moe](G)[sp].[moe](G)[sp].d(A)[sp].d(C)[sp].d(T)[sp].d(G)[sp].d(A)[sp].d(G)[sp].d(G)[sp].d(C)[sp].d(T)[sp].[moe](T)[sp].[moe](A)[sp].[moe](C)[sp].[moe](G)[sp].[moe](T)}$$$$,74.4,0.1,89,2
aso-0036,AGT_ASO,lead,19,0,RNA1{[Chol].[lna](C)[sp].[lna](A)[sp].[lna](C)[sp].d(A)[sp].d(G)[sp].d(T)[sp].d(A)[sp].d(C)[sp].d(T)[sp].d(G)[sp].d(G)[sp].d(A)[sp].d(G)[sp].d(C)[sp].d(A)[sp].d(T)[sp].[lna](G)[sp].[lna](G)[sp].[lna](T).[GalNAc]}$$$$,,RNA1{[Chol].[lna](C)[sp].[lna](A)[sp].[lna](C)[sp].d(A)[sp].d(G)[sp].d(T)[sp].d(A)[sp].d(C)[sp].d(T)[sp].d(G)[sp].d(G)[sp].d(A)[sp].d(G)[sp].d(C)[sp].d(A)[sp].d(T)[sp].[lna](G)[sp].[lna](G)[sp].[lna](T).[GalNAc]}$$$$,74.7,0.11,90,2
aso-0037,TTR_ASO,backup,19,0,RNA1{[Bio].[moe](C)[sp].[moe](A)[sp].[moe](G)[sp].[moe](T)[sp].[moe](G)[sp].d(T)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(T)[sp].d(G)[sp].d(C)[sp].d(T)[sp].d(C)[sp].[moe](T)[sp].[moe](A)[sp].[moe](T)[sp].[moe](A)[sp].[moe](A)}$$$$,,RNA1{[Bio].[moe](C)[sp].[moe](A)[sp].[moe](G)[sp].[moe](T)[sp].[moe](G)[sp].d(T)[sp].d(T)[sp].d(C)[sp].d(T)[sp].d(T)[sp].d(G)[sp].d(C)[sp].d(T)[sp].d(C)[sp].[moe](T)[sp].[moe](A)[sp].[moe](T)[sp].[moe](A)[sp].[moe](A)}$$$$,77.9,0.24,99,6
siR-0038,MALAT1,overhang,21,21,RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[sp].d(T)p.d(T)}$$$$,RNA1{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)[sp].d(T)p.d(T)}$$$$,RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[sp].d(T)p.d(T)}|RNA2{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)[sp].d(T)p.d(T)}$$$$,77,0.25,95,6
siR-0039,FXII,overhang,19,21,RNA1{m(C)[sp].m(U)[sp].m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(U)p.m(C)p.m(U)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(G)[sp].m(U)[sp].m(A)}$$$$,RNA1{m(U)[sp].m(A)[sp].m(C)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(A)p.m(G)p.m(A)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)[sp].m(A)[sp].m(G)[sp].d(T)p.d(T)}$$$$,RNA1{m(C)[sp].m(U)[sp].m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(U)p.m(C)p.m(U)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(G)[sp].m(U)[sp].m(A)}|RNA2{m(U)[sp].m(A)[sp].m(C)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(A)p.m(G)p.m(A)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)[sp].m(A)[sp].m(G)[sp].d(T)p.d(T)}$$$$,74.2,0.31,92,8
siR-0040,SOD1,explicit,19,19,RNA1{m(G)[sp].m([cl8A])[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[L3]}$$$$,RNA1{p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(T)p.r(T)p.r(T)p.r(A)p.r(T)p.r(A)p.r(T)p.r(T)p.r(C)p.r(A)p.r(G)p.r(T)p.r(C)}$$$$,"RNA1{m(G)[sp].m([cl8A])[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[L3]}|RNA2{p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(T)p.r(T)p.r(T)p.r(A)p.r(T)p.r(A)p.r(T)p.r(T)p.r(C)p.r(A)p.r(G)p.r(T)p.r(C)}$RNA1,RNA2,2:pair-57:pair|RNA1,RNA2,5:pair-54:pair|RNA1,RNA2,8:pair-51:pair|RNA1,RNA2,11:pair-48:pair|RNA1,RNA2,14:pair-45:pair|RNA1,RNA2,17:pair-42:pair|RNA1,RNA2,20:pair-39:pair|RNA1,RNA2,23:pair-36:pair|RNA1,RNA2,26:pair-33:pair|RNA1,RNA2,29:pair-30:pair|RNA1,RNA2,32:pair-27:pair|RNA1,RNA2,35:pair-24:pair|RNA1,RNA2,38:pair-21:pair|RNA1,RNA2,41:pair-18:pair|RNA1,RNA2,44:pair-15:pair|RNA1,RNA2,47:pair-12:pair|RNA1,RNA2,50:pair-9:pair|RNA1,RNA2,53:pair-6:pair|RNA1,RNA2,56:pair-3:pair$${""RNA1"":{""strandtype"":""ss""}}$V2.0",78.4,0.2,98,5
siR-0041,MYC,explicit,21,21,RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[sp].d(T)p.d(T)}$$$$,RNA1{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)[sp].d(T)p.d(T)}$$$$,"RNA1{m(G)[sp].m(A)[sp].m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)[sp].m(U)[sp].m(G)[sp].d(T)p.d(T)}|RNA2{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)[sp].d(T)p.d(T)}$RNA1,RNA2,2:pair-56:pair|RNA1,RNA2,5:pair-53:pair|RNA1,RNA2,8:pair-50:pair|RNA1,RNA2,11:pair-47:pair|RNA1,RNA2,14:pair-44:pair|RNA1,RNA2,17:pair-41:pair|RNA1,RNA2,20:pair-38:pair|RNA1,RNA2,23:pair-35:pair|RNA1,RNA2,26:pair-32:pair|RNA1,RNA2,29:pair-29:pair|RNA1,RNA2,32:pair-26:pair|RNA1,RNA2,35:pair-23:pair|RNA1,RNA2,38:pair-20:pair|RNA1,RNA2,41:pair-17:pair|RNA1,RNA2,44:pair-14:pair|RNA1,RNA2,47:pair-11:pair|RNA1,RNA2,50:pair-8:pair|RNA1,RNA2,53:pair-5:pair|RNA1,RNA2,56:pair-2:pair$${""RNA1"":{""strandtype"":""ss""},""RNA2"":{""strandtype"":""as""}}$V2.0",79.1,0.18,97,4
siR-0042,LDHA,explicit-swap,19,19,RNA1{m(C)[sp].m(U)[sp].m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(U)p.m(C)p.m(U)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(G)[sp].m(U)[sp].m(A)}$$$$,RNA1{m(U)[sp].m(A)[sp].m(C)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(A)p.m(G)p.m(A)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)[sp].m(A)[sp].m(G)}$$$$,"RNA1{m(U)[sp].m(A)[sp].m(C)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(A)p.m(G)p.m(A)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(U)[sp].m(A)[sp].m(G)}|RNA2{m(C)[sp].m(U)[sp].m(A)p.m(C)p.m(G)p.m(U)p.m(G)p.m(A)p.m(U)p.m(C)p.m(U)p.m(U)p.m(C)p.m(A)p.m(C)p.m(G)p.m(G)[sp].m(U)[sp].m(A)}$RNA2,RNA1,2:pair-56:pair|RNA2,RNA1,5:pair-53:pair|RNA2,RNA1,8:pair-50:pair|RNA2,RNA1,11:pair-47:pair|RNA2,RNA1,14:pair-44:pair|RNA2,RNA1,17:pair-41:pair|RNA2,RNA1,20:pair-38:pair|RNA2,RNA1,23:pair-35:pair|RNA2,RNA1,26:pair-32:pair|RNA2,RNA1,29:pair-29:pair|RNA2,RNA1,32:pair-26:pair|RNA2,RNA1,35:pair-23:pair|RNA2,RNA1,38:pair-20:pair|RNA2,RNA1,41:pair-17:pair|RNA2,RNA1,44:pair-14:pair|RNA2,RNA1,47:pair-11:pair|RNA2,RNA1,50:pair-8:pair|RNA2,RNA1,53:pair-5:pair|RNA2,RNA1,56:pair-2:pair$${""RNA1"":{""strandtype"":""as""},""RNA2"":{""strandtype"":""ss""}}$V2.0",76.5,0.27,94,6
aso-0043,APOB_ASO,linker-caps,19,0,RNA1{p.p.p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(T)p.r(T)p.r(T)p.[sp].[sp].[sp].r(A)p.r(T)p.r(A)p.r(T)p.r(T)p.r(C)p.r(A)p.r(G)p.r(T)p.r(C)}$$$$,,RNA1{p.p.p.r(C)p.r(A)p.r(C)p.r(A)p.r(A)p.r(G)p.r(T)p.r(T)p.r(T)p.[sp].[sp].[sp].r(A)p.r(T)p.r(A)p.r(T)p.r(T)p.r(C)p.r(A)p.r(G)p.r(T)p.r(C)}$$$$,73,0.18,90,4
siR-0044,KRAS,linker-bulge,19,19,RNA1{m(G)p.m(A)p.m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.[sp].[sp].m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)p.m(U)p.m(G)}$$$$,RNA1{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,RNA1{m(G)p.m(A)p.m(C)p.m(U)p.m(G)p.m(A)p.m(A)p.m(U)p.m(A)p.m(U)p.[sp].[sp].m(A)p.m(A)p.m(A)p.m(C)p.m(U)p.m(U)p.m(G)p.m(U)p.m(G)}|RNA2{m(C)[sp].m(A)[sp].m(C)p.m(A)p.m(A)p.m(G)p.m(U)p.m(U)p.m(U)p.m(A)p.m(U)p.m(A)p.m(U)p.m(U)p.m(C)p.m(A)p.m(G)[sp].m(U)[sp].m(C)}$$$$,71.5,0.22,88,6
