smiles,CMPD_CHEMBLID,CYP3A4,hERG_pIC50
C\C(=N/O[C@H]1C=C[C@@H](CC=C)O[C@H]1CO)\CCN2CCc3nc(c4ccccc4)c(cc3C2)c5ccccc5,CHEMBL1491776,5.4,NA
C\C(=N/O[C@H]1C=C[C@@H](CC=C)O[C@H]1CO)\CCN2CCCc3nc(C)c(C)cc23,CHEMBL1571138,5.6,NA
C\C(=N/O[C@H]1C=C[C@@H](CC=C)O[C@H]1CO)\CCN2CCCCc3nc(C)c(C)cc23,CHEMBL1489085,5.4,NA
C\C(=N/OC(=O)NC1CCCCC1)\c2sc(nc2C)c3ccccc3,CHEMBL3199347,4.8,NA
C\C(=N/OC[C@@H](O)[C@@H]1O[C@@H]2OC(C)(C)O[C@@H]2[C@H]1O)\CCN3CCc4nc(c5ccccc5)c(cc4C3)c6ccccc6,CHEMBL1517073,5.4,NA
C\C(=N/OC[C@@H](O)COCc1occc1)\CCN2CCc3nc(c4ccccc4)c(cc3C2)c5ccccc5,CHEMBL1561579,5.5,NA
C\C(=N/OC[C@@H](O)COCc1occc1)\CCN2CCCc3nc(C)c(C)cc23,CHEMBL1529384,5.4,NA
C\C(=N/OC[C@@H](O)COCc1occc1)\CCN2CCCCc3nc(C)c(C)cc23,CHEMBL1455203,5.4,NA
C\C(=N/OCc1cccc(Cl)c1Cl)\c2ccc(CC#N)s2,CHEMBL3190590,4.8,NA
C\C(=N\NC(=O)c1ccc(C)s1)\c2cccc(NC(=O)COc3ccc(Cl)cc3C)c2,CHEMBL3210395,5.95,NA
C\C(=N\NC(=O)c1ccccc1Cl)\C=C\c2occc2,CHEMBL3199785,4.5,NA
C\C(=N\NC(=O)c1ccncc1)\c2ccccc2Cl,CHEMBL1529879,5.4,NA
C\C(=N\NC(=O)CNC(=O)c1ccc2OCOc2c1)\C=C\c3ccccc3,CHEMBL1967062,5.2,NA
C\C(=N\Nc1ccc2ccccc2n1)\c3ccccc3O,CHEMBL1372850,5.5,NA
C\C(=N\NS(=O)(=O)c1ccc(C)cc1)\c2cccc(NC(=O)c3cccc(Cl)c3)c2,CHEMBL3198835,5.85,NA
C\C(=N\O[C@@H]1C=C[C@@H](CC=C)O[C@@H]1CO)\CCC(=O)OC[C@@H]2O[C@@H](C=C[C@@H]2Oc3ccc(C)cc3)C#Cc4ccccc4,CHEMBL1366762,5.3,NA
C\C(=N\OC[C@@H](O)[C@H]1O[C@H]2OC(C)(C)O[C@H]2[C@@H]1O)\CCC(=O)OC[C@@H]3O[C@@H](C=C[C@@H]3Oc4ccc(C)cc4)C#Cc5ccccc5,CHEMBL1456941,5.4,NA
C\C(=N\OC[C@@H](O)COCc1occc1)\CCC(=O)OC[C@@H]2O[C@@H](C=C[C@@H]2Oc3ccc(C)cc3)C#Cc4ccccc4,CHEMBL1493851,5.5,NA
C\C\1=C/[C@H](O)C[C@@]2(C)O[C@@H]2CC(C)(C)\C=C\C1=O,CHEMBL503727,4.2,NA
C\C\1=C/[C@H](O)C[C@]2(C)O[C@@H]2CC(C)(C)\C=C\C1=O,CHEMBL513372,4.37,NA
C\C\1=C/CC(C)(C)\C=C\C(=O)\C(=C\[C@H](O)C1)\C,CHEMBL469850,4.45,NA
C\C\1=C/CC(C)(C)\C=C\C(=O)\C(=C\CC1)\C,CHEMBL245412,4.66,NA
C\C\1=C/CC[C@@]2(C)O[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3CC1,CHEMBL465158,5,NA
C\C\1=C/CC[C@@]2(C)O[C@@H]2CC(C)(C)\C=C\C1=O,CHEMBL512339,4.32,NA
C\C\1=C/CCC2(C)OC2C3OC(=O)C(=C)C3CC1,CHEMBL1601875,4.6,NA
C\C\1=C\CC[C@@]2(C)O[C@@H]2[C@@H]3OC(=O)C(=C)[C@H]3CC1,CHEMBL1356390,4.7,NA
C\C=C(/C)\C(=O)OC1C(OC(=O)C)C(C)(C)Oc2ccc3C=CC(=O)Oc3c12,CHEMBL1376728,4.6,NA
C\C=C(\C(=C/C)\c1ccc(O)cc1)/c2ccc(O)cc2,CHEMBL1450936,5.1,NA
C\C=C(\C(=C\C)\c1ccc(O)cc1)/c2ccc(O)cc2,CHEMBL1018,5.1,NA
C\C=C(\C)/C(=O)OC1Cc2c(OC1(C)C)ccc3C=CC(=O)Oc23,CHEMBL1321343,4.8,NA
C\C=C/1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL402063,6,NA
C\C=C/1\CC(=C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23,CHEMBL1439490,4.8,NA
C\C=C/1\N(C)C(C)CC1(c2ccccc2)c3ccccc3,CHEMBL196431,NA,4.3
C\C=C\1/C(=O)C[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@@]12C,CHEMBL1452876,5.5,NA
C\C=C\1/C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O,CHEMBL557116,NA,5.09
C\C=C\1/C[N@@+]2(C)CC[C@]34[C@H]2C[C@@H]1C(=C3Nc5ccccc45)C=O,CHEMBL1318754,8.89,NA
C\C=C\1/CC(=C)[C@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,CHEMBL1396368,4.9,NA
C\C=C\c1cc(cc(COCC2(CCN(C)CC2)c3ccc(F)cc3)n1)C(F)(F)F,CHEMBL2333635,NA,4.89
C\C=C\c1ccc2OCOc2c1,CHEMBL487603,4.6,NA
C\C=C\OC(=O)NC(c1ccccc1)[C@@]2(CCCC2=O)C(=O)C,CHEMBL1554408,6.9,NA
C\C=C\OC(=O)NC(c1ccccc1)[C@@]2(CCOC2=O)C(=O)C,CHEMBL1574543,7.5,NA
C\N=C(\NCCSCc1csc(N=C(N)N)n1)/NC#N,CHEMBL269646,4.8,NA
C\N=C/1\SN(C(=N1)c2ccccc2)c3ccccc3,CHEMBL161867,4.5,NA
C\N=C\1/N[C@@H](N(S1)c2ccccc2)c3ccccc3,CHEMBL1357674,4.5,NA
C=C(CC1(CNP(=O)(c2ccccc2)c3ccccc3)CC1)c4ccccc4,CHEMBL1331105,5.4,NA
C=CC(=O)c1ccc2ccccc2c1,CHEMBL154580,4.6,NA
C=CC(=O)OCCCCCCOC(=O)C=C,CHEMBL1530684,4.6,NA
C=CC(C1=CC(=O)C=CC1=O)c2ccccc2,CHEMBL1514569,4.5,NA
C=CCc1ccc2OCOc2c1,CHEMBL242273,5.5,NA
C=CCN=C=S,CHEMBL233248,4.4,NA
C=CCN1C(=Nc2scc(c3ccccc3)c2C1=O)SCC(=O)N4CC(=O)Nc5ccccc45,CHEMBL1334122,5.55,NA
C=CCN1C(=O)c2c(csc2N=C1SCc3ccc4OCOc4c3)c5occc5,CHEMBL1580932,5.55,NA
C=CCN1C(=O)c2ccccc2N=C1SCC(=O)N3CCc4ccccc4C3,CHEMBL1342006,5.6,NA
C=CCN1C(=O)c2ccccc2Sc3ccc(cc13)C(=O)N4CCC5(CC4)OCCO5,CHEMBL1371423,5.4,NA
C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,CHEMBL1327450,5,NA
C=CCn1c(CSCc2ccccc2)nnc1SCC(=O)NCc3ccccc3,CHEMBL1425311,5.55,NA
C=CCn1c(NCc2ccccc2)nc3ccccc13,CHEMBL1447313,4.6,NA
C=CCn1c(SCC(=O)NC2CCCCC2)nnc1C3CCCCC3,CHEMBL1582776,5.05,NA
C=CCn1c(SCc2ccc(cc2)C(=O)Nc3ccccc3)nnc1c4ccccc4,CHEMBL1507026,5.35,NA
C=CCN1C=Nc2scc(c3ccccc3)c2C1=O,CHEMBL1405151,5.35,NA
C=CCn1cc(\C=N/NC(=O)c2oc3ccc4ccccc4c3c2)c5ccccc15,CHEMBL3209931,5,NA
C=CCN1CCN(CC1)c2nc3ccccc3nc2C#N,CHEMBL90769,4.7,NA
C=CCNC(=O)c1ccc(CN2C(=S)Nc3cc4OCOc4cc3C2=O)cc1,CHEMBL1410933,5.1,NA
C=CCNC(=O)c1ccc2nc(c3ccccc3)c(nc2c1)c4ccccc4,CHEMBL1519980,5.15,NA
C=CCNC(=O)c1csc(n1)c2ccccc2,CHEMBL1349528,4.55,NA
C=CCNc1nc(SCC=C)nc2ccsc12,CHEMBL1467110,4.9,NA
C=CCNc1oc(\C=C\c2ccccc2)nc1C#N,CHEMBL1563513,4.8,NA
C=CCOC(=O)\C(=C/c1cccc2ccccc12)\NC(=O)c3ccccc3,CHEMBL1584188,6.7,NA
C=CCOC(=O)c1ccccc1C(=O)OCC=C,CHEMBL1329372,5.3,NA
C=CCSC1=Nc2sccc2C3=NC(=O)CN13,CHEMBL1424276,5.1,NA
C=CCSC1=NN2C(=Nc3ccccc3C2=O)S1,CHEMBL1587070,4.7,NA
C=CCSc1nc(Oc2ccccc2)c3sccc3n1,CHEMBL1505390,5,NA
C=CCSSCC=C,CHEMBL366603,4.6,NA
C=CCSSSCC=C,CHEMBL123040,4.4,NA
C=Cn1ccnc1P(=S)(C2CCCCC2)c3nccn3C=C,CHEMBL1540834,5.9,NA
C1C[C@@H]2CNC[C@@]2(C1)c3ccc4ccccc4c3,CHEMBL1813477,4.97,NA
C1C[C@H]2C[C@@H](C[C@@H]1N2)Oc3cccc(n3)c4ccccc4,CHEMBL1644470,NA,8.89
C1C[C@H]2CNC[C@]2(C1)c3ccc4ccccc4c3,CHEMBL1813476,5.58,NA
C1c2cccc3ccc4cccc1c4c23,CHEMBL1491899,4.6,NA
C1c2ccccc2c3ccc(cc13)\N=C/c4ccccn4,CHEMBL1378758,5.5,NA
C1c2ccccc2c3ccc(cc13)\N=C\C=C/c4ccccc4,CHEMBL1371221,5.4,NA
C1c2ccccc2c3nc4ccccc4cc13,CHEMBL1412825,4.7,NA
C1CC(CCN1)c2c([nH]c3ccccc23)c4ccccc4,CHEMBL295559,NA,5.24
C1CC(CCN1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069509,NA,5.29
c1cc(ccn1)c2sc(c3ccncc3)c(c4ccncc4)c2c5ccncc5,CHEMBL472994,6.5,NA
C1CC(CCN1)Nc2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1438748,4.6,NA
C1CC(CCN1)Nc2ncnc3ccc(cc23)c4cccnc4,CHEMBL1494452,4.9,NA
C1CC(CCO1)[C@@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069503,NA,6.14
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccc(cc6)c7ccccc7,CHEMBL3775414,NA,7.77
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069502,NA,6.42
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6,CHEMBL3775418,NA,5.4
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cccnc6,CHEMBL3774851,NA,5.57
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccncc6,CHEMBL3774903,NA,5.12
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccsc6,CHEMBL3774626,NA,6.84
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6csc7ccccc67,CHEMBL3775284,NA,7.06
C1CC(CCO1)[C@H]2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cscn6,CHEMBL3774986,NA,5.36
C1CC(CCO1)C2NC(Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)C67CC8CC(CC(C8)C6)C7,CHEMBL3775851,NA,6.3
C1CC(CCS1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069505,NA,6.92
C1CC(CO1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069504,NA,7.19
C1CC1Nc2ccnc(n2)c3cocc3,CHEMBL1553740,5.3,NA
C1CC1Nc2nc(nc3ccccc23)c4cocc4,CHEMBL1610375,5.4,NA
C1CC1Nc2ncnc3ccc(cc23)c4cocc4,CHEMBL1472765,5.3,NA
C1CC1Nc2ncncc2c3cocc3,CHEMBL1602710,5.1,NA
C1CC2(CCN1)CCN(CC2)c3cccc(c3)c4ccccc4,CHEMBL1315991,4.8,NA
C1CC2(CCN1)CCN(CC2)c3ccccn3,CHEMBL1370553,4.6,NA
C1CC2(CCN1)CCN(CC2)c3ncccn3,CHEMBL1609440,4.7,NA
C1CC2(CCN1)CN(C2)C(c3ccccc3)c4ccccc4,CHEMBL1473715,4.8,NA
C1CC2(CCN1)CN(C2)c3ccc(cc3)c4ccccc4,CHEMBL1397914,4.6,NA
C1CC2(CCN1)Oc3ccccc3C(=C2)c4ccccc4,CHEMBL492447,NA,6.17
C1Cc2c([nH]c3ccccc23)[C@H](N1)c4ccccc4,CHEMBL1355855,5.5,NA
C1CC2CC(CC1N2)c3c([nH]c4ccccc34)c5ccccc5,CHEMBL501295,NA,7.75
C1CC2CC(CC1N2c3ccccc3)c4c([nH]c5ccccc45)c6ccccc6,CHEMBL1671894,NA,7.75
c1cc2ccc3cccc4ccc(c1)c2c34,CHEMBL279564,5,NA
C1Cc2n[nH]cc2c3nc(Nc4ccccn4)sc3C1,CHEMBL1830707,NA,4.55
C1Cc2n[nH]cc2c3nc(Nc4ncccn4)sc3C1,CHEMBL1830711,NA,4.52
C1Cc2nc(c3ccccc3)c(cc2CN1)c4ccccc4,CHEMBL1604387,5.3,NA
C1Cc2nnc(c3ccccc3)n2c4ccc(cc14)c5cccnc5,CHEMBL3622434,4.44,NA
C1Cc2sc(Nc3ccccn3)nc2c4c[nH]nc14,CHEMBL1830698,NA,4.77
C1CCC(C1)n2c3cnccc3c4cnc(Nc5ccc(cn5)N6CCNCC6)nc24,CHEMBL3237442,6.26,NA
C1CCC(C1)n2nnnc2C(N3CCN4CCCC4C3)c5ccc6ncccc6c5,CHEMBL1443332,5.2,NA
c1ccc(cc1)C(c2ccc(cc2)c3ccccc3)n4ccnc4,CHEMBL277535,7,NA
C1CCC(CC1)c2c[nH]c(n2)C3Cc4c([nH]c5ccccc45)C(N3)C6CCOCC6,CHEMBL3775580,NA,6.87
c1ccc(cc1)c2c3ccccc3[nH]c4nc5ccccc5c24,CHEMBL1489353,5,NA
C1CCC(CC1)c2ccc3c(c2)c4CCC[C@@H]5NCCn3c45,CHEMBL1493037,4.5,NA
c1ccc(cc1)c2csc(n2)c3nc4ccccc4[nH]3,CHEMBL1360011,5.9,NA
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL2069500,NA,7.1
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6,CHEMBL3582312,NA,6.7
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cccnc6,CHEMBL3582313,NA,6.72
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccncc6,CHEMBL3582314,NA,7.05
C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6cnccn6,CHEMBL3582315,NA,6.47
c1ccc(cc1)c2n[nH]c(c3ccccc3)c2c4nc5ccccc5[nH]4,CHEMBL1302009,5.65,NA
c1ccc(cc1)c2nc([nH]c2c3ccccc3)c4cccs4,CHEMBL1530194,4.95,NA
C1CCC(CC1)C2O[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccc6,CHEMBL3582309,NA,6.36
C1CCC(CC1)c2onc(n2)c3ccncc3,CHEMBL2069803,4.99,NA
c1ccc(cc1)n2cc(cn2)c3ccnc4ccccc34,CHEMBL2022867,NA,5.6
c1ccc(cc1)P(c2ccccc2)c3ccccc3,CHEMBL1448331,4.4,NA
c1ccc(nc1)C#Cc2ccc3ccccc3n2,CHEMBL2335291,NA,4.69
C1CCC2(CC1)Cc3ccccc3c4nnc(c5cccnc5)n24,CHEMBL1598771,6,NA
c1ccc2[nH]c(nc2c1)c3cscn3,CHEMBL625,4.4,NA
C1CCc2c(C1)c3cccc4CNCCn2c34,CHEMBL258465,5.5,NA
c1ccc2c(c1)ccc3ncccc23,CHEMBL1565107,4.5,NA
c1ccc2c(c1)ncn2c3ccc(cc3)c4ccnc(n4)c5ccncc5,CHEMBL1569277,6.3,NA
C1CCc2c(C1)sc3ncnc(c23)n4cnc5ccccc45,CHEMBL1598281,4.85,NA
c1ccc2c(c3c[nH]c4ccccc34)c5ccccc5nc2c1,CHEMBL1346628,5.05,NA
c1ccc2c(nc(nc2c1)c3cccnc3)n4ccnc4,CHEMBL1331037,5.7,NA
c1ccc2nc(ccc2c1)c3ccncc3,CHEMBL452153,5.55,NA
C1CCCC(CC1)N2CNC(=NC2)Nc3nc4ccccc4s3,CHEMBL1417581,5.1,NA
C1CCCN(CC1)c2nc(nc(n2)n3ccnc3)c4ccccc4,CHEMBL1428217,6.15,NA
C1CCN(C1)[C@@H]([C@H](N2CCCC2)c3ccccc3)c4ccccc4,CHEMBL2152525,4.9,4.5
C1CCN(C1)[C@H]([C@@H](N2CCCC2)c3ccccc3)c4ccccc4,CHEMBL2152524,4.9,4.5
C1CCN(CC1)[C@@H]([C@H](N2CCCCC2)c3ccccc3)c4ccccc4,CHEMBL2152523,4.7,4.6
C1CCN(CC1)[C@H]([C@@H](N2CCCCC2)c3ccccc3)c4ccccc4,CHEMBL2152522,4.8,4.5
C1CCN(CC1)C2(CCCCC2)c3cc4ccccc4s3,CHEMBL279556,4.6,NA
C1CCN(CC1)C2CCN(CC2)c3nc4cnc(cc4s3)c5cncnc5,CHEMBL575234,NA,5.19
C1CCN(CC1)C2CCN(CC2)c3nc4ncc(cc4s3)c5cncnc5,CHEMBL575476,NA,4.63
C1CN(CC2(C1)CCNCC2)C(c3ccccc3)c4ccccc4,CHEMBL1355665,5.9,NA
C1CN(CC2(C1)CCNCC2)c3ccc(cc3)c4ccccc4,CHEMBL1590663,4.9,NA
C1CN(CC2(C1)CCNCC2)c3cccc(c3)c4ccccc4,CHEMBL1376736,4.8,NA
C1CN(CC2(C1)CCNCC2)c3ccccc3,CHEMBL1551066,4.6,NA
C1CN(CC2(C1)CCNCC2)c3ccccn3,CHEMBL1591381,4.8,NA
C1CN(CC2(C1)CCNCC2)c3ccncc3,CHEMBL1437088,4.9,NA
C1CN(CCC1C2C(=Nc3ccccc23)c4ccccc4)c5ccccc5,CHEMBL1671884,NA,7.1
C1CN(CCN1)c2ccc3ccccc3n2,CHEMBL18772,7.4,NA
C1CN(CCN1)c2nc(nc3ccccc23)c4ccc5OCOc5c4,CHEMBL1560798,5.1,NA
C1CN(CCN1)c2nc(nc3ccccc23)c4cccnc4,CHEMBL1590818,4.5,NA
C1CN(CCN1)c2nc(nc3ccccc23)c4cocc4,CHEMBL1449224,4.5,NA
C1CN(CCN1)c2ncnc3ccc(cc23)c4ccc5OCOc5c4,CHEMBL1435216,4.9,NA
C1CN(CCN1)c2ncnc3ccc(cc23)c4cccnc4,CHEMBL1590132,4.9,NA
C1CN(CCN1)c2ncnc3ccc(cc23)c4cocc4,CHEMBL1357491,4.6,NA
C1CN(CCN1\N=C\c2cccnc2)C3c4ccccc4c5ccccc35,CHEMBL3194920,4.9,NA
C1CN(CCO1)[C@H]2c3ccccc3c4nc5ccccc5cc24,CHEMBL1450395,5.6,NA
C1CN(CCO1)c2nc(N\N=C\c3c[nH]c4ccccc34)nc(Nc5ccccc5)n2,CHEMBL3197177,4.8,NA
C1CN(CCO1)c2nc(nc3ccccc23)c4cocc4,CHEMBL1475428,5.2,NA
C1CN(CCO1)c2nc(Nc3nc(cs3)c4ccccc4)nc(n2)N5CCOCC5,CHEMBL1607512,5,NA
C1CN(CCO1)c2ncnc3ccc(cc23)c4cocc4,CHEMBL1418387,4.7,NA
C1CN=C(N1)C2CC2(c3ccccc3)c4ccccc4,CHEMBL87045,NA,4.65
C1CN=C(N1)c2ccc3ccccc3n2,CHEMBL13698,4.9,NA
C1CN=C(NC(C2CC2)C3CC3)O1,CHEMBL289480,4.8,NA
C1CN2CCC1[C@@]3(C2)Cc4cc(cnc4O3)c5cocc5,CHEMBL2151438,NA,5.8
C1CN2CCC1C(C2)c3oc(nn3)c4oc(cc4)c5cccnc5,CHEMBL2069929,NA,4.7
C1CN2CCC1C(C2)c3onc(n3)c4oc(cc4)c5cccnc5,CHEMBL2069928,NA,5.19
C1CNC[C@@]2(C1)CCN(C2)C(c3ccccc3)c4ccccc4,CHEMBL1490998,5.1,NA
C1CNC[C@@]2(C1)CCN(C2)c3cccc(c3)c4ccccc4,CHEMBL1435698,4.8,NA
C1CNC[C@@]2(C1)CCN(C2)c3ccccc3,CHEMBL1318262,4.7,NA
C1CNC[C@@]2(C1)CCN(C2)c3ccccn3,CHEMBL1517885,4.8,NA
C1CNC[C@@]2(C1)CCN(C2)c3ncccn3,CHEMBL1492558,4.5,NA
c1cnc2c(c1)ccc3cccnc23,CHEMBL415879,5.3,NA
C1CNCC(C1)c2c([nH]c3ccccc23)c4ccccc4,CHEMBL42557,NA,5.31
c1cncc(c1)c2c[nH]cn2,CHEMBL178516,4.16,NA
c1cncc(c1)c2cc(n[nH]2)c3cc([nH]n3)c4cccnc4,CHEMBL1368937,5.3,NA
c1cncc(c1)c2cc(ncn2)n3ccnc3,CHEMBL1356808,5.8,NA
c1cncc(c1)c2cccnc2,CHEMBL179763,4.19,NA
c1cncc(c1)c2cccs2,CHEMBL179618,4.24,NA
c1cncc(c1)c2ccsc2,CHEMBL361153,4.55,NA
c1cncc(c1)c2cncnc2n3ccnc3,CHEMBL1434535,5.1,NA
c1cncc(c1)c2nccc(n2)n3ccnc3,CHEMBL1491545,5.3,NA
c1cncc(c1)n2ccnc2,CHEMBL179477,4.11,NA
C1COc2c(O1)cccc2N3CCN(CC3)C4Cc5ccccc5C4,CHEMBL49247,4.6,NA
C1CSC(S1)c2oc(cc2)c3cccnc3,CHEMBL215174,5.96,NA
C1N2[C@H](NN=C1c3ccccc3)c4ccccc4c5ccccc25,CHEMBL1572770,5.5,NA
C1NCC(CC=C1)c2ccc3ccccc3c2,CHEMBL2322001,NA,4.81
C1NCC(CC=C1)c2oc3ccccc3c2,CHEMBL2326690,NA,4.72
C1NCc2ccccc2[C@H]1c3ccccc3,CHEMBL1316537,4.8,NA
C1OC(OC2C=CC(OC12)C#Cc3ccccc3)c4ccccc4,CHEMBL1436578,5.6,NA
C1Oc2cc3cc4Cc5ccccc5c4nc3cc2O1,CHEMBL1592493,6,NA
C1Oc2ccc(\C=N\N(c3ccccc3)c4ccccc4)cc2O1,CHEMBL3210945,4.8,NA
C1Oc2ccc(cc2O1)[C@@H]3OC[C@@H]4[C@H]3CO[C@@H]4c5ccc6OCOc6c5,CHEMBL1572261,6.1,NA
C1Oc2ccc(cc2O1)C(Sc3ccccc3)Sc4ccccc4,CHEMBL1602926,5.6,NA
C1Oc2ccc(cc2O1)c3cc(ncn3)n4ccnc4,CHEMBL1554579,6.3,NA
C1Oc2ccc(cc2O1)c3ccc4ncnc(Nc5ccccc5)c4c3,CHEMBL1552270,5.6,NA
C1Oc2ccc(cc2O1)c3cncnc3Nc4ccccc4,CHEMBL1436045,6.1,NA
C1Oc2ccc(cc2O1)c3nc(Nc4ccccc4)c5ccccc5n3,CHEMBL1396384,5.3,NA
C1Oc2ccc(cc2O1)c3nc(Nc4ccncc4)c5ccccc5n3,CHEMBL1513511,6.3,NA
C1Oc2ccc(cc2O1)c3nccc(n3)n4ccnc4,CHEMBL1355408,6.2,NA
C1Oc2ccc(cc2O1)C3OCC4[C@@H]3COC4c5ccc6OCOc6c5,CHEMBL1591714,7.1,NA
CC#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](C[C@@]12C)c5ccc(cc5)N(C)C,CHEMBL1556464,6.1,NA
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](C[C@]12C)c5ccc(cc5)N(C)C,CHEMBL1521453,5.9,NA
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(cc5)N(C)C,CHEMBL1276308,5.33,NA
CC#C[C@H]([C@H]1OC(=O)NC1=O)c2ccc(Oc3ccc(cc3OC(F)F)C(F)(F)F)cc2,CHEMBL1777878,NA,5.47
CC#CC(CC(=O)O)c1ccc(Oc2ccc(cc2OC(F)F)C(F)(F)F)cc1F,CHEMBL1777855,NA,4.6
CC#Cc1cc(ccc1F)[C@]2(N=C(N)N(C)C2=O)c3ccc(OC(F)F)cc3,CHEMBL1270936,6,NA
CC#Cc1cc(cs1)c2n[nH]c3c2Cc4cc(CN5CCN(C)CC5)ccc34,CHEMBL223943,NA,5.85
CC#Cc1cncc(c1)c2cc(ccc2O)C3(N=C(C)C(=N3)N)C4CC4,CHEMBL2180014,NA,4.61
CC#Cc1cncc(c1)c2cc3c(OCC4(CC4)C35COC(=N5)N)cc2F,CHEMBL3703304,NA,5.37
CC#Cc1cncc(c1)c2ccc3OC(CC4CC4)C5(COC5)C6(COC(=N6)N)c3c2,CHEMBL3650834,NA,5.28
CC#Cc1cncc(c1)c2ccc3OCC4(CC4)C5(COC(=N5)N)c3c2,CHEMBL3703254,NA,5.32
CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(COC(=N5)N)c3c2,CHEMBL3703255,NA,5.03
CC#Cc1cncc(c1)c2ccc3OCC4(COC4)C5(CSC(=N5)N)c3c2,CHEMBL3703268,NA,5.22
CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(C)C(=N3)N)C4CC4,CHEMBL2180037,NA,4.84
CC#Cc1cncc(c1)c2cccc(c2)C3(N=C(N)c4c(F)cccc34)c5ccnc(c5)C(F)F,CHEMBL2177915,NA,5.54
CC#CCN1C(=O)N(Cc2cc(Cl)c3ccccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425895,4.85,NA
CC#CCN1C(=O)N(Cc2ccc3cc(Br)ccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425888,4.1,NA
CC#CCN1C(=O)N(Cc2ccc3cc(C)ccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425891,4.34,NA
CC#CCN1C(=O)N(Cc2ccc3cc(Cl)ccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425889,4.04,NA
CC#CCN1C(=O)N(Cc2ccc3cc(F)ccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425890,4.23,NA
CC#CCN1C(=O)N(Cc2ccc3ccc(Cl)cc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425893,4.34,4
CC#CCN1C(=O)N(Cc2ccc3ccc(F)cc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425894,4.26,NA
CC#CCN1C(=O)N(Cc2ccc3ccccc3n2)C(=O)C=C1N4CCC[C@@H](N)C4,CHEMBL2425886,4.01,NA
