Well_Position,Agonist_ID,Antagonist_ID,Agonist_Concentration_M,Antagonist_Concentration_M,Percent_Inhibition,Sample_Type,Plate_ID
C11,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.4095,TEST,DR-EXP-002_1
D11,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.2929,TEST,DR-EXP-002_1
E11,Agonist-A51,Antagonist-B7,1e-09,1e-07,4.076,TEST,DR-EXP-002_1
F11,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,12.8596,TEST,DR-EXP-002_1
G11,Agonist-A51,Antagonist-B7,1e-08,1e-07,39.7548,TEST,DR-EXP-002_1
H11,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,73.6934,TEST,DR-EXP-002_1
A12,Agonist-A51,Antagonist-B7,1e-11,1e-07,0.0424,TEST,DR-EXP-002_1
B12,Agonist-A51,Antagonist-B7,3.16e-11,1e-07,0.134,TEST,DR-EXP-002_1
C12,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.4223,TEST,DR-EXP-002_1
D12,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.3344,TEST,DR-EXP-002_1
E12,Agonist-A51,Antagonist-B7,1e-09,1e-07,4.2045,TEST,DR-EXP-002_1
F12,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,13.273,TEST,DR-EXP-002_1
G12,Agonist-A51,Antagonist-B7,1e-08,1e-07,40.9562,TEST,DR-EXP-002_1
H12,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,75.2932,TEST,DR-EXP-002_1
A1,Agonist-A51,Antagonist-B7,1e-11,0.0,0.4951,TEST,DR-EXP-002_2
B1,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.5598,TEST,DR-EXP-002_2
C1,Agonist-A51,Antagonist-B7,1e-10,0.0,4.9193,TEST,DR-EXP-002_2
D1,Agonist-A51,Antagonist-B7,3.16e-10,0.0,14.2722,TEST,DR-EXP-002_2
E1,Agonist-A51,Antagonist-B7,1e-09,0.0,38.9496,TEST,DR-EXP-002_2
F1,Agonist-A51,Antagonist-B7,3.16e-09,0.0,73.4059,TEST,DR-EXP-002_2
G1,Agonist-A51,Antagonist-B7,1e-08,0.0,93.5395,TEST,DR-EXP-002_2
H1,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.0264,TEST,DR-EXP-002_2
A2,Agonist-A51,Antagonist-B7,1e-11,0.0,0.5112,TEST,DR-EXP-002_2
B2,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.6094,TEST,DR-EXP-002_2
C2,Agonist-A51,Antagonist-B7,1e-10,0.0,5.0664,TEST,DR-EXP-002_2
D2,Agonist-A51,Antagonist-B7,3.16e-10,0.0,14.6533,TEST,DR-EXP-002_2
E2,Agonist-A51,Antagonist-B7,1e-09,0.0,39.8395,TEST,DR-EXP-002_2
F2,Agonist-A51,Antagonist-B7,3.16e-09,0.0,74.3089,TEST,DR-EXP-002_2
G2,Agonist-A51,Antagonist-B7,1e-08,0.0,93.9182,TEST,DR-EXP-002_2
H2,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.0911,TEST,DR-EXP-002_2
A3,Agonist-A51,Antagonist-B7,1e-11,0.0,0.5278,TEST,DR-EXP-002_2
B3,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.6606,TEST,DR-EXP-002_2
C3,Agonist-A51,Antagonist-B7,1e-10,0.0,5.2186,TEST,DR-EXP-002_2
D3,Agonist-A51,Antagonist-B7,3.16e-10,0.0,15.0427,TEST,DR-EXP-002_2
E3,Agonist-A51,Antagonist-B7,1e-09,0.0,40.7395,TEST,DR-EXP-002_2
F3,Agonist-A51,Antagonist-B7,3.16e-09,0.0,75.2126,TEST,DR-EXP-002_2
G3,Agonist-A51,Antagonist-B7,1e-08,0.0,94.2925,TEST,DR-EXP-002_2
H3,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.1554,TEST,DR-EXP-002_2
A4,Agonist-A51,Antagonist-B7,1e-11,0.0,0.5449,TEST,DR-EXP-002_2
B4,Agonist-A51,Antagonist-B7,3.16e-11,0.0,1.7135,TEST,DR-EXP-002_2
C4,Agonist-A51,Antagonist-B7,1e-10,0.0,5.3758,TEST,DR-EXP-002_2
D4,Agonist-A51,Antagonist-B7,3.16e-10,0.0,15.4393,TEST,DR-EXP-002_2
E4,Agonist-A51,Antagonist-B7,1e-09,0.0,41.6506,TEST,DR-EXP-002_2
F4,Agonist-A51,Antagonist-B7,3.16e-09,0.0,76.1242,TEST,DR-EXP-002_2
G4,Agonist-A51,Antagonist-B7,1e-08,0.0,94.6501,TEST,DR-EXP-002_2
H4,Agonist-A51,Antagonist-B7,3.16e-08,0.0,99.2189,TEST,DR-EXP-002_2
A5,Agonist-A51,Antagonist-B7,1e-11,1e-08,0.1711,TEST,DR-EXP-002_2
B5,Agonist-A51,Antagonist-B7,3.16e-11,1e-08,0.5385,TEST,DR-EXP-002_2
C5,Agonist-A51,Antagonist-B7,1e-10,1e-08,1.6997,TEST,DR-EXP-002_2
D5,Agonist-A51,Antagonist-B7,3.16e-10,1e-08,5.2902,TEST,DR-EXP-002_2
E5,Agonist-A51,Antagonist-B7,1e-09,1e-08,14.802,TEST,DR-EXP-002_2
F5,Agonist-A51,Antagonist-B7,3.16e-09,1e-08,39.9385,TEST,DR-EXP-002_2
G5,Agonist-A51,Antagonist-B7,1e-08,1e-08,74.495,TEST,DR-EXP-002_2
H5,Agonist-A51,Antagonist-B7,3.16e-08,1e-08,94.0794,TEST,DR-EXP-002_2
A6,Agonist-A51,Antagonist-B7,1e-11,1e-08,0.1764,TEST,DR-EXP-002_2
B6,Agonist-A51,Antagonist-B7,3.16e-11,1e-08,0.555,TEST,DR-EXP-002_2
C6,Agonist-A51,Antagonist-B7,1e-10,1e-08,1.7517,TEST,DR-EXP-002_2
D6,Agonist-A51,Antagonist-B7,3.16e-10,1e-08,5.4481,TEST,DR-EXP-002_2
E6,Agonist-A51,Antagonist-B7,1e-09,1e-08,15.2686,TEST,DR-EXP-002_2
F6,Agonist-A51,Antagonist-B7,3.16e-09,1e-08,40.9976,TEST,DR-EXP-002_2
G6,Agonist-A51,Antagonist-B7,1e-08,1e-08,75.4098,TEST,DR-EXP-002_2
H6,Agonist-A51,Antagonist-B7,3.16e-08,1e-08,94.4379,TEST,DR-EXP-002_2
A7,Agonist-A51,Antagonist-B7,1e-11,1e-08,0.1818,TEST,DR-EXP-002_2
B7,Agonist-A51,Antagonist-B7,3.16e-11,1e-08,0.5719,TEST,DR-EXP-002_2
C7,Agonist-A51,Antagonist-B7,1e-10,1e-08,1.8047,TEST,DR-EXP-002_2
D7,Agonist-A51,Antagonist-B7,3.16e-10,1e-08,5.6111,TEST,DR-EXP-002_2
E7,Agonist-A51,Antagonist-B7,1e-09,1e-08,15.7452,TEST,DR-EXP-002_2
F7,Agonist-A51,Antagonist-B7,3.16e-09,1e-08,42.0709,TEST,DR-EXP-002_2
G7,Agonist-A51,Antagonist-B7,1e-08,1e-08,76.3392,TEST,DR-EXP-002_2
H7,Agonist-A51,Antagonist-B7,3.16e-08,1e-08,94.7854,TEST,DR-EXP-002_2
A8,Agonist-A51,Antagonist-B7,1e-11,1e-08,0.1874,TEST,DR-EXP-002_2
B8,Agonist-A51,Antagonist-B7,3.16e-11,1e-08,0.589,TEST,DR-EXP-002_2
C8,Agonist-A51,Antagonist-B7,1e-10,1e-08,1.8588,TEST,DR-EXP-002_2
D8,Agonist-A51,Antagonist-B7,3.16e-10,1e-08,5.7793,TEST,DR-EXP-002_2
E8,Agonist-A51,Antagonist-B7,1e-09,1e-08,16.2326,TEST,DR-EXP-002_2
F8,Agonist-A51,Antagonist-B7,3.16e-09,1e-08,43.155,TEST,DR-EXP-002_2
G8,Agonist-A51,Antagonist-B7,1e-08,1e-08,77.2744,TEST,DR-EXP-002_2
H8,Agonist-A51,Antagonist-B7,3.16e-08,1e-08,95.1318,TEST,DR-EXP-002_2
A9,Agonist-A51,Antagonist-B7,1e-11,1e-07,0.0487,TEST,DR-EXP-002_2
B9,Agonist-A51,Antagonist-B7,3.16e-11,1e-07,0.1521,TEST,DR-EXP-002_2
C9,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.4848,TEST,DR-EXP-002_2
D9,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.5135,TEST,DR-EXP-002_2
E9,Agonist-A51,Antagonist-B7,1e-09,1e-07,4.829,TEST,DR-EXP-002_2
F9,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,15.0673,TEST,DR-EXP-002_2
G9,Agonist-A51,Antagonist-B7,1e-08,1e-07,47.382,TEST,DR-EXP-002_2
H9,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,80.5284,TEST,DR-EXP-002_2
A10,Agonist-A51,Antagonist-B7,1e-11,1e-07,0.0499,TEST,DR-EXP-002_2
B10,Agonist-A51,Antagonist-B7,3.16e-11,1e-07,0.156,TEST,DR-EXP-002_2
C10,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.497,TEST,DR-EXP-002_2
D10,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.5526,TEST,DR-EXP-002_2
E10,Agonist-A51,Antagonist-B7,1e-09,1e-07,4.9515,TEST,DR-EXP-002_2
F10,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,15.4578,TEST,DR-EXP-002_2
G10,Agonist-A51,Antagonist-B7,1e-08,1e-07,48.5638,TEST,DR-EXP-002_2
H10,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,82.1051,TEST,DR-EXP-002_2
A11,Agonist-A51,Antagonist-B7,1e-11,1e-07,0.0512,TEST,DR-EXP-002_2
B11,Agonist-A51,Antagonist-B7,3.16e-11,1e-07,0.16,TEST,DR-EXP-002_2
C11,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.5095,TEST,DR-EXP-002_2
D11,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.5929,TEST,DR-EXP-002_2
E11,Agonist-A51,Antagonist-B7,1e-09,1e-07,5.076,TEST,DR-EXP-002_2
F11,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,15.8596,TEST,DR-EXP-002_2
G11,Agonist-A51,Antagonist-B7,1e-08,1e-07,49.7548,TEST,DR-EXP-002_2
H11,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,83.6934,TEST,DR-EXP-002_2
A12,Agonist-A51,Antagonist-B7,1e-11,1e-07,0.0524,TEST,DR-EXP-002_2
B12,Agonist-A51,Antagonist-B7,3.16e-11,1e-07,0.164,TEST,DR-EXP-002_2
C12,Agonist-A51,Antagonist-B7,1e-10,1e-07,0.5223,TEST,DR-EXP-002_2
D12,Agonist-A51,Antagonist-B7,3.16e-10,1e-07,1.6344,TEST,DR-EXP-002_2
E12,Agonist-A51,Antagonist-B7,1e-09,1e-07,5.2045,TEST,DR-EXP-002_2
F12,Agonist-A51,Antagonist-B7,3.16e-09,1e-07,16.273,TEST,DR-EXP-002_2
G12,Agonist-A51,Antagonist-B7,1e-08,1e-07,50.9562,TEST,DR-EXP-002_2
H12,Agonist-A51,Antagonist-B7,3.16e-08,1e-07,85.2932,TEST,DR-EXP-002_2
